Year: 2018  Month: 04  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.87S  Lon: 166.95E  Elev:   12m
2018  91  4  1 0000  -16.0 1003.2    1.1  292.2   58.5    1.6
2018  91  4  1 0300  -26.5 1001.8    3.5   87.3   68.8    0.6
2018  91  4  1 0600  -24.3 1002.0    3.7   44.2   71.6    2.2
2018  91  4  1 0900  -28.5 1001.5    2.6   41.5   77.5    0.7
2018  91  4  1 1200  -24.4 1002.9    4.8   13.7   77.8    1.5
2018  91  4  1 1500  -22.1 1003.4    4.6   26.9   74.5    3.8
2018  91  4  1 1800  -22.7 1003.7    3.6   24.8   74.3    0.7
2018  91  4  1 2100  -20.7 1004.3    1.2   33.1   75.8    0.1
2018  92  4  2 0000  -19.6 1004.1    0.1    1.1   74.0   -0.1
2018  92  4  2 0300  -19.3 1005.1    0.2   85.4   79.8    1.6
2018  92  4  2 0600  -20.0 1005.2    0.7  356.2   87.8    1.3
2018  92  4  2 0900  -29.0 1006.1    2.2   53.7   79.0    0.3
2018  92  4  2 1200  -28.2 1006.8    2.5   47.4   78.2    0.7
2018  92  4  2 1500  -26.5 1007.2    2.2   16.2   79.8    1.0
2018  92  4  2 1800  -22.5 1007.1    2.2   20.6   83.8    0.3
2018  92  4  2 2100  -22.4 1006.9    3.3   49.8   84.4    0.4
2018  93  4  3 0000  -22.4 1007.7    2.4   44.4   72.8    0.2
2018  93  4  3 0300  -26.8 1006.7    3.7   40.5   73.9    0.9
2018  93  4  3 0600  -26.7 1005.6    4.3   25.3   75.6    1.1
2018  93  4  3 0900  -22.7 1004.6    3.8   26.8   64.2    0.6
2018  93  4  3 1200  -23.1 1002.9    2.9   38.3   72.2    0.0
2018  93  4  3 1500  -23.1 1001.1    3.2   42.7   67.2   -0.0
2018  93  4  3 1800  -23.5 1000.1    3.5   41.6   69.3   -0.0
2018  93  4  3 2100  -25.0 1000.4    3.1   65.5   72.6   -0.1
2018  94  4  4 0000  -25.0  999.7    2.5   79.8   74.8   -0.1
2018  94  4  4 0300  -24.5  998.4    3.1   67.6   74.9   -0.0
2018  94  4  4 0600  -25.0  997.8    2.4   57.1   78.4    0.3
2018  94  4  4 0900  -27.4  998.7    0.8  278.2   78.1    2.4
2018  94  4  4 1200  -28.5  998.1    3.1   81.0   80.4    2.6
2018  94  4  4 1500  -26.7  998.3    3.0   16.5   80.5    5.5
2018  94  4  4 1800  -33.1  998.3    4.5  101.6   73.8    0.4
2018  94  4  4 2100  -28.4  998.7    3.2   22.5   76.4    3.7
2018  95  4  5 0000  -30.7  998.3    2.7   27.3   75.5    1.7
2018  95  4  5 0300  -30.6  997.8    2.1   14.6   74.0    2.6
2018  95  4  5 0600  -33.1  998.3    0.5  157.8   79.7    6.3
2018  95  4  5 0900  -27.4  998.8    2.7   31.9   78.3    1.9
2018  95  4  5 1200  -21.1  998.3    4.0  129.8   82.3    2.2
2018  95  4  5 1500  -25.5  997.3    3.7   56.8   75.2    2.2
2018  95  4  5 1800  -27.9  997.3    4.9   24.6   77.7    3.0
2018  95  4  5 2100  -26.6  996.5    2.0   26.4   58.6    4.0
2018  96  4  6 0000  -25.3  995.7    3.4   36.4   72.1    4.1
