Year: 2018  Month: 06  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2018 152  6  1 0000  -27.5  997.1    4.7  211.0   85.2  444.0
2018 152  6  1 0300  -29.8  997.5    6.0  172.0   82.2  444.0
2018 152  6  1 0600  -25.5  998.3    9.9  169.0   87.0  444.0
2018 152  6  1 0900  -29.9  999.2    5.8  193.0   81.3  444.0
2018 152  6  1 1200  -35.1  999.6    3.3  170.0   75.1  444.0
2018 152  6  1 1500  -27.0  998.8    6.6  197.0   84.8  444.0
2018 152  6  1 1800  -30.8  998.4    6.6  186.0   80.4  444.0
2018 152  6  1 2100  -29.0  996.7    6.4  209.0   81.3  444.0
2018 153  6  2 0000  -28.0  994.7    6.6  216.0   79.1  444.0
2018 153  6  2 0300  -22.8  992.7   12.9  193.0   87.9  444.0
2018 153  6  2 0600  -23.8  990.9   13.3  208.0   87.4  444.0
2018 153  6  2 0900  -25.8  990.2   11.3  214.0   83.5  444.0
2018 153  6  2 1200  -25.6  989.0    9.4  186.0   80.0  444.0
2018 153  6  2 1500  -26.8  987.7    5.5  266.0   78.6  444.0
2018 153  6  2 1800  -27.1  986.0    6.8  249.0   80.0  444.0
2018 153  6  2 2100  -26.0  984.1    6.8  240.0   82.6  444.0
2018 154  6  3 0000  -24.8  980.6    5.5  219.0   75.1  444.0
2018 154  6  3 0300  -27.2  975.0    3.1  260.0   83.9  444.0
2018 154  6  3 0600  -24.5  968.2    2.7  322.0   87.9  444.0
2018 154  6  3 0900  -25.5  962.1    3.7  352.0   86.1  444.0
2018 154  6  3 1200  -28.6  961.1    2.7  150.0   80.4  444.0
2018 154  6  3 1500  -34.1  962.0    1.9  118.0   76.9  444.0
2018 154  6  3 1800  -33.2  964.4    1.0  214.0   77.3  444.0
2018 154  6  3 2100  -28.0  968.9   14.2  194.0   83.5  444.0
2018 155  6  4 0000  -30.0  972.8   15.4  179.0   80.8  444.0
2018 155  6  4 0300  -35.9  977.2   17.0  181.0   74.7  444.0
2018 155  6  4 0600  -35.0  980.6   16.2  186.0   75.1  444.0
2018 155  6  4 0900  -35.2  983.9   10.9  180.0   75.1  444.0
2018 155  6  4 1200  -35.9  986.9   11.7  179.0   74.2  444.0
2018 155  6  4 1500  -35.0  988.2   11.5  184.0   75.1  444.0
2018 155  6  4 1800  -35.1  989.8   13.3  195.0   75.1  444.0
2018 155  6  4 2100  -34.4  990.3   10.7  188.0   76.0  444.0
2018 156  6  5 0000  -34.8  990.5    9.0  187.0   75.6  444.0
2018 156  6  5 0300  -35.2  989.9    6.6  188.0   75.6  444.0
2018 156  6  5 0600  -35.1  989.1    4.7  264.0   75.1  444.0
2018 156  6  5 0900  -37.4  987.9    2.9  253.0   72.0  444.0
2018 156  6  5 1200  -32.0  985.8    2.5  232.0   78.2  444.0
2018 156  6  5 1500  -31.8  983.8    1.2  278.0   79.1  444.0
2018 156  6  5 1800  -32.0  982.0    1.0  250.0   79.1  444.0
2018 156  6  5 2100  -32.9  981.9    3.9  219.0   77.3  444.0
2018 157  6  6 0000  -34.2  982.2    3.7  229.0   76.4  444.0
2018 157  6  6 0300  -34.6  981.5    4.1  211.0   75.6  444.0
2018 157  6  6 0600  -34.8  980.9    2.1  266.0   75.6  444.0
2018 157  6  6 0900  -38.1  980.7    3.5  183.0   71.2  444.0
2018 157  6  6 1200  -39.9  980.1    8.6  163.0   69.8  444.0
2018 157  6  6 1500  -37.8  980.1    6.6  170.0   71.6  444.0
2018 157  6  6 1800  -35.0  979.0    8.4  191.0   75.1  444.0
2018 157  6  6 2100  -32.2  977.7    8.6  180.0   78.2  444.0
2018 158  6  7 0000  -31.4  976.9    8.2  186.0   80.0  444.0
2018 158  6  7 0300  -32.9  976.7   11.1  179.0   77.8  444.0
2018 158  6  7 0600  -29.0  975.9   14.2  208.0   82.6  444.0
2018 158  6  7 0900  -29.8  975.4   10.3  191.0   81.3  444.0
2018 158  6  7 1200  -27.6  974.7   10.1  208.0   83.9  444.0
2018 158  6  7 1500  -28.2  973.6   10.3  221.0   84.4  444.0
2018 158  6  7 1800  -26.9  972.2    7.8  219.0   84.8  444.0
2018 158  6  7 2100  -25.2  970.5   11.3  222.0   87.0  444.0
2018 159  6  8 0000  -24.6  969.6   12.7  216.0   87.9  444.0
2018 159  6  8 0300  -29.1  970.3   10.9  193.0   82.2  444.0
2018 159  6  8 0600  -34.6  970.6    9.2  180.0   76.4  444.0
2018 159  6  8 0900  -35.4  970.7   11.3  188.0   74.2  444.0
2018 159  6  8 1200  -35.2  971.6   11.7  201.0   74.2  444.0
2018 159  6  8 1500  -31.2  970.3    7.6  224.0   80.4  444.0
2018 159  6  8 1800  -26.0  968.3    8.2  225.0   83.0  444.0
2018 159  6  8 2100  -23.1  967.2    8.8  231.0   82.2  444.0
2018 160  6  9 0000  -18.0  963.4   11.7  229.0   80.8  444.0
2018 160  6  9 0300  -21.0  962.6   11.1  231.0   76.9  444.0
2018 160  6  9 0600  -21.2  961.2   13.1  218.0   76.9  444.0
2018 160  6  9 0900  -19.9  959.4   13.8  229.0   73.8  444.0
2018 160  6  9 1200  -19.2  959.7   12.5  219.0   75.1  444.0
2018 160  6  9 1500  -17.1  957.8   19.1  232.0   87.4  444.0
2018 160  6  9 1800  -15.6  957.1   20.7  236.0   92.7  444.0
2018 160  6  9 2100  -15.9  959.6   19.9  212.0   96.7  444.0
2018 161  6 10 0000  -17.8  961.1   17.5  204.0   94.5  444.0
2018 161  6 10 0300  -17.9  961.2   21.8  207.0   95.4  444.0
2018 161  6 10 0600  -16.9  964.8   17.2  224.0   95.4  444.0
2018 161  6 10 0900  -16.0  966.4   16.8  212.0   91.8  444.0
2018 161  6 10 1200  -18.9  968.3   17.4  198.0   89.2  444.0
2018 161  6 10 1500  -19.5  969.5   17.4  216.0   87.4  444.0
2018 161  6 10 1800  -20.8  970.3   13.8  211.0   83.0  444.0
2018 161  6 10 2100  -19.2  970.4   15.6  218.0   82.6  444.0
2018 162  6 11 0000  -18.9  972.0   13.5  232.0   72.9  444.0
2018 162  6 11 0300  -19.2  972.4   14.0  225.0   69.4  444.0
2018 162  6 11 0600  -21.6  972.3   10.9  193.0   74.2  444.0
2018 162  6 11 0900  -23.1  973.8   14.0  225.0   80.8  444.0
2018 162  6 11 1200  -23.9  973.8    7.2  188.0   70.7  444.0
2018 162  6 11 1500  -27.9  973.3    6.8  167.0   73.8  444.0
2018 162  6 11 1800  -27.6  974.7    8.0  240.0   72.0  444.0
2018 162  6 11 2100  -27.6  975.0    9.2  245.0   64.1  444.0
2018 163  6 12 0000  -28.2  976.0    5.8  236.0   69.8  444.0
2018 163  6 12 0300  -29.9  977.0    6.0  226.0   73.4  444.0
2018 163  6 12 0600  -31.5  978.0    6.2  224.0   74.2  444.0
2018 163  6 12 0900  -32.8  978.9    6.2  235.0   69.8  444.0
2018 163  6 12 1200  -31.1  980.2    5.5  239.0   63.7  444.0
2018 163  6 12 1500  -29.4  981.7    7.0  231.0   64.6  444.0
2018 163  6 12 1800  -29.4  983.0    7.6  221.0   66.8  444.0
2018 163  6 12 2100  -30.5  984.4    6.0  205.0   69.4  444.0
2018 164  6 13 0000  -29.1  986.1    5.1  221.0   68.1  444.0
2018 164  6 13 0300  -29.2  987.7    4.5  184.0   73.8  444.0
2018 164  6 13 0600  -28.6  989.5    6.6  180.0   81.7  444.0
2018 164  6 13 0900  -28.9  991.3    7.0  209.0   75.6  444.0
2018 164  6 13 1200  -31.6  992.9    5.8  197.0   69.0  444.0
2018 164  6 13 1500  -30.2  993.8    6.2  218.0   69.4  444.0
2018 164  6 13 1800  -28.2  994.3   12.5  222.0   80.0  444.0
2018 164  6 13 2100  -31.8  996.1    9.6  193.0   77.8  444.0
2018 165  6 14 0000  -29.9  996.3    9.4  218.0   75.6  444.0
2018 165  6 14 0300  -31.1  995.9    6.8  236.0   69.0  444.0
2018 165  6 14 0600  -31.1  995.0    2.9  252.0   66.3  444.0
2018 165  6 14 0900  -35.1  994.5    6.0  197.0   65.4  444.0
2018 165  6 14 1200  -39.9  994.5    2.9  208.0   68.5  444.0
2018 165  6 14 1500  -40.9  993.8    2.7  188.0   68.1  444.0
2018 165  6 14 1800  -38.8  993.9    2.1  167.0   69.4  444.0
2018 165  6 14 2100  -38.5  995.1    3.3  184.0   69.8  444.0
2018 166  6 15 0000  -38.1  994.1    1.0  143.0   72.9  444.0
2018 166  6 15 0300  -35.1  993.8    5.1  242.0   74.7  444.0
2018 166  6 15 0600  -35.1  993.4    3.5  280.0   74.2  444.0
2018 166  6 15 0900  -26.0  992.7    6.8  295.0   70.3  444.0
2018 166  6 15 1200  -24.6  992.0    7.4  298.0   77.3  444.0
2018 166  6 15 1500  -26.4  991.7    8.0  183.0   82.6  444.0
2018 166  6 15 1800  -29.5  991.9   10.3  193.0   81.3  444.0
2018 166  6 15 2100  -24.1  992.1   14.6  225.0   85.2  444.0
2018 167  6 16 0000  -23.6  991.1   11.5  216.0   81.3  444.0
2018 167  6 16 0300  -23.9  989.7   15.0  188.0   86.1  444.0
2018 167  6 16 0600  -24.8  988.6   13.3  225.0   83.9  444.0
2018 167  6 16 0900  -22.9  986.9   16.8  225.0   80.0  444.0
2018 167  6 16 1200  -22.6  985.7   23.2  211.0   88.8  444.0
2018 167  6 16 1500  -29.6  986.8   14.8  183.0   81.3  444.0
2018 167  6 16 1800  -34.1  988.5   15.0  200.0   76.0  444.0
2018 167  6 16 2100  -31.2  988.0   10.7  179.0   79.5  444.0
2018 168  6 17 0000  -30.2  989.6    8.8  191.0   80.4  444.0
2018 168  6 17 0300  -32.4  990.5   13.1  197.0   78.6  444.0
2018 168  6 17 0600  -30.6  991.0   14.6  188.0   80.4  444.0
2018 168  6 17 0900  -27.5  991.0   15.2  207.0   80.0  444.0
