Year: 2018  Month: 12  ID: RLS  ARGOS:  8918  Name: RELAY STATION       
Lat: 74.02S  Lon:  43.07E  Elev: 3353m
2018 345 12 11 1200  -22.3  646.3   13.2   32.0   71.0  444.0
2018 345 12 11 1500  -22.7  646.7   12.8   36.0   73.0  444.0
2018 345 12 11 1800  -24.7  646.7   12.0   39.0   70.0  444.0
2018 345 12 11 2100  -27.2  646.6   11.1   41.0   70.0  444.0
2018 346 12 12 0000  -29.1  646.0   10.7   40.0   69.0  444.0
2018 346 12 12 0300  -28.4  645.4   11.9   35.0   70.0  444.0
2018 346 12 12 0600  -26.2  645.2   15.0   33.0   71.0  444.0
2018 346 12 12 0900  -24.2  645.2   16.2   26.0   73.0  444.0
2018 346 12 12 1200  -24.0  644.9   15.4   25.0   72.0  444.0
2018 346 12 12 1500  -25.0  644.8   13.6   21.0   74.0  444.0
2018 346 12 12 1800  -27.0  644.5   11.4   24.0   72.0  444.0
2018 346 12 12 2100  -29.8  644.7    9.9   25.0   69.0  444.0
2018 347 12 13 0000  -31.6  644.1   10.8   30.0   67.0  444.0
2018 347 12 13 0300  -29.9  643.5   10.4   24.0   64.0  444.0
2018 347 12 13 0600  -26.4  642.7   10.8   24.0   66.0  444.0
2018 347 12 13 0900  -22.8  641.8   11.6   18.0   68.0  444.0
2018 347 12 13 1200  -20.9  640.6   10.5   24.0   67.0  444.0
2018 347 12 13 1500  -20.8  640.0    8.2   18.0   68.0  444.0
2018 347 12 13 1800  -23.7  639.4    8.8   24.0   72.0  444.0
2018 347 12 13 2100  -26.9  639.4    8.4   23.0   72.0  444.0
2018 348 12 14 0000  -28.6  639.0    9.2   31.0   66.0  444.0
2018 348 12 14 0300  -27.6  638.6    8.8   28.0   69.0  444.0
2018 348 12 14 0600  -24.6  638.1   11.3   22.0   69.0  444.0
2018 348 12 14 0900  -23.7  638.3   12.3   15.0   72.0  444.0
2018 348 12 14 1200  -23.5  639.0   13.0  359.0   71.0  444.0
2018 348 12 14 1500  -23.9  640.3   11.5  348.0   72.0  444.0
2018 348 12 14 1800  -26.8  641.9    9.6  358.0   70.0  444.0
2018 348 12 14 2100  -31.0  643.1    7.2   14.0   69.0  444.0
2018 349 12 15 0000  -32.6  643.5    6.5   22.0   66.0  444.0
2018 349 12 15 0300  -31.5  643.5    7.5   28.0   66.0  444.0
2018 349 12 15 0600  -27.5  642.6    8.5   30.0   67.0  444.0
2018 349 12 15 0900  -22.8  642.2    6.9   25.0   65.0  444.0
2018 349 12 15 1200  -20.1  641.7    6.1   21.0   58.0  444.0
2018 349 12 15 1500  -18.6  641.4    3.0   29.0   61.0  444.0
2018 349 12 15 1800  -24.4  641.6    3.2   26.0   69.0  444.0
2018 349 12 15 2100  -30.6  642.7    4.5   10.0   72.0  444.0
2018 350 12 16 0000  -32.4  643.1    4.6   27.0   67.0  444.0
2018 350 12 16 0300  -30.9  642.7    5.8   40.0   67.0  444.0
2018 350 12 16 0600  -26.6  642.0    7.0   39.0   68.0  444.0
2018 350 12 16 0900  -22.4  641.4    8.5   14.0   68.0  444.0
2018 350 12 16 1200  -21.7  641.1    8.7    5.0   66.0  444.0
2018 350 12 16 1500  -22.6  640.7    7.9    6.0   64.0  444.0
2018 350 12 16 1800  -24.8  640.2    2.8   28.0   67.0  444.0
2018 350 12 16 2100  -30.3  639.6    3.4   60.0   68.0  444.0
2018 351 12 17 0000  -34.4  638.7    3.1   67.0   68.0  444.0
2018 351 12 17 0300  -27.9  638.3    7.7   24.0   69.0  444.0
2018 351 12 17 0600  -24.4  639.2   11.4    1.0   70.0  444.0
