Year: 2018  Month: 07  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2018 182  7  1 0000  -26.6  992.1    8.6  194.0   85.2  444.0
2018 182  7  1 0300  -27.0  992.1    4.5  205.0   84.8  444.0
2018 182  7  1 0600  -28.2  991.2    4.5  205.0   83.0  444.0
2018 182  7  1 0900  -30.6  990.5    2.1  283.0   80.0  444.0
2018 182  7  1 1200  -29.2  989.8    3.1  225.0   82.2  444.0
2018 182  7  1 1500  -33.2  989.8    3.1  186.0   77.8  444.0
2018 182  7  1 1800  -32.6  990.3    4.7  238.0   78.2  444.0
2018 182  7  1 2100  -34.8  990.9    4.9  242.0   76.4  444.0
2018 183  7  2 0000  -32.4  992.4    5.7  226.0   78.2  444.0
2018 183  7  2 0300  -34.8  993.3    4.5  224.0   75.1  444.0
2018 183  7  2 0600  -35.2  994.2    2.7  221.0   74.7  444.0
2018 183  7  2 0900  -33.6  994.8    2.7  169.0   76.9  444.0
2018 183  7  2 1200  -33.4  995.6    1.4  167.0   77.3  444.0
2018 183  7  2 1500  -28.0  995.6    2.3  298.0   83.5  444.0
2018 183  7  2 1800  -28.2  995.1    2.5  306.0   83.0  444.0
2018 183  7  2 2100  -28.6  994.2    3.7  343.0   84.8  444.0
2018 184  7  3 0000  -25.8  993.3    4.7  340.0   86.6  444.0
2018 184  7  3 0300  -25.5  992.6    8.2  349.0   86.6  444.0
2018 184  7  3 0600  -26.1  993.2    7.0  342.0   85.7  444.0
2018 184  7  3 0900  -25.9  994.7    4.9  350.0   86.1  444.0
2018 184  7  3 1200  -24.6  996.0    2.3  342.0   83.9  444.0
2018 184  7  3 1500  -25.9  997.3    3.3  164.0   85.7  444.0
2018 184  7  3 1800  -27.1  998.2    6.2  195.0   84.8  444.0
2018 184  7  3 2100  -25.1  999.6    7.2  188.0   86.6  444.0
2018 185  7  4 0000  -27.5 1001.0   10.5  188.0   84.4  444.0
2018 185  7  4 0300  -27.9 1001.0   10.7  170.0   83.9  444.0
2018 185  7  4 0600  -26.4 1001.2   13.8  170.0   85.7  444.0
2018 185  7  4 0900  -27.4 1000.4   10.9  164.0   83.9  444.0
2018 185  7  4 1200  -28.2  999.4   12.3  186.0   83.0  444.0
2018 185  7  4 1500  -26.9  998.5   11.1  195.0   84.8  444.0
2018 185  7  4 1800  -25.5  997.4   12.7  198.0   86.6  444.0
2018 185  7  4 2100  -25.2  996.1   12.5  202.0   86.6  444.0
2018 186  7  5 0000  -26.1  995.9   12.3  208.0   85.2  444.0
2018 186  7  5 0300  -24.9  995.1   16.6  209.0   86.1  444.0
2018 186  7  5 0600  -24.4  995.0   10.1  209.0   87.4  444.0
2018 186  7  5 0900  -25.6  994.5   12.3  209.0   86.1  444.0
2018 186  7  5 1200  -27.2  994.2    8.2  190.0   83.9  444.0
2018 186  7  5 1500  -27.9  993.5    8.0  188.0   83.5  444.0
2018 186  7  5 1800  -28.1  993.4    4.7  229.0   82.6  444.0
2018 186  7  5 2100  -31.5  993.3    3.3  246.0   79.1  444.0
2018 187  7  6 0000  -32.6  993.7    2.1  162.0   78.2  444.0
