Year: 2018  Month: 05  ID: WTI  ARGOS: 99505  Name: White Island        
Lat: 78.08S  Lon: 167.46E  Elev:  686m
2018 121  5  1 0000  -23.3  893.3    2.3  153.7   81.0   -0.0
2018 121  5  1 0300  -23.8  892.7    2.7  242.7   81.0    0.2
2018 121  5  1 0600  -23.3  892.0    4.4  247.0   80.9    0.1
2018 121  5  1 0900  -24.4  891.4    5.7  247.9   80.0    0.1
2018 121  5  1 1200  -21.7  890.1    9.6  240.4   78.6    1.1
2018 121  5  1 1500  -22.2  886.9   13.4  194.4   81.8    0.4
2018 121  5  1 1800  -21.8  887.7    5.9  192.2   71.7    0.3
2018 121  5  1 2100  -22.9  886.5    7.8  181.7   65.7    0.2
2018 122  5  2 0000  -24.5  885.9    6.0  202.8   66.5    0.3
2018 122  5  2 0300  -26.3  884.8    9.5  186.9   74.0    0.1
2018 122  5  2 0600  -26.3  884.3   11.8  186.0   71.2    0.2
2018 122  5  2 0900  -26.8  884.6    8.4  176.3   74.0    0.1
2018 122  5  2 1200  -27.4  884.6    5.6  175.2   69.7    0.1
2018 122  5  2 1500  -26.9  883.8   10.7  224.3   69.6    0.2
2018 122  5  2 1800  -27.9  880.9   19.3  257.8   76.9    0.4
2018 122  5  2 2100  -26.8  884.2    7.7  275.8   78.0    0.0
2018 123  5  3 0000  -26.2  884.2   10.7  235.0   78.5    0.1
2018 123  5  3 0300  -25.9  885.3    7.9  209.2   78.6    0.0
2018 123  5  3 0600  -25.6  885.7    9.7  213.6   78.9    0.3
2018 123  5  3 0900  -25.7  884.7   10.9  261.0   78.5    0.1
2018 123  5  3 1200  -22.9  885.1   15.3  226.0   81.1    0.0
2018 123  5  3 1500  -24.6  884.1   19.9  183.7   79.5   -0.0
2018 123  5  3 1800  -23.5  883.8   17.2  162.4   80.9    0.0
2018 123  5  3 2100  -24.2  888.2   11.6  154.2   80.6    0.0
2018 124  5  4 0000  -23.1  889.7    6.5  204.0   81.0    0.4
2018 124  5  4 0300  -25.8  883.2   29.0  199.7   75.8    0.3
2018 124  5  4 0600  -25.0  885.4   27.5  201.9   79.4    0.1
2018 124  5  4 0900  -25.3  890.3    5.1  189.5   79.1    0.1
2018 124  5  4 1200  -25.6  892.0   18.2  177.9   75.0    0.1
2018 124  5  4 1500  -25.4  894.7   10.2  164.0   76.2    0.2
2018 124  5  4 1800  -25.3  897.1    7.3  251.2   74.6    0.2
2018 124  5  4 2100  -24.4  897.6    8.4  279.1   80.1    0.0
2018 125  5  5 0000  -25.7  898.7    7.4  269.1   78.6    0.0
2018 125  5  5 0300  -24.7  899.5    2.5  277.9   80.0    0.1
