Year: 2018  Month: 05  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.45E  Elev:   38m
2018 131  5 11 1800  444.0  964.7    7.7   35.9   62.9  444.0
2018 131  5 11 2100  444.0  964.8    2.9   67.0   61.5  444.0
2018 132  5 12 0000  444.0  964.8    3.0   70.2   76.7  444.0
2018 132  5 12 0300  444.0  963.1    1.2   46.1   78.1  444.0
2018 132  5 12 0600  444.0  961.1    4.6   37.0   52.2  444.0
2018 132  5 12 0900  444.0  960.5    4.8   51.6   41.0  444.0
2018 132  5 12 1200  444.0  961.7    2.2   47.8   72.8  444.0
2018 132  5 12 1500  444.0  964.4    1.4   43.2   72.4  444.0
2018 132  5 12 1800  444.0  967.4    0.3  318.1   81.6  444.0
2018 132  5 12 2100  444.0  969.5    2.0  193.2   79.4  444.0
2018 133  5 13 0000  444.0  971.4    4.8   37.4   72.1  444.0
2018 133  5 13 0300  444.0  971.9    0.6  104.2   74.9  444.0
2018 133  5 13 0600  444.0  971.5    6.3  201.0   80.1  444.0
2018 133  5 13 0900  444.0  972.3    2.2   53.1   80.8  444.0
2018 133  5 13 1200  444.0  971.3   12.0  184.6   73.4  444.0
2018 133  5 13 1500  444.0  973.0    1.6   40.6   81.5  444.0
2018 133  5 13 1800  444.0  973.7    5.2   45.7   81.8  444.0
2018 133  5 13 2100  444.0  973.5    4.4   19.4   87.5  444.0
2018 134  5 14 0000  444.0  969.9   21.7  186.7   90.9  444.0
2018 134  5 14 0300  444.0  970.4   17.0  194.7   64.5  444.0
2018 134  5 14 0600  444.0  968.9   17.7  194.2   67.4  444.0
2018 134  5 14 0900  444.0  966.7   17.9  209.0   49.9  444.0
2018 134  5 14 1200  444.0  966.1   17.8  201.1   60.4  444.0
2018 134  5 14 1500  444.0  966.8   16.9  203.2   56.3  444.0
2018 134  5 14 1800  444.0  965.8   20.1  204.1   36.5  444.0
2018 134  5 14 2100  444.0  966.6   15.7  204.5   64.2  444.0
2018 135  5 15 0000  444.0  966.9   17.3  209.1   63.2  444.0
2018 135  5 15 0300  444.0  966.5   19.4  202.4   56.6  444.0
2018 135  5 15 0600  444.0  966.1   24.3  200.7   57.9  444.0
2018 135  5 15 0900  444.0  965.2   19.9  197.7   55.6  444.0
2018 135  5 15 1200  444.0  970.5   16.2  185.9   50.6  444.0
2018 135  5 15 1500  444.0  973.2   11.0  187.5   50.0  444.0
2018 135  5 15 1800  -28.2  975.0    2.9  114.8   69.8  444.0
2018 135  5 15 2100  -28.3  979.9    7.1   49.9   83.7  444.0
2018 136  5 16 0000  -28.8  982.2    7.1   39.7   80.4  444.0
2018 136  5 16 0300  -29.7  983.1   14.0   37.2   84.4  444.0
