Year: 2018  Month: 11  ID: MNB  ARGOS:  9501  Name: MINNA BLUFF         
Lat: 78.56S  Lon: 166.70E  Elev:  895m
2018 315 11 11 1800  444.0  864.9  444.0  444.0  444.0  444.0
2018 315 11 11 2100  444.0  864.9  444.0  444.0  444.0  444.0
2018 316 11 12 0000  444.0  863.9  444.0  444.0  444.0  444.0
2018 316 11 12 0300  444.0  863.6  444.0  444.0  444.0  444.0
2018 316 11 12 0600  444.0  863.5  444.0  444.0  444.0  444.0
2018 316 11 12 0900  444.0  863.2  444.0  444.0  444.0  444.0
2018 316 11 12 1200  444.0  863.6  444.0  444.0  444.0  444.0
2018 316 11 12 1500  444.0  863.3  444.0  444.0  444.0  444.0
2018 316 11 12 1800  444.0  863.5  444.0  444.0  444.0  444.0
2018 316 11 12 2100  444.0  864.0  444.0  444.0  444.0  444.0
2018 317 11 13 0000  444.0  864.6  444.0  444.0  444.0  444.0
2018 317 11 13 0300  444.0  865.1  444.0  444.0  444.0  444.0
2018 317 11 13 0600  444.0  866.0  444.0  444.0  444.0  444.0
2018 317 11 13 0900  444.0  867.1  444.0  444.0  444.0  444.0
2018 317 11 13 1200  444.0  867.4  444.0  444.0  444.0  444.0
2018 317 11 13 1500  444.0  867.9  444.0  444.0  444.0  444.0
2018 317 11 13 1800  444.0  868.4  444.0  444.0  444.0  444.0
2018 317 11 13 2100  444.0  869.2  444.0  444.0  444.0  444.0
2018 318 11 14 0000  444.0  869.9  444.0  444.0  444.0  444.0
2018 318 11 14 0300  444.0  870.3  444.0  444.0  444.0  444.0
2018 318 11 14 0600  444.0  870.3  444.0  444.0  444.0  444.0
2018 318 11 14 0900  444.0  870.5  444.0  444.0  444.0  444.0
2018 318 11 14 1200  444.0  870.3  444.0  444.0  444.0  444.0
2018 318 11 14 1500  444.0  870.6  444.0  444.0  444.0  444.0
2018 318 11 14 1800  444.0  870.1  444.0  444.0  444.0  444.0
2018 318 11 14 2100  444.0  870.2  444.0  444.0  444.0  444.0
2018 319 11 15 0000  444.0  870.5  444.0  444.0  444.0  444.0
2018 319 11 15 0300  444.0  870.0  444.0  444.0  444.0  444.0
2018 319 11 15 0600  444.0  870.3  444.0  444.0  444.0  444.0
2018 319 11 15 0900  444.0  870.2  444.0  444.0  444.0  444.0
2018 319 11 15 1200  444.0  870.0  444.0  444.0  444.0  444.0
2018 319 11 15 1500  444.0  869.8  444.0  444.0  444.0  444.0
2018 319 11 15 1800  444.0  870.1  444.0  444.0  444.0  444.0
2018 319 11 15 2100  444.0  870.3  444.0  444.0  444.0  444.0
2018 320 11 16 0000  444.0  870.8  444.0  444.0  444.0  444.0
2018 320 11 16 0300  444.0  871.3  444.0  444.0  444.0  444.0
2018 320 11 16 0600  444.0  870.8  444.0  444.0  444.0  444.0
2018 320 11 16 0900  444.0  871.4  444.0  444.0  444.0  444.0
2018 320 11 16 1200  444.0  872.0  444.0  444.0  444.0  444.0
2018 320 11 16 1500  444.0  872.1  444.0  444.0  444.0  444.0
2018 320 11 16 1800  444.0  872.6  444.0  444.0  444.0  444.0
2018 320 11 16 2100  444.0  873.3  444.0  444.0  444.0  444.0
2018 321 11 17 0000  444.0  873.9  444.0  444.0  444.0  444.0
2018 321 11 17 0300  444.0  874.1  444.0  444.0  444.0  444.0
2018 321 11 17 0600  444.0  875.0  444.0  444.0  444.0  444.0
2018 321 11 17 0900  444.0  876.0  444.0  444.0  444.0  444.0
2018 321 11 17 1200  444.0  877.1  444.0  444.0  444.0  444.0
2018 321 11 17 1500  444.0  877.6  444.0  444.0  444.0  444.0
2018 321 11 17 1800  444.0  878.7  444.0  444.0  444.0  444.0
2018 321 11 17 2100  444.0  879.4  444.0  444.0  444.0  444.0
2018 322 11 18 0000  444.0  879.9  444.0  444.0  444.0  444.0
2018 322 11 18 0300  444.0  880.0  444.0  444.0  444.0  444.0
2018 322 11 18 0600  444.0  880.4  444.0  444.0  444.0  444.0
2018 322 11 18 0900  444.0  880.5  444.0  444.0  444.0  444.0
2018 322 11 18 1200  444.0  879.9  444.0  444.0  444.0  444.0
2018 322 11 18 1500  444.0  878.9  444.0  444.0  444.0  444.0
2018 322 11 18 1800  444.0  879.1  444.0  444.0  444.0  444.0
2018 322 11 18 2100  444.0  877.6  444.0  444.0  444.0  444.0
2018 323 11 19 0000  444.0  876.4  444.0  444.0  444.0  444.0
2018 323 11 19 0300  444.0  874.0  444.0  444.0  444.0  444.0
2018 323 11 19 0600  444.0  871.8  444.0  444.0  444.0  444.0
2018 323 11 19 0900  444.0  869.7  444.0  444.0  444.0  444.0
2018 323 11 19 1200  444.0  867.9  444.0  444.0  444.0  444.0
2018 323 11 19 1500  444.0  866.7  444.0  444.0  444.0  444.0
2018 323 11 19 1800  444.0  865.5  444.0  444.0  444.0  444.0
2018 323 11 19 2100  444.0  862.3   15.2  186.2  444.0  444.0
2018 324 11 20 0000  444.0  862.8   14.5  194.1  444.0  444.0
2018 324 11 20 0300  444.0  863.9   13.0  190.5  444.0  444.0
2018 324 11 20 0600  444.0  863.8    9.7  187.8  444.0  444.0
2018 324 11 20 0900  444.0  863.7   11.7  190.8  444.0  444.0
2018 324 11 20 1200  444.0  863.7   12.8  193.8  444.0  444.0
2018 324 11 20 1500  444.0  864.9    9.4  193.0  444.0  444.0
2018 324 11 20 1800  444.0  866.2    7.0  189.0  444.0  444.0
2018 324 11 20 2100  444.0  867.3    8.1  193.1  444.0  444.0
2018 325 11 21 0000  444.0  867.8   12.0  202.0  444.0  444.0
2018 325 11 21 0300  444.0  867.0   15.2  199.8  444.0  444.0
2018 325 11 21 0600  444.0  865.4   20.3  200.5  444.0  444.0
2018 325 11 21 0900  444.0  863.1   24.0  197.4  444.0  444.0
2018 325 11 21 1200  444.0  863.3   23.9  191.0  444.0  444.0
2018 325 11 21 1500  444.0  863.0   17.1  204.0  444.0  444.0
2018 325 11 21 1800  444.0  863.3   20.1  190.4  444.0  444.0
2018 325 11 21 2100  444.0  867.2    8.9  190.5  444.0  444.0
2018 326 11 22 0000  444.0  867.9    3.6  206.8  444.0  444.0
2018 326 11 22 0300  444.0  863.3    3.2  182.2  444.0  444.0
2018 326 11 22 0600  444.0  864.6    4.7  170.2  444.0  444.0
2018 326 11 22 0900  444.0  868.6    0.2  280.9  444.0  444.0
2018 326 11 22 1200  444.0  871.4    0.0  166.6  444.0  444.0
