Year: 2018  Month: 08  ID: MNB  ARGOS: 99501  Name: Minna Bluff         
Lat: 78.56S  Lon: 166.70E  Elev:  895m
2018 223  8 11 1800  444.0  880.7  444.0  444.0  444.0  444.0
2018 223  8 11 2100  444.0  879.6  444.0  444.0  444.0  444.0
2018 224  8 12 0000  444.0  877.2  444.0  444.0  444.0  444.0
2018 224  8 12 0300  444.0  876.7  444.0  444.0  444.0  444.0
2018 224  8 12 0600  444.0  875.2  444.0  444.0  444.0  444.0
2018 224  8 12 0900  444.0  875.8  444.0  444.0  444.0  444.0
2018 224  8 12 1200  444.0  876.0  444.0  444.0  444.0  444.0
2018 224  8 12 1500  444.0  876.7  444.0  444.0  444.0  444.0
2018 224  8 12 1800  444.0  876.2  444.0  444.0  444.0  444.0
2018 224  8 12 2100  444.0  876.2  444.0  444.0  444.0  444.0
2018 225  8 13 0000  444.0  877.1  444.0  444.0  444.0  444.0
2018 225  8 13 0300  444.0  876.8  444.0  444.0  444.0  444.0
2018 225  8 13 0600  444.0  876.4  444.0  444.0  444.0  444.0
2018 225  8 13 0900  444.0  876.6  444.0  444.0  444.0  444.0
2018 225  8 13 1200  444.0  875.9   24.5  199.0  444.0  444.0
2018 225  8 13 1500  444.0  876.8   20.9  201.3  444.0  444.0
2018 225  8 13 1800  444.0  876.5   22.2  200.7  444.0  444.0
2018 225  8 13 2100  444.0  875.4   26.0  191.0  444.0  444.0
2018 226  8 14 0000  444.0  876.9   25.1  199.2  444.0  444.0
2018 226  8 14 0300  444.0  873.7   22.5  193.5  444.0  444.0
2018 226  8 14 0600  444.0  875.0   21.6  194.2  444.0  444.0
2018 226  8 14 0900  444.0  876.6   21.1  195.9  444.0  444.0
2018 226  8 14 1200  444.0  879.8   13.8  192.4  444.0  444.0
2018 226  8 14 1500  444.0  882.5    9.1  194.9  444.0  444.0
2018 226  8 14 1800  444.0  883.1   10.1  189.2  444.0  444.0
2018 226  8 14 2100  444.0  884.4   10.2  179.4  444.0  444.0
2018 227  8 15 0000  444.0  887.7    8.4  184.5  444.0  444.0
2018 227  8 15 0300  444.0  889.0    4.2  190.1  444.0  444.0
2018 227  8 15 0600  444.0  891.0    3.3  194.6  444.0  444.0
2018 227  8 15 0900  444.0  891.3    2.7  194.7  444.0  444.0
2018 227  8 15 1200  444.0  892.1    2.7  120.0  444.0  444.0
2018 227  8 15 1500  444.0  893.0    0.6  167.7  444.0  444.0
2018 227  8 15 1800  444.0  894.0    1.3  113.3  444.0  444.0
2018 227  8 15 2100  444.0  894.0    0.4  181.7  444.0  444.0
2018 228  8 16 0000  444.0  895.3    0.6    3.3  444.0  444.0
2018 228  8 16 0300  444.0  896.1    0.1  129.7  444.0  444.0
2018 228  8 16 0600  444.0  895.7    0.0   97.1  444.0  444.0
2018 228  8 16 0900  444.0  895.3    2.0   29.1  444.0  444.0
2018 228  8 16 1200  444.0  894.7    1.8   15.8  444.0  444.0
2018 228  8 16 1500  444.0  893.0    1.7   34.1  444.0  444.0
2018 228  8 16 1800  444.0  892.6    1.2  340.6  444.0  444.0
2018 228  8 16 2100  444.0  891.2    0.5   43.1  444.0  444.0
2018 229  8 17 0000  444.0  889.6    0.2  102.9  444.0  444.0
2018 229  8 17 0300  444.0  888.4    0.4  116.1  444.0  444.0
