Year: 2018  Month: 01  ID: CHA  ARGOS:  9602  Name: CAPE HALLETT        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2018  11  1 11 1500   -4.4  985.3    1.2  224.6   72.2  444.0
2018  11  1 11 1800  444.0  985.9    0.7  216.0   86.7  444.0
2018  11  1 11 2100   -4.4  986.6    1.0  232.2   88.3  444.0
2018  12  1 12 0000   -2.1  987.2    1.8    1.0   83.9  444.0
2018  12  1 12 0300   -1.5  988.0    2.1  237.3   82.2  444.0
2018  12  1 12 0600   -2.0  989.2    1.2  333.8   83.4  444.0
2018  12  1 12 0900   -2.8  990.8    2.0  233.6   88.1  444.0
2018  12  1 12 1200   -3.9  992.6    1.2  221.0   92.7  444.0
2018  12  1 12 1500   -3.5  993.8    0.8   32.6   89.1  444.0
2018  12  1 12 1800   -3.5  994.5    2.2  313.0   86.9  444.0
2018  12  1 12 2100   -2.8  995.4    0.8  265.2   81.3  444.0
2018  13  1 13 0000   -7.2  996.5    2.0  355.8   77.4  444.0
2018  13  1 13 0300   -6.1  997.4    1.4    9.9   77.0  444.0
2018  13  1 13 0600   -6.4  998.5    0.6  338.1   77.7  444.0
2018  13  1 13 0900  444.0  998.9    0.6   32.9   82.5  444.0
2018  13  1 13 1200  444.0  998.4    0.4    9.2   89.4  444.0
2018  13  1 13 1500   -2.2  995.6    3.4   83.2   88.9  444.0
2018  13  1 13 1800   -2.9  992.5    3.7   81.9   94.5  444.0
2018  13  1 13 2100   -2.3  989.4    1.8  227.5   89.3  444.0
2018  14  1 14 0000   -0.8  987.0    1.4  207.8   79.4  444.0
2018  14  1 14 0300   -0.6  985.3    1.4   55.0   76.5  444.0
2018  14  1 14 0600   -0.8  985.8    4.0  210.8   70.7  444.0
2018  14  1 14 0900   -0.8  986.1    3.2  210.2   63.5  444.0
2018  14  1 14 1200   -1.9  986.8    8.9  240.3   77.3  444.0
2018  14  1 14 1500   -2.3  987.6    8.0  244.1   76.4  444.0
2018  14  1 14 1800   -1.4  988.2    5.9  238.5   74.0  444.0
2018  14  1 14 2100    0.6  988.8    3.5  220.4   69.8  444.0
2018  15  1 15 0000    0.4  988.1    4.2   72.3   72.3  444.0
2018  15  1 15 0300    0.6  986.6    2.9   58.6   70.9  444.0
2018  15  1 15 0600   -0.1  984.7    1.6   62.0   79.5  444.0
2018  15  1 15 0900   -1.0  982.9    2.4   56.4   85.0  444.0
2018  15  1 15 1200   -2.0  981.6    3.8  140.2   84.9  444.0
2018  15  1 15 1500   -3.3  980.1    0.5  234.1   95.1  444.0
2018  15  1 15 1800   -2.8  978.9    1.2  250.0   93.6  444.0
2018  15  1 15 2100   -1.6  977.7    2.6  234.5   85.9  444.0
2018  16  1 16 0000   -0.9  976.6    1.2  234.4   81.5  444.0
2018  16  1 16 0300   -5.1  975.1    2.1  230.6   80.5  444.0
2018  16  1 16 0600   -8.0  974.3    2.5  159.4   82.5  444.0
2018  16  1 16 0900   -1.2  974.2    0.8  232.2   89.3  444.0
2018  16  1 16 1200   -1.4  974.1    0.6  218.0   93.4  444.0
2018  16  1 16 1500   -1.7  973.5    0.5   17.4   93.6  444.0
2018  16  1 16 1800   -2.1  973.8    0.2  257.4   92.0  444.0
2018  16  1 16 2100   -1.2  974.5    0.2  255.6   90.7  444.0
2018  17  1 17 0000   -5.6  975.1    0.8  234.2   90.0  444.0
2018  17  1 17 0300   -7.4  975.5    1.5  231.5   87.7  444.0
2018  17  1 17 0600   -6.0  976.3    2.1  156.4   77.1  444.0
2018  17  1 17 0900   -6.9  977.4    1.9  337.0   90.7  444.0
2018  17  1 17 1200  -10.0  978.1    0.1   55.6   94.6  444.0
2018  17  1 17 1500  -11.3  978.4    0.1   46.4   87.2  444.0
2018  17  1 17 1800   -9.4  978.8    2.0   66.6   79.2  444.0
2018  17  1 17 2100   -7.4  979.4    1.0  339.6   87.4  444.0
2018  18  1 18 0000  444.0  979.5    1.3   26.9   74.6  444.0
2018  18  1 18 0300  444.0  979.1    2.1   28.9   75.4  444.0
2018  18  1 18 0600   -4.2  979.3    2.5   15.5   81.2  444.0
2018  18  1 18 0900   -4.9  979.1    3.7  135.2   71.4  444.0
2018  18  1 18 1200   -8.2  979.2    2.3  214.7   89.4  444.0
2018  18  1 18 1500   -8.9  978.9    0.5  232.0   95.8  444.0
2018  18  1 18 1800   -9.5  978.7    0.2  218.6   95.7  444.0
2018  18  1 18 2100  444.0  978.9    0.5  244.4   91.6  444.0
2018  19  1 19 0000  444.0  979.3    0.3  272.1   86.4  444.0
2018  19  1 19 0300  444.0  979.1    0.9  229.1   79.3  444.0
2018  19  1 19 0600  444.0  978.9    0.6  270.4   81.1  444.0
2018  19  1 19 0900  444.0  979.0    0.5    1.5   82.6  444.0
2018  19  1 19 1200  444.0  979.0    0.6  243.5   90.6  444.0
2018  19  1 19 1500  444.0  978.0    2.5  226.8   97.1  444.0
2018  19  1 19 1800  444.0  977.7    0.7  245.3   78.9  444.0
2018  19  1 19 2100   -2.2  978.2    3.9   53.7   70.6  444.0
2018  20  1 20 0000   -1.6  978.7    1.3   27.5   66.8  444.0
2018  20  1 20 0300  444.0  978.2    0.2   14.8   56.5  444.0
2018  20  1 20 0600   -0.7  977.0    1.6  230.0   52.0  444.0
2018  20  1 20 0900   -2.3  976.1    1.7  270.7   71.4  444.0
2018  20  1 20 1200  444.0  975.7    0.0    0.0   81.4  444.0
2018  20  1 20 1500   -8.1  975.0    0.2  235.8   91.4  444.0
2018  20  1 20 1800   -7.4  974.8    0.0    0.0   82.8  444.0
2018  20  1 20 2100   -5.8  974.7    1.4  241.8   84.9  444.0
2018  21  1 21 0000  -15.3  975.1    1.7   32.0   77.2  444.0
2018  21  1 21 0300  -10.9  975.2    1.5   48.8   63.6  444.0
2018  21  1 21 0600  -10.4  975.9    2.9   44.7   56.3  444.0
2018  21  1 21 0900  444.0  975.6    1.0  242.7   63.1  444.0
2018  21  1 21 1200  444.0  976.5    2.5  225.1   47.3  444.0
2018  21  1 21 1500  444.0  977.0    0.3  266.2   59.9  444.0
2018  21  1 21 1800  444.0  977.7    1.0  230.7   61.3  444.0
2018  21  1 21 2100   -0.6  978.3    5.6  120.9   58.0  444.0
2018  22  1 22 0000   -0.3  979.1    3.5  130.6   68.6  444.0
2018  22  1 22 0300   -0.9  979.5    2.5   13.5   78.3  444.0
2018  22  1 22 0600  444.0  980.1    0.6    8.0   61.8  444.0
2018  22  1 22 0900  444.0  981.3    2.0   32.5   73.2  444.0
2018  22  1 22 1200   -3.3  982.8    0.8  204.6   83.9  444.0
2018  22  1 22 1500   -3.4  984.0    0.5  265.3   90.4  444.0
2018  22  1 22 1800   -4.0  984.7    0.1  244.0   85.9  444.0
2018  22  1 22 2100   -2.9  985.7    0.9   11.9   76.3  444.0
2018  23  1 23 0000   -0.2  986.3    3.6   52.2   74.4  444.0
2018  23  1 23 0300   -0.1  986.3    2.2  243.3   68.1  444.0
2018  23  1 23 0600   -0.2  986.2    1.4   49.4   66.2  444.0
2018  23  1 23 0900   -2.7  986.1    1.7   67.6   79.4  444.0
2018  23  1 23 1200   -4.4  985.7    1.8   48.6   79.3  444.0
2018  23  1 23 1500   -6.7  984.5    1.7   40.0   84.1  444.0
2018  23  1 23 1800   -2.9  982.9    9.3  213.1   63.6  444.0
2018  23  1 23 2100   -0.6  982.4    9.3  218.8   50.7  444.0
2018  24  1 24 0000   -0.5  981.0    7.4  237.0   43.4  444.0
2018  24  1 24 0300   -0.5  980.5   11.2  225.8   54.4  444.0
2018  24  1 24 0600   -0.8  980.0   11.1  214.3   47.0  444.0
2018  24  1 24 0900   -0.8  979.6   14.7  206.8   49.6  444.0
2018  24  1 24 1200   -1.2  979.3   13.8  207.4   50.3  444.0
2018  24  1 24 1500  444.0  979.1   12.1  205.9   52.0  444.0
2018  24  1 24 1800  444.0  978.9    7.9  245.4   63.1  444.0
2018  24  1 24 2100  444.0  979.5   11.3  208.2   44.6  444.0
2018  25  1 25 0000    0.9  980.0   11.9  213.5   45.1  444.0
2018  25  1 25 0300    0.8  981.2   11.0  214.1   46.7  444.0
2018  25  1 25 0600    0.6  982.2    7.8  223.6   54.9  444.0
2018  25  1 25 0900   -0.5  983.3    8.5  238.1   73.8  444.0
2018  25  1 25 1200   -0.3  985.0    8.0  229.6   74.0  444.0
2018  25  1 25 1500   -2.3  986.4    6.1  228.6   81.4  444.0
2018  25  1 25 1800   -2.2  988.4    7.9  237.3   81.8  444.0
2018  25  1 25 2100    0.0  989.7    6.3  218.2   45.1  444.0
2018  26  1 26 0000   -0.4  990.9    7.0  245.9   71.3  444.0
2018  26  1 26 0300   -0.3  991.5    7.0  229.9   71.8  444.0
2018  26  1 26 0600    0.1  992.3    1.8  266.6   64.5  444.0
2018  26  1 26 0900   -1.0  992.5    2.2   54.0   74.1  444.0
2018  26  1 26 1200   -3.7  992.4    0.6  225.7   88.8  444.0
2018  26  1 26 1500   -4.2  991.3    1.6  214.8   80.5  444.0
2018  26  1 26 1800   -5.5  990.4    0.1  342.3   81.2  444.0
2018  26  1 26 2100   -2.9  989.8    1.7   40.1   77.4  444.0
2018  27  1 27 0000   -1.2  989.7    0.6  261.5   71.9  444.0
2018  27  1 27 0300    0.1  989.0    3.4   28.8   76.4  444.0
2018  27  1 27 0600   -0.4  989.2    1.2   47.3   55.9  444.0
2018  27  1 27 0900   -1.4  989.1    1.1  221.2   73.2  444.0
2018  27  1 27 1200   -5.8  989.8    0.7  241.6   94.4  444.0
2018  27  1 27 1500   -7.1  990.7    0.0  359.5   94.5  444.0
2018  27  1 27 1800   -6.8  991.9    0.0    0.0   91.2  444.0
2018  27  1 27 2100  444.0  993.3    0.8  239.5   79.2  444.0
2018  28  1 28 0000  444.0  994.8    1.1  343.9   78.3  444.0
2018  28  1 28 0300   -1.5  995.6    4.1  141.2   71.3  444.0
2018  28  1 28 0600   -1.8  996.1    2.8  143.7   73.3  444.0
2018  28  1 28 0900   -2.1  996.1    3.0  155.2   74.9  444.0
2018  28  1 28 1200   -2.7  996.1    2.8  139.6   76.8  444.0
2018  28  1 28 1500   -3.5  995.3    1.2  233.5   89.1  444.0
2018  28  1 28 1800   -4.1  994.1    1.1  223.6   93.5  444.0
2018  28  1 28 2100   -3.7  993.4    0.4  223.6   93.1  444.0
2018  29  1 29 0000   -3.6  992.2    1.1  232.7   94.6  444.0
2018  29  1 29 0300   -3.2  990.8    1.1  220.5   90.9  444.0
2018  29  1 29 0600   -2.6  989.3    1.6  214.2   72.2  444.0
2018  29  1 29 0900   -2.8  988.7    2.8  133.8   71.2  444.0
2018  29  1 29 1200   -3.2  987.8    3.8  208.8   63.7  444.0
2018  29  1 29 1500   -4.4  986.7    6.9  223.4   77.7  444.0
2018  29  1 29 1800   -4.6  985.9    6.0  236.4   67.6  444.0
2018  29  1 29 2100   -3.7  985.0    7.7  244.3   65.2  444.0
2018  30  1 30 0000   -4.3  984.7   11.8  229.0   76.8  444.0
2018  30  1 30 0300   -3.8  984.5   10.3  243.2   68.2  444.0
2018  30  1 30 0600   -1.3  984.9    8.9  205.4   39.5  444.0
2018  30  1 30 0900   -4.4  985.7    8.5  232.1   65.7  444.0
2018  30  1 30 1200   -4.5  986.3    7.1  236.2   55.7  444.0
2018  30  1 30 1500   -4.1  986.9    1.3  159.6   64.1  444.0
2018  30  1 30 1800   -4.7  987.9    4.6  250.2   71.1  444.0
2018  30  1 30 2100   -3.3  989.4    1.7  292.4   64.0  444.0
2018  31  1 31 0000   -2.9  990.3    0.9   10.8   60.0  444.0
2018  31  1 31 0300   -2.2  991.0    0.3   61.1   62.0  444.0
2018  31  1 31 0600   -2.5  991.4    0.4  349.0   57.1  444.0
2018  31  1 31 0900   -3.2  992.4    1.2  313.7   71.4  444.0
2018  31  1 31 1200   -7.2  993.1    0.8  235.7   88.4  444.0
2018  31  1 31 1500   -7.5  993.2    0.6  215.1   89.0  444.0
2018  31  1 31 1800   -6.5  994.1    0.2  221.8   84.9  444.0
2018  31  1 31 2100   -4.6  994.9    0.0  278.0   81.0  444.0
