Year: 2018  Month: 08  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.87S  Lon: 166.95E  Elev:   12m
2018 213  8  1 0000  -35.9 1010.8    0.5   22.1   65.9    7.3
2018 213  8  1 0300  -41.3 1009.0    0.8   40.7   63.9    4.5
2018 213  8  1 0600  -36.3 1007.5    0.5   18.1   68.8    7.5
2018 213  8  1 0900  -35.6 1006.5    0.3   45.2   69.7    9.4
2018 213  8  1 1200  -33.5 1005.4    0.5   16.9   71.7   10.2
2018 213  8  1 1500  -31.9 1005.0    0.4    1.6   70.0    9.7
2018 213  8  1 1800  -43.5 1004.4    0.3   45.8   58.9    1.5
2018 213  8  1 2100  -44.5 1004.9    0.3   65.2   59.1    1.3
2018 214  8  2 0000  -43.4 1006.5    0.9   17.9   62.0    0.5
2018 214  8  2 0300  -39.1 1006.2    0.7   30.1   65.1    0.5
2018 214  8  2 0600  -37.9 1006.4    1.0  116.7   66.8    1.9
2018 214  8  2 0900  -39.9 1006.3    0.0    0.0   64.0    4.6
2018 214  8  2 1200  -43.2 1006.5    0.9   35.9   60.3    0.7
2018 214  8  2 1500  -47.5 1005.8    0.0    0.0   55.7    0.1
2018 214  8  2 1800  -35.6 1005.8    0.0    0.0   64.6    3.9
2018 214  8  2 2100  -43.6 1005.9    0.6   36.0   59.9    2.4
2018 215  8  3 0000  -46.1 1006.8  444.0  444.0   56.6    0.8
2018 215  8  3 0300  -35.0 1007.6  444.0  444.0   68.2    8.6
2018 215  8  3 0600  -34.6 1008.8  444.0  444.0   68.5   10.3
2018 215  8  3 0900  -34.8 1010.9  444.0  444.0   70.8    8.4
2018 215  8  3 1200  -37.2 1011.1  444.0  444.0   67.2    8.6
2018 215  8  3 1500  -38.5 1012.3  444.0  444.0   67.3    4.3
2018 215  8  3 1800  -37.5 1012.4  444.0  444.0   66.1    5.8
2018 215  8  3 2100  -43.5 1012.2  444.0  444.0   61.2    2.2
2018 216  8  4 0000  -43.7 1011.0  444.0  444.0   60.1    1.4
2018 216  8  4 0300  -44.0 1010.0  444.0  444.0   58.4    1.3
2018 216  8  4 0600  -45.8 1008.5  444.0  444.0   57.6    0.6
2018 216  8  4 0900  -44.2 1006.8  444.0  444.0   61.1    1.7
2018 216  8  4 1200  -45.5 1006.4  444.0  444.0   58.0    0.6
2018 216  8  4 1500  -39.9 1006.0  444.0  444.0   62.3    2.4
2018 216  8  4 1800  -40.9 1004.4  444.0  444.0   64.2    2.0
2018 216  8  4 2100  -42.2 1004.7  444.0  444.0   61.7    1.0
2018 217  8  5 0000  -43.9 1002.9  444.0  444.0   58.6    1.7
2018 217  8  5 0300  -43.1 1000.9  444.0  444.0   61.2    0.7
2018 217  8  5 0600  -42.1  998.3  444.0  444.0   62.4    3.8
2018 217  8  5 0900  -38.3  995.8  444.0  444.0   64.7    0.2
2018 217  8  5 1200  -38.4  991.8  444.0  444.0   63.7    0.7
2018 217  8  5 1500  -41.5  989.9  444.0  444.0   59.7    3.4
2018 217  8  5 1800  -35.5  987.7  444.0  444.0   68.8    7.3
2018 217  8  5 2100  -38.6  988.0  444.0  444.0   64.9    0.9
2018 218  8  6 0000  -37.8  988.3  444.0  444.0   65.1    1.2
2018 218  8  6 0300  -29.5  988.8   10.6  144.8   75.3    0.4
2018 218  8  6 0600  -29.4  989.8    3.7  157.2   74.1    1.2
2018 218  8  6 0900  -28.5  991.4    2.7  249.9   73.3    1.2
2018 218  8  6 1200  -30.1  993.1    2.5  276.2   69.5    5.4
2018 218  8  6 1500  -35.1  994.4    1.5  272.5   68.6    2.7
2018 218  8  6 1800  -35.5  994.8    5.5  218.1   65.3    2.7
2018 218  8  6 2100  -35.9  994.5    1.6  139.5   68.9    4.2
2018 219  8  7 0000  -34.2  994.7    2.6  123.5   64.5    2.1
2018 219  8  7 0300  -29.6  994.7    3.5   31.2   68.2    6.5
2018 219  8  7 0600  -34.3  992.9    4.6   25.7   66.1    3.3
2018 219  8  7 0900  -36.8  991.4    1.4   47.8   63.2    1.4
2018 219  8  7 1200  -33.3  991.9    3.3    3.0   74.4    3.3
2018 219  8  7 1500  -37.4  990.6    2.5  185.7   64.8    1.6
2018 219  8  7 1800  -34.8  988.1    2.5  163.9   71.4    2.2
2018 219  8  7 2100  -18.7  983.1   12.8  329.5   74.5    0.6
2018 220  8  8 0000  -15.9  986.4    1.1  339.6   77.0    0.8
2018 220  8  8 0300  -14.0  987.2    3.8  188.4   87.1    0.3
2018 220  8  8 0600  -15.3  991.1    5.8  171.3   89.3    0.2
2018 220  8  8 0900  -29.5  997.4    5.5   66.1   75.0   -0.1
2018 220  8  8 1200  -27.8  999.6    7.1   81.8   74.1    0.2
