Year: 2018  Month: 01  ID: MNB  ARGOS:  9501  Name: MINNA BLUFF         
Lat: 78.56S  Lon: 166.70E  Elev:  895m
2018   1  1  1 0000   -2.9  882.0    3.4  336.8   65.5  444.0
2018   1  1  1 0300   -3.2  882.0    3.1  320.3   69.1  444.0
2018   1  1  1 0600   -4.1  882.0    0.4   10.2   78.4  444.0
2018   1  1  1 0900   -4.0  882.0    1.0   62.5   41.0  444.0
2018   1  1  1 1200   -5.2  882.4    0.0    0.0   53.3  444.0
2018   1  1  1 1500   -5.7  881.9    0.1   16.6   55.8  444.0
2018   1  1  1 1800   -5.7  882.4    1.8  161.2   66.7  444.0
2018   1  1  1 2100   -7.5  883.2    5.0  237.6   73.7  444.0
2018   2  1  2 0000   -6.6  883.5    3.8  230.5   75.1  444.0
2018   2  1  2 0300   -3.6  883.9    2.1  230.8   44.4  444.0
2018   2  1  2 0600   -4.6  884.2    2.0  247.0   50.6  444.0
2018   2  1  2 0900   -4.7  884.9    1.5  216.5   47.9  444.0
2018   2  1  2 1200   -5.9  885.5    2.0  217.3   53.2  444.0
2018   2  1  2 1500   -6.4  886.1    2.5  197.8   53.0  444.0
2018   2  1  2 1800   -6.2  887.1    2.9  188.6   50.7  444.0
2018   2  1  2 2100   -5.9  888.3    3.8  190.7   49.8  444.0
2018   3  1  3 0000   -7.2  889.2    6.6  215.6   71.2  444.0
2018   3  1  3 0300   -5.6  890.0    6.7  207.9   69.5  444.0
2018   3  1  3 0600   -7.1  889.9    6.3  201.8   76.7  444.0
2018   3  1  3 0900   -6.5  890.2    6.9  201.5   67.7  444.0
2018   3  1  3 1200   -7.1  889.7    7.1  201.9   74.2  444.0
2018   3  1  3 1500   -6.7  890.0    4.7  196.0   74.1  444.0
2018   3  1  3 1800   -5.8  889.7    0.1  204.0   46.4  444.0
2018   3  1  3 2100   -2.3  889.1    1.9  297.6   63.2  444.0
2018   4  1  4 0000   -1.0  888.1    3.7  215.6   39.2  444.0
2018   4  1  4 0300   -2.4  886.8    1.6  189.9   36.0  444.0
2018   4  1  4 0600   -2.7  885.5    3.7  315.1   75.8  444.0
2018   4  1  4 0900   -4.5  884.1    5.0  323.8   69.3  444.0
2018   4  1  4 1200   -5.2  883.1    6.5  323.4   63.2  444.0
2018   4  1  4 1500   -6.6  881.4    8.1  313.4   66.4  444.0
