Year: 2018  Month: 11  ID: THI  ARGOS:  8930  Name: Thurston Island     
Lat: 72.94S  Lon:  97.55W  Elev:  145m
2018 315 11 11 1200   -8.6  936.2  444.0  444.0   91.0  444.0
2018 315 11 11 1500   -7.2  933.1  444.0  444.0   95.5  444.0
2018 315 11 11 1800   -6.0  930.8  444.0  444.0   95.0  444.0
2018 315 11 11 2100   -5.3  930.0  444.0  444.0   84.0  444.0
2018 316 11 12 0000   -6.0  929.3  444.0  444.0   90.0  444.0
2018 316 11 12 0300   -7.0  929.2  444.0  444.0   99.9  444.0
2018 316 11 12 0600   -6.8  929.2  444.0  444.0   99.0  444.0
2018 316 11 12 0900   -6.3  929.5  444.0  444.0   97.0  444.0
2018 316 11 12 1200   -5.6  929.6  444.0  444.0   88.0  444.0
2018 316 11 12 1500   -4.7  930.3  444.0  444.0   80.0  444.0
2018 316 11 12 1800   -4.4  930.8  444.0  444.0   75.0  444.0
2018 316 11 12 2100   -3.9  931.6  444.0  444.0   76.1  444.0
2018 317 11 13 0000   -4.6  933.2  444.0  444.0   73.0  444.0
2018 317 11 13 0300   -5.9  935.0  444.0  444.0   82.0  444.0
2018 317 11 13 0600   -8.1  936.9  444.0  444.0   99.4  444.0
2018 317 11 13 0900   -8.8  938.7  444.0  444.0  100.0  444.0
2018 317 11 13 1200   -7.8  940.3  444.0  444.0   72.0  444.0
2018 317 11 13 1500   -6.2  941.4  444.0  444.0   76.0  444.0
2018 317 11 13 1800   -6.9  942.9  444.0  444.0   74.0  444.0
2018 317 11 13 2100   -7.5  944.7  444.0  444.0   77.8  444.0
2018 318 11 14 0000   -8.2  946.2  444.0  444.0   83.0  444.0
2018 318 11 14 0300   -7.8  947.8  444.0  444.0   77.0  444.0
2018 318 11 14 0600   -8.0  948.8  444.0  444.0   81.0  444.0
2018 318 11 14 0900   -7.3  949.1  444.0  444.0   70.0  444.0
2018 318 11 14 1200   -8.3  949.2  444.0  444.0   80.6  444.0
2018 318 11 14 1500   -7.5  949.5  444.0  444.0   69.0  444.0
2018 318 11 14 1800   -7.6  949.7  444.0  444.0   78.0  444.0
2018 318 11 14 2100   -5.7  949.9  444.0  444.0   68.0  444.0
2018 319 11 15 0000   -5.3  950.5  444.0  444.0   66.0  444.0
2018 319 11 15 0300   -6.3  950.2  444.0  444.0   77.0  444.0
2018 319 11 15 0600   -6.4  951.1  444.0  444.0   83.0  444.0
2018 319 11 15 0900   -6.4  951.5  444.0  444.0   87.0  444.0
2018 319 11 15 1200   -6.2  952.2  444.0  444.0   87.0  444.0
