Year: 2018  Month: 10  ID: EKN  ARGOS:  8923  Name: Evans Knoll         
Lat: 74.85S  Lon: 100.41W  Elev:  188m                  
2018 284 10 11 1200   -4.9  958.1    6.6  444.0   82.0  444.0
2018 284 10 11 1500   -4.5  956.7    3.0  444.0   81.0  444.0
2018 284 10 11 1800   -4.3  956.6   17.1  444.0   89.4  444.0
2018 284 10 11 2100   -4.5  957.8   16.0  444.0   86.0  444.0
2018 285 10 12 0000   -4.5  957.7   14.8  444.0   77.0  444.0
2018 285 10 12 0300   -4.0  958.0   16.0  444.0   78.0  444.0
2018 285 10 12 0600   -4.1  958.6   12.0  444.0   79.0  444.0
2018 285 10 12 0900   -2.8  960.8   12.1  444.0   68.0  444.0
2018 285 10 12 1200   -8.8  962.4    8.1  444.0   96.0  444.0
2018 285 10 12 1500  -13.9  963.2    8.6  444.0   87.0  444.0
2018 285 10 12 1800  -11.9  963.6    8.4  444.0   90.0  444.0
2018 285 10 12 2100  -11.6  964.2    6.8  444.0   90.0  444.0
2018 286 10 13 0000   -9.7  964.4    6.2  444.0   92.0  444.0
2018 286 10 13 0300   -6.8  964.4    5.7  444.0   77.0  444.0
2018 286 10 13 0600   -5.0  965.0    2.3  444.0   71.0  444.0
2018 286 10 13 0900   -4.9  965.9    1.0  444.0   82.0  444.0
2018 286 10 13 1200   -5.9  966.5    2.1  444.0   92.0  444.0
2018 286 10 13 1500   -6.4  966.7    3.9  444.0   90.9  444.0
2018 286 10 13 1800   -6.2  967.8    1.8  444.0   88.3  444.0
2018 286 10 13 2100   -6.5  969.0    2.8  444.0   85.6  444.0
2018 287 10 14 0000   -6.4  969.5    3.4  444.0   83.0  444.0
2018 287 10 14 0300   -7.1  969.7    3.1  444.0   78.5  444.0
2018 287 10 14 0600   -8.4  970.8    1.8  444.0   90.0  444.0
2018 287 10 14 0900   -8.3  971.5    0.4  444.0   85.0  444.0
2018 287 10 14 1200   -9.9  972.0    4.1  444.0   77.0  444.0
2018 287 10 14 1500   -9.3  972.3    2.7  444.0   77.0  444.0
2018 287 10 14 1800   -4.1  972.6    0.0  444.0   62.8  444.0
2018 287 10 14 2100   -6.4  972.8    0.6  444.0   67.0  444.0
2018 288 10 15 0000   -8.8  973.2    1.0  444.0   83.9  444.0
2018 288 10 15 0300  -10.4  973.7    1.3  444.0   85.0  444.0
2018 288 10 15 0600  -10.9  974.6    1.1  444.0   93.1  444.0
2018 288 10 15 0900  -10.8  975.4    1.0  444.0   91.9  444.0
2018 288 10 15 1200  -11.1  976.4    3.4  444.0   92.0  444.0
2018 288 10 15 1500  -10.3  977.2    2.3  444.0   91.1  444.0
2018 288 10 15 1800  -11.4  978.5    3.8  444.0   90.0  444.0
2018 288 10 15 2100   -9.3  979.4    0.9  444.0   88.5  444.0
2018 289 10 16 0000   -8.5  978.8    1.5  444.0   89.0  444.0
2018 289 10 16 0300   -9.5  977.1    4.1  444.0   83.5  444.0
2018 289 10 16 0600   -9.4  974.0    5.1  444.0   84.0  444.0
2018 289 10 16 0900   -7.2  969.8   13.3  444.0   84.7  444.0
2018 289 10 16 1200   -7.1  962.5   24.1  444.0   94.0  444.0
2018 289 10 16 1500   -5.2  965.2   14.9  444.0   95.0  444.0
2018 289 10 16 1800   -4.6  969.5    9.5  444.0   91.0  444.0
2018 289 10 16 2100   -5.5  969.9    6.0  444.0   88.6  444.0
2018 290 10 17 0000   -3.2  968.4    4.8  444.0   70.0  444.0
2018 290 10 17 0300   -2.9  966.4   14.3  444.0   75.0  444.0
2018 290 10 17 0600   -4.6  963.2   12.6  444.0   89.0  444.0
2018 290 10 17 0900   -4.4  959.9   11.8  444.0   95.0  444.0
2018 290 10 17 1200   -4.0  955.9   19.9  444.0   97.0  444.0
2018 290 10 17 1500   -3.4  958.5   18.2  444.0   97.0  444.0
2018 290 10 17 1800   -2.6  962.4   13.9  444.0   90.0  444.0
2018 290 10 17 2100   -5.0  968.1   10.0  444.0   90.3  444.0
2018 291 10 18 0000   -4.5  970.5    8.1  444.0   84.4  444.0
2018 291 10 18 0300   -3.7  968.8   12.2  444.0   97.0  444.0
2018 291 10 18 0600   -2.6  969.7    9.3  444.0   98.0  444.0
2018 291 10 18 0900   -2.8  969.2    7.4  444.0   91.0  444.0
2018 291 10 18 1200   -3.2  965.6    9.1  444.0   72.0  444.0
2018 291 10 18 1500   -2.4  963.5   13.7  444.0   78.0  444.0
2018 291 10 18 1800   -3.6  961.9   13.3  444.0   89.0  444.0
2018 291 10 18 2100   -2.4  958.7   10.9  444.0   93.0  444.0
2018 292 10 19 0000   -1.6  952.9   13.4  444.0   88.5  444.0
2018 292 10 19 0300   -2.3  946.1   16.1  444.0   94.0  444.0
2018 292 10 19 0600   -2.5  942.0   12.1  444.0   96.8  444.0
2018 292 10 19 0900   -3.1  937.9    9.5  444.0   97.0  444.0
2018 292 10 19 1200   -2.5  935.5    8.9  444.0   98.0  444.0
2018 292 10 19 1500   -3.2  938.2    7.8  444.0   98.0  444.0
2018 292 10 19 1800   -4.7  941.7   12.5  444.0   96.6  444.0
2018 292 10 19 2100   -7.2  945.6   13.1  444.0   95.0  444.0
2018 293 10 20 0000   -7.7  949.0   11.3  444.0   95.0  444.0
2018 293 10 20 0300   -8.3  951.4    7.2  444.0   94.0  444.0
2018 293 10 20 0600   -8.0  954.5    6.5  444.0   95.0  444.0
2018 293 10 20 0900  -10.3  957.9    6.7  444.0   92.4  444.0
2018 293 10 20 1200  -12.4  961.0    4.4  444.0   92.0  444.0
2018 293 10 20 1500  -11.0  962.5    5.7  444.0   92.0  444.0
2018 293 10 20 1800   -9.4  964.1    2.3  444.0   93.7  444.0
2018 293 10 20 2100   -9.0  964.3    8.3  444.0   93.5  444.0
2018 294 10 21 0000   -9.7  965.1    4.1  444.0   93.0  444.0
2018 294 10 21 0300  -10.1  965.1    1.7  444.0   93.0  444.0
2018 294 10 21 0600  -10.3  965.4    0.9  444.0   93.0  444.0
2018 294 10 21 0900  -10.5  964.2    3.3  444.0   92.5  444.0
2018 294 10 21 1200  -10.6  961.3    5.5  444.0   92.0  444.0
2018 294 10 21 1500   -8.0  958.7    3.2  444.0   94.0  444.0
2018 294 10 21 1800   -5.1  956.5    1.2  444.0   95.3  444.0
2018 294 10 21 2100   -4.5  955.1    1.3  444.0   96.2  444.0
2018 295 10 22 0000   -4.6  954.3    1.8  444.0   96.0  444.0
2018 295 10 22 0300   -6.7  954.2    4.7  444.0   95.0  444.0
2018 295 10 22 0600   -8.9  955.8    0.8  444.0   94.0  444.0
2018 295 10 22 0900  -11.5  957.7    1.7  444.0   92.0  444.0
2018 295 10 22 1200  -13.6  958.8    2.8  444.0   90.0  444.0
2018 295 10 22 1500  -13.3  959.4    0.6  444.0   92.9  444.0
2018 295 10 22 1800  444.0  959.3    0.0  444.0   91.0  444.0
2018 295 10 22 2100  -11.3  959.1    3.3  444.0   92.0  444.0
2018 296 10 23 0000   -8.2  959.0    0.2  444.0   94.4  444.0
2018 296 10 23 0300  -10.5  959.4    1.8  444.0   93.0  444.0
2018 296 10 23 0600  -12.3  960.2    1.4  444.0   91.0  444.0
2018 296 10 23 0900  -12.7  961.1    1.2  444.0   91.0  444.0
2018 296 10 23 1200  -10.3  961.2    0.9  444.0   93.0  444.0
2018 296 10 23 1500  -10.4  960.2    5.7  444.0   92.3  444.0
2018 296 10 23 1800   -9.0  957.9    6.4  444.0   92.6  444.0
2018 296 10 23 2100   -6.6  954.9    5.1  444.0   75.9  444.0
2018 297 10 24 0000   -5.2  952.3    4.3  444.0   97.0  444.0
2018 297 10 24 0300   -3.9  950.1    3.8  444.0   96.0  444.0
2018 297 10 24 0600   -3.2  948.9    5.6  444.0   93.5  444.0
2018 297 10 24 0900   -2.1  948.7    2.2  444.0   88.0  444.0
2018 297 10 24 1200   -2.7  948.7    7.7  444.0   93.0  444.0
2018 297 10 24 1500   -2.1  949.9    8.7  444.0   88.0  444.0
2018 297 10 24 1800   -2.0  951.0   12.1  444.0   91.5  444.0
2018 297 10 24 2100   -1.4  951.5   11.4  444.0   90.9  444.0
2018 298 10 25 0000   -1.8  951.8    6.3  444.0   89.0  444.0
2018 298 10 25 0300   -1.4  949.9   12.5  444.0   90.0  444.0
2018 298 10 25 0600   -1.6  949.6   11.8  444.0   90.0  444.0
2018 298 10 25 0900   -1.1  950.0    7.7  444.0   87.5  444.0
2018 298 10 25 1200   -5.1  954.3    6.2  444.0   96.0  444.0
2018 298 10 25 1500   -6.0  957.9    3.1  444.0   90.3  444.0
2018 298 10 25 1800   -5.7  957.9    5.1  444.0   91.0  444.0
2018 298 10 25 2100   -4.4  954.3    8.1  444.0   96.0  444.0
2018 299 10 26 0000   -1.2  951.8    4.4  444.0   79.4  444.0
2018 299 10 26 0300   -0.6  948.8   12.0  444.0   81.5  444.0
2018 299 10 26 0600   -1.5  948.3   10.3  444.0   85.0  444.0
2018 299 10 26 0900   -2.0  948.3    6.0  444.0   88.0  444.0
2018 299 10 26 1200   -0.8  948.5    9.7  444.0   77.6  444.0
2018 299 10 26 1500   -1.7  947.1   11.6  444.0   88.0  444.0
2018 299 10 26 1800   -1.2  948.4   12.5  444.0   84.4  444.0
2018 299 10 26 2100   -1.1  949.5   12.2  444.0   82.0  444.0
2018 300 10 27 0000   -1.0  950.4   11.2  444.0   82.0  444.0
2018 300 10 27 0300   -1.7  950.5   12.4  444.0   84.0  444.0
2018 300 10 27 0600   -1.0  948.9   19.2  444.0   79.6  444.0
2018 300 10 27 0900   -2.0  949.1   12.2  444.0   82.0  444.0
2018 300 10 27 1200    0.4  949.6    9.9  444.0   58.0  444.0
2018 300 10 27 1500   -2.4  947.0   18.4  444.0   85.1  444.0
2018 300 10 27 1800   -2.3  947.5   12.1  444.0   83.0  444.0
2018 300 10 27 2100   -2.8  946.8   10.2  444.0   82.0  444.0
2018 301 10 28 0000   -3.2  945.4   17.9  444.0   76.0  444.0
2018 301 10 28 0300   -3.9  943.3   13.8  444.0   75.0  444.0
2018 301 10 28 0600   -1.6  944.2   14.4  444.0   62.0  444.0
2018 301 10 28 0900   -7.5  943.4   13.1  444.0   85.0  444.0
2018 301 10 28 1200   -3.8  944.2    9.7  444.0   69.0  444.0
2018 301 10 28 1500   -4.5  945.7    9.0  444.0   74.0  444.0
2018 301 10 28 1800  -10.2  945.8   13.2  444.0   88.0  444.0
2018 301 10 28 2100   -8.6  946.0   11.2  444.0   84.0  444.0
2018 302 10 29 0000   -9.1  946.1    7.5  444.0   92.1  444.0
2018 302 10 29 0300   -8.0  946.1    5.3  444.0   82.0  444.0
2018 302 10 29 0600   -6.7  946.3    1.0  444.0   80.0  444.0
