Year: 2018  Month: 09  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.82W  Elev:   10m
2018 254  9 11 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 254  9 11 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 255  9 12 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 256  9 13 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 256  9 13 0300  444.0  444.0    2.6  137.0   95.0  444.0
2018 256  9 13 0600  444.0  961.5    4.0  178.0   91.6  444.0
2018 256  9 13 0900  444.0  959.5    8.5  205.0   72.9  444.0
2018 256  9 13 1200  444.0  955.9    9.3  204.0   71.7  444.0
2018 256  9 13 1500  444.0  952.8   13.5  169.0   82.2  444.0
2018 256  9 13 1800  444.0  953.1   15.4  163.0   77.0  444.0
2018 256  9 13 2100  444.0  953.4   12.5  176.0   72.9  444.0
2018 257  9 14 0000  444.0  956.0   11.0  153.0   66.5  444.0
2018 257  9 14 0300  444.0  958.9    3.3  180.0   61.0  444.0
2018 257  9 14 0600  444.0  962.2    2.3  240.0   79.0  444.0
2018 257  9 14 0900  444.0  964.3    4.0  190.0   74.0  444.0
2018 257  9 14 1200  444.0  967.5    2.5  353.0   71.3  444.0
2018 257  9 14 1500  444.0  444.0    6.4   31.0   83.0  444.0
2018 257  9 14 1800  444.0  970.6    4.9  337.0   89.0  444.0
2018 257  9 14 2100  444.0  973.6    7.7    8.0   83.0  444.0
2018 258  9 15 0000  444.0  976.2    6.3   22.0   85.0  444.0
2018 258  9 15 0300  444.0  976.8    7.4   53.0   84.0  444.0
2018 258  9 15 0600  444.0  982.3    1.0   10.0   81.5  444.0
2018 258  9 15 0900  444.0  981.3    1.3   75.0   86.0  444.0
