Year: 2018  Month: 07  ID: MNB  ARGOS: 99501  Name: Minna Bluff         
Lat: 78.56S  Lon: 166.70E  Elev:  895m
2018 182  7  1 0000  -29.3  883.0  444.0  444.0  444.0  444.0
2018 182  7  1 0300  -28.4  882.0  444.0  444.0  444.0  444.0
2018 182  7  1 0600  -29.5  880.9  444.0  444.0  444.0  444.0
2018 182  7  1 0900  -29.5  880.6  444.0  444.0  444.0  444.0
2018 182  7  1 1200  -28.3  880.0  444.0  444.0  444.0  444.0
2018 182  7  1 1500  -28.6  879.9  444.0  444.0  444.0  444.0
2018 182  7  1 1800  -28.4  879.9  444.0  444.0  444.0  444.0
2018 182  7  1 2100  -29.4  880.6  444.0  444.0  444.0  444.0
2018 183  7  2 0000  -29.9  881.5  444.0  444.0  444.0  444.0
2018 183  7  2 0300  -30.0  882.1  444.0  444.0  444.0  444.0
2018 183  7  2 0600  -30.3  883.1  444.0  444.0  444.0  444.0
2018 183  7  2 0900  -30.2  883.7  444.0  444.0  444.0  444.0
2018 183  7  2 1200  -29.2  884.0  444.0  444.0  444.0  444.0
2018 183  7  2 1500  -28.8  883.8  444.0  444.0  444.0  444.0
2018 183  7  2 1800  -29.4  882.9  444.0  444.0  444.0  444.0
2018 183  7  2 2100  -28.8  881.1  444.0  444.0  444.0  444.0
2018 184  7  3 0000  -29.4  879.0  444.0  444.0  444.0  444.0
2018 184  7  3 0300  -30.2  878.2    1.7   24.4  444.0  444.0
2018 184  7  3 0600  -30.5  877.5    4.9   26.0  444.0  444.0
2018 184  7  3 0900  -29.7  879.7    3.9   34.6  444.0  444.0
2018 184  7  3 1200  -29.5  882.4    0.9   20.9  444.0  444.0
2018 184  7  3 1500  -29.1  885.9    0.6   57.8  444.0  444.0
2018 184  7  3 1800  -28.2  888.7    0.0   66.4  444.0  444.0
2018 184  7  3 2100  -29.3  891.0    0.4   66.4  444.0  444.0
2018 185  7  4 0000  -29.6  892.0    1.1   87.9  444.0  444.0
2018 185  7  4 0300  -27.7  892.6    1.6   87.9  444.0  444.0
2018 185  7  4 0600  -27.3  892.6  444.0  444.0  444.0  444.0
2018 185  7  4 0900  -26.2  892.2  444.0  444.0  444.0  444.0
2018 185  7  4 1200  -25.3  892.1  444.0  444.0  444.0  444.0
2018 185  7  4 1500  -24.3  891.6  444.0  444.0  444.0  444.0
2018 185  7  4 1800  -23.7  891.4  444.0  444.0  444.0  444.0
2018 185  7  4 2100  -25.1  890.6  444.0  444.0  444.0  444.0
2018 186  7  5 0000  -24.0  890.1  444.0  444.0  444.0  444.0
2018 186  7  5 0300  -24.5  889.7  444.0  444.0  444.0  444.0
2018 186  7  5 0600  -25.2  888.4  444.0  444.0  444.0  444.0
2018 186  7  5 0900  -25.8  887.1  444.0  444.0  444.0  444.0
2018 186  7  5 1200  -24.8  885.9  444.0  444.0  444.0  444.0
2018 186  7  5 1500  -24.9  884.6  444.0  444.0  444.0  444.0
2018 186  7  5 1800  -25.3  883.8  444.0  444.0  444.0  444.0
2018 186  7  5 2100  -26.0  883.5  444.0  444.0  444.0  444.0
2018 187  7  6 0000  -23.1  883.4  444.0  444.0  444.0  444.0
2018 187  7  6 0300  -23.5  882.8  444.0  444.0  444.0  444.0
2018 187  7  6 0600  -22.9  882.3  444.0  444.0  444.0  444.0
2018 187  7  6 0900  -24.7  881.4  444.0  444.0  444.0  444.0
2018 187  7  6 1200  -22.8  880.5  444.0  444.0  444.0  444.0
2018 187  7  6 1500  -24.1  878.9  444.0  444.0  444.0  444.0
2018 187  7  6 1800  -25.7  877.2  444.0  444.0  444.0  444.0
2018 187  7  6 2100  -25.4  876.9  444.0  444.0  444.0  444.0
2018 188  7  7 0000  -24.9  875.9  444.0  444.0  444.0  444.0
2018 188  7  7 0300  -23.8  875.4  444.0  444.0  444.0  444.0
2018 188  7  7 0600  -24.3  875.9  444.0  444.0  444.0  444.0
2018 188  7  7 0900  -27.0  876.1  444.0  444.0  444.0  444.0
2018 188  7  7 1200  -26.7  876.3  444.0  444.0  444.0  444.0
2018 188  7  7 1500  -27.3  876.8  444.0  444.0  444.0  444.0
2018 188  7  7 1800  -31.7  877.8  444.0  444.0  444.0  444.0
2018 188  7  7 2100  -31.6  878.5  444.0  444.0  444.0  444.0
