Year: 2018  Month: 07  ID: SID  ARGOS: 30393  Name: Siple Dome          
Lat: 81.67S  Lon: 148.78W  Elev:  668m
2018 182  7  1 0000  -20.0  906.3  444.0  444.0   79.0  444.0
2018 182  7  1 0300  -21.9  904.3  444.0  444.0   78.0  444.0
2018 182  7  1 0600  -23.9  902.7    2.8  170.0   76.0  444.0
2018 182  7  1 0900  -26.0  901.2    3.0  164.0   74.8  444.0
2018 182  7  1 1200  -27.4  899.7    2.9  162.0   74.0  444.0
2018 182  7  1 1500  -28.9  899.2    2.1  169.0   73.0  444.0
2018 182  7  1 1800  -29.6  899.3    1.2  166.0   72.0  444.0
2018 182  7  1 2100  -23.7  899.5    1.7  151.0   75.7  444.0
2018 183  7  2 0000  -19.3  899.4    2.7  143.0   79.0  444.0
2018 183  7  2 0300  -20.5  899.3    4.1   66.0   77.9  444.0
2018 183  7  2 0600  -27.3  898.9    4.2   64.0   73.0  444.0
2018 183  7  2 0900  -20.5  898.4    3.5   37.0   78.8  444.0
2018 183  7  2 1200  -17.7  897.1    3.5  344.0   79.9  444.0
2018 183  7  2 1500  -22.2  896.4    3.4  308.0   79.0  444.0
2018 183  7  2 1800  -25.1  896.8    6.1  338.0   76.0  444.0
2018 183  7  2 2100  -28.5  899.2    6.9  348.0   74.0  444.0
2018 184  7  3 0000  -34.7  902.6    4.7   25.0   68.9  444.0
2018 184  7  3 0300  -29.8  906.1    3.3  353.0   70.0  444.0
2018 184  7  3 0600  -26.5  909.3    2.2    1.0   72.2  444.0
2018 184  7  3 0900  -23.3  911.5    1.6  292.0   73.0  444.0
2018 184  7  3 1200  -24.9  913.2    1.2  236.0   74.6  444.0
2018 184  7  3 1500  -28.3  914.4    1.5  225.0   72.0  444.0
2018 184  7  3 1800  -23.8  915.1    4.0  227.0   76.0  444.0
2018 184  7  3 2100  -27.2  916.3    2.6  219.0   74.0  444.0
2018 185  7  4 0000  -30.2  917.3    2.4  236.0   72.0  444.0
2018 185  7  4 0300  -27.3  917.9    2.1  206.0   74.0  444.0
2018 185  7  4 0600  -26.9  918.7    1.4  172.0   74.0  444.0
2018 185  7  4 0900  -24.6  919.4    0.4   53.0   74.1  444.0
2018 185  7  4 1200  -25.0  919.4    1.9  100.0   75.0  444.0
2018 185  7  4 1500  -28.5  918.4    3.1  113.0   72.0  444.0
2018 185  7  4 1800  -29.5  917.4    3.7  121.0   71.7  444.0
2018 185  7  4 2100  -27.3  916.5    3.5  125.0   73.0  444.0
2018 186  7  5 0000  -27.0  915.1    4.0  123.0   74.0  444.0
2018 186  7  5 0300  -26.2  913.9    4.0  123.0   74.2  444.0
2018 186  7  5 0600  -25.9  912.8    3.2  127.0   74.0  444.0
2018 186  7  5 0900  -24.3  911.6    3.0  123.0   75.0  444.0
2018 186  7  5 1200  -22.7  910.0    3.1  123.0   77.0  444.0
2018 186  7  5 1500  -19.1  908.5    3.3   96.0   78.0  444.0
2018 186  7  5 1800  -17.7  906.8    0.4   19.0   80.0  444.0
2018 186  7  5 2100  -19.5  905.5    5.9  301.0   77.6  444.0
2018 187  7  6 0000  -25.1  904.3    4.2  291.0   77.0  444.0
2018 187  7  6 0300  -24.4  903.0    4.5  311.0   76.0  444.0
2018 187  7  6 0600  -23.2  902.0    5.0  342.0   77.0  444.0
2018 187  7  6 0900  -22.5  901.0    5.6    1.0   78.0  444.0
2018 187  7  6 1200  -25.6  899.6    5.6   10.0   75.0  444.0
2018 187  7  6 1500  -30.0  898.9    4.7   19.0   72.6  444.0
2018 187  7  6 1800  -30.6  899.2    3.4  346.0   71.0  444.0
2018 187  7  6 2100  -30.6  900.2    3.9  333.0   71.0  444.0
2018 188  7  7 0000  -32.7  900.9    3.9  349.0   70.0  444.0
2018 188  7  7 0300  -36.2  901.5    3.8   12.0   68.3  444.0
2018 188  7  7 0600  -41.3  902.2    5.3  359.0   66.0  444.0
2018 188  7  7 0900  -36.0  903.3    7.4  322.0   68.0  444.0
2018 188  7  7 1200  -35.1  904.5    6.7  359.0   69.0  444.0
2018 188  7  7 1500  -34.8  904.0    6.0   28.0   69.0  444.0
2018 188  7  7 1800  -33.6  902.8    4.9   41.0   69.2  444.0
2018 188  7  7 2100  -34.4  901.6    4.1   85.0   68.0  444.0
2018 189  7  8 0000  -33.2  900.0    3.2   71.0   68.6  444.0
2018 189  7  8 0300  -27.1  898.5    1.9   27.0   72.0  444.0
2018 189  7  8 0600  -26.6  898.0    0.0    0.0   72.8  444.0
2018 189  7  8 0900  -28.6  897.9    0.0    0.0   73.0  444.0
2018 189  7  8 1200  -31.2  897.6    1.2  189.0   70.0  444.0
2018 189  7  8 1500  -33.2  897.8    1.1  208.0   69.0  444.0
2018 189  7  8 1800  -35.3  897.7    0.7  234.0   68.0  444.0
2018 189  7  8 2100  -36.6  897.9  444.0  444.0   67.1  444.0
2018 190  7  9 0000  -37.1  898.1  444.0  444.0   66.5  444.0
2018 190  7  9 0300  -38.0  897.8  444.0  444.0   66.5  444.0
2018 190  7  9 0600  -38.5  896.9  444.0  444.0   66.0  444.0
2018 190  7  9 0900  -37.9  896.3  444.0  444.0   66.0  444.0
2018 190  7  9 1200  -37.1  894.9  444.0  444.0   66.0  444.0
2018 190  7  9 1500  -36.1  893.7  444.0  444.0   66.0  444.0
2018 190  7  9 1800  -36.0  892.4  444.0  444.0   66.0  444.0
2018 190  7  9 2100  -36.6  892.2  444.0  444.0   66.0  444.0
2018 191  7 10 0000  -37.4  892.3  444.0  444.0   65.0  444.0
2018 191  7 10 0300  -36.3  893.1  444.0  444.0   67.0  444.0
2018 191  7 10 0600  -37.8  894.0  444.0  444.0   67.0  444.0
2018 191  7 10 0900  -36.6  894.7  444.0  444.0   68.0  444.0
2018 191  7 10 1200  -35.6  894.2  444.0  444.0   67.0  444.0
2018 191  7 10 1500  -39.5  892.5  444.0  444.0   65.0  444.0
2018 191  7 10 1800  -38.4  890.7  444.0  444.0   66.0  444.0
2018 191  7 10 2100  -36.4  888.3  444.0  444.0   67.2  444.0
2018 192  7 11 0000  -36.6  885.4  444.0  444.0   67.0  444.0
2018 192  7 11 0300  -31.8  882.3  444.0  444.0   70.0  444.0
2018 192  7 11 0600  -28.2  878.8  444.0  444.0   72.4  444.0
2018 192  7 11 0900  -24.7  876.3  444.0  444.0   75.0  444.0
2018 192  7 11 1200  -21.8  873.8    5.4  138.0   78.0  444.0
2018 192  7 11 1500  -20.0  871.5    8.9   23.0   79.0  444.0
2018 192  7 11 1800  -22.5  872.0   10.0   25.0   77.0  444.0
