Year: 2018  Month: 07  ID: FUJ  ARGOS:  8904  Name: Dome Fuji           
Lat: 77.31S  Lon:  39.71E  Elev: 3810m
2018 182  7  1 0000  -58.8  597.9    2.9   28.0  -60.5    1.7
2018 182  7  1 0300  -60.4  598.1    2.2   35.0  -60.5    0.1
2018 182  7  1 0600  -59.4  598.6    1.7  359.0  -60.5    1.3
2018 182  7  1 0900  -60.5  599.0    0.9   42.0  -60.5    0.0
2018 182  7  1 1200  -59.6  599.7    0.0    0.0  -60.6    1.0
2018 182  7  1 1500  -61.0  600.2    0.3   92.0  -60.9   -0.1
2018 182  7  1 1800  -57.4  600.2    0.9  292.0  -61.2    3.8
2018 182  7  1 2100  -61.8  600.7    2.4  238.0  -61.6   -0.5
2018 183  7  2 0000  -63.5  600.7    0.1  233.0  -61.8   -1.6
2018 183  7  2 0300  -63.9  600.5    2.1  187.0  -62.1   -1.8
2018 183  7  2 0600  -65.6  600.5    1.6  196.0  -62.3   -3.3
2018 183  7  2 0900  -68.4  600.1    2.2  187.0  -62.5   -5.9
2018 183  7  2 1200  -69.2  599.5    2.5  177.0  -62.9   -6.1
2018 183  7  2 1500  -69.0  598.4    2.6  170.0  -63.3   -5.5
2018 183  7  2 1800  -68.6  597.1    3.1  155.0  -63.7   -5.0
2018 183  7  2 2100  -67.6  595.9    3.2  150.0  -64.2   -3.5
2018 184  7  3 0000  -68.8  594.7    2.9  153.0  -64.5   -4.4
2018 184  7  3 0300  -69.5  593.3    2.5  150.0  -64.7   -4.8
2018 184  7  3 0600  -69.8  592.3    2.9  156.0  -64.9   -4.9
2018 184  7  3 0900  -70.0  591.1    2.5  160.0  -65.2   -4.8
2018 184  7  3 1200  -69.1  589.7    2.4  153.0  -65.4   -3.7
2018 184  7  3 1500  -71.1  588.6    1.2  149.0  -65.7   -5.5
2018 184  7  3 1800  -72.4  587.3    1.9  137.0  -65.9   -6.1
2018 184  7  3 2100  -73.3  586.8    1.8  119.0  -66.2   -7.2
2018 185  7  4 0000  -75.2  586.3    1.1  114.0  -66.5   -8.7
2018 185  7  4 0300  -74.5  585.6    1.6  114.0  -66.9   -7.6
2018 185  7  4 0600  -72.5  585.1    0.8  114.0  -67.2   -5.4
2018 185  7  4 0900  -68.0  584.7   10.2  111.0  -67.4   -0.4
2018 185  7  4 1200  -65.9  584.3    2.4   49.0  -67.4    1.5
2018 185  7  4 1500  -64.7  583.5    2.5   37.0  -67.2    2.5
2018 185  7  4 1800  -65.0  583.2    2.6   13.0  -66.8    1.7
2018 185  7  4 2100  -62.7  582.9    3.5    1.0  -66.3    3.8
2018 186  7  5 0000  -63.8  582.9    3.2  343.0  -65.9    2.2
2018 186  7  5 0300  -61.4  582.9    3.2  337.0  -65.5    4.1
2018 186  7  5 0600  -61.4  582.9    3.2  339.0  -65.2    3.8
