Year: 2018  Month: 01  ID: MTS  ARGOS:  8981  Name: Mount Siple         
Lat: 73.20S  Lon: 127.06W  Elev:  230m
2018  11  1 11 1800   -9.2  960.0  444.0  444.0  444.0  444.0
2018  11  1 11 2100   -8.6  960.8  444.0  444.0  444.0  444.0
2018  12  1 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  12  1 12 1800   -9.6  965.4  444.0  444.0  444.0  444.0
2018  12  1 12 2100   -8.5  966.5  444.0  444.0  444.0  444.0
2018  13  1 13 0000   -7.4  967.4  444.0  444.0  444.0  444.0
2018  13  1 13 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  13  1 13 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  13  1 13 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  13  1 13 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  13  1 13 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  13  1 13 1800   -9.1  969.4  444.0  444.0  444.0  444.0
2018  13  1 13 2100   -8.2  969.6  444.0  444.0  444.0  444.0
2018  14  1 14 0000   -8.1  969.4  444.0  444.0  444.0  444.0
2018  14  1 14 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  14  1 14 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  14  1 14 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  14  1 14 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  14  1 14 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  14  1 14 1800   -7.8  961.5  444.0  444.0  444.0  444.0
2018  14  1 14 2100   -6.6  960.0  444.0  444.0  444.0  444.0
2018  15  1 15 0000   -8.5  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  15  1 15 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  16  1 16 1200  444.0  444.0  444.0  444.0  444.0  444.0
