Year: 2018  Month: 02  ID: POS  ARGOS:  8984  Name: Possession Island   
Lat: 71.90S  Lon: 171.22E  Elev:   30m
2018  32  2  1 0000   -0.6  983.5  444.0  444.0  444.0  444.0
2018  32  2  1 0300    1.8  983.6  444.0  444.0  444.0  444.0
2018  32  2  1 0600    1.9  983.5  444.0  444.0  444.0  444.0
2018  32  2  1 0900    1.1  983.6  444.0  444.0  444.0  444.0
2018  32  2  1 1200   -2.2  983.2  444.0  444.0  444.0  444.0
2018  32  2  1 1500   -3.5  982.4  444.0  444.0  444.0  444.0
2018  32  2  1 1800   -2.9  982.2  444.0  444.0  444.0  444.0
2018  32  2  1 2100   -1.2  982.2  444.0  444.0  444.0  444.0
2018  33  2  2 0000    0.4  981.9  444.0  444.0  444.0  444.0
2018  33  2  2 0300    3.1  981.4  444.0  444.0  444.0  444.0
2018  33  2  2 0600   -0.2  980.7  444.0  444.0  444.0  444.0
2018  33  2  2 0900   -1.9  980.5  444.0  444.0  444.0  444.0
2018  33  2  2 1200   -2.9  980.3  444.0  444.0  444.0  444.0
2018  33  2  2 1500   -4.0  979.8  444.0  444.0  444.0  444.0
2018  33  2  2 1800   -4.0  980.1  444.0  444.0  444.0  444.0
2018  33  2  2 2100   -1.0  980.1  444.0  444.0  444.0  444.0
2018  34  2  3 0000    0.9  980.3  444.0  444.0  444.0  444.0
2018  34  2  3 0300    1.6  980.3  444.0  444.0  444.0  444.0
2018  34  2  3 0600    0.8  980.6  444.0  444.0  444.0  444.0
2018  34  2  3 0900   -1.9  980.9  444.0  444.0  444.0  444.0
2018  34  2  3 1200   -4.9  981.0  444.0  444.0  444.0  444.0
2018  34  2  3 1500   -5.4  980.9  444.0  444.0  444.0  444.0
2018  34  2  3 1800   -4.6  980.7  444.0  444.0  444.0  444.0
2018  34  2  3 2100   -1.4  980.7  444.0  444.0  444.0  444.0
2018  35  2  4 0000    0.0  979.9  444.0  444.0  444.0  444.0
2018  35  2  4 0300    0.4  979.1  444.0  444.0  444.0  444.0
2018  35  2  4 0600   -1.1  978.2  444.0  444.0  444.0  444.0
2018  35  2  4 0900   -2.9  977.3  444.0  444.0  444.0  444.0
2018  35  2  4 1200   -3.1  976.0  444.0  444.0  444.0  444.0
2018  35  2  4 1500   -3.2  974.3  444.0  444.0  444.0  444.0
2018  35  2  4 1800   -4.0  973.1  444.0  444.0  444.0  444.0
2018  35  2  4 2100   -4.8  972.3  444.0  444.0  444.0  444.0
2018  36  2  5 0000   -4.2  971.2  444.0  444.0  444.0  444.0
2018  36  2  5 0300   -4.0  970.5  444.0  444.0  444.0  444.0
2018  36  2  5 0600   -4.2  970.6  444.0  444.0  444.0  444.0
2018  36  2  5 0900   -4.2  970.6  444.0  444.0  444.0  444.0
2018  36  2  5 1200   -4.6  971.2  444.0  444.0  444.0  444.0
2018  36  2  5 1500   -4.9  971.0  444.0  444.0  444.0  444.0
2018  36  2  5 1800   -4.0  971.0  444.0  444.0  444.0  444.0
2018  36  2  5 2100   -2.9  970.7  444.0  444.0  444.0  444.0
2018  37  2  6 0000   -1.6  969.8  444.0  444.0  444.0  444.0
2018  37  2  6 0300   -1.9  969.8  444.0  444.0  444.0  444.0
2018  37  2  6 0600   -1.8  970.6  444.0  444.0  444.0  444.0
2018  37  2  6 0900   -1.9  971.7  444.0  444.0  444.0  444.0
2018  37  2  6 1200   -2.9  973.5  444.0  444.0  444.0  444.0
2018  37  2  6 1500   -3.8  973.9  444.0  444.0  444.0  444.0
2018  37  2  6 1800   -4.0  974.0  444.0  444.0  444.0  444.0
2018  37  2  6 2100   -0.1  974.6  444.0  444.0  444.0  444.0
