Year: 2018  Month: 07  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.88S  Lon: 166.96E  Elev:   12m
2018 192  7 11 0900  -39.9  981.4    2.3    5.4   65.0    0.7
2018 192  7 11 1200  -47.6  980.5    2.8  115.5   55.7    1.0
2018 192  7 11 1500  -44.8  977.7    0.4  321.2   59.1    2.3
2018 192  7 11 1800  -36.6  974.3    1.7   21.9   66.2    9.5
2018 192  7 11 2100  -52.2  973.8    4.4   26.1   50.7    0.4
2018 193  7 12 0000  -47.3  971.7    1.3  188.6   58.2    2.5
2018 193  7 12 0300  -44.5  969.2    2.5   47.4   59.9    7.3
2018 193  7 12 0600  -41.5  967.7    1.4  297.1   62.8    5.1
2018 193  7 12 0900  -41.6  967.1    0.8   31.4   62.3    7.9
2018 193  7 12 1200  -45.1  967.5    4.3    7.4   61.0    1.9
2018 193  7 12 1500  -41.5  967.4    3.9   15.5   58.4    5.9
2018 193  7 12 1800  -49.0  971.3    3.6   29.3   55.4    0.8
2018 193  7 12 2100  -38.9  971.2    2.4   29.6   61.3    7.0
2018 194  7 13 0000  -52.6  975.1    2.3   85.2   49.4    0.9
2018 194  7 13 0300  -51.2  975.8    2.6   71.6   50.0    2.5
2018 194  7 13 0600  -53.3  978.4    2.2   55.8   48.4    1.1
2018 194  7 13 0900  -44.9  981.3    1.2  158.7   58.8    7.4
2018 194  7 13 1200  -43.8  980.0    2.4  195.1   65.1    1.9
2018 194  7 13 1500  -42.0  979.4    1.4  196.2   61.6    0.8
2018 194  7 13 1800  -39.5  981.2    1.0  189.0   62.8    1.4
2018 194  7 13 2100  -38.0  981.1    1.1  335.7   66.6    3.2
2018 195  7 14 0000  -41.2  981.1    2.2  148.7   60.9    1.5
2018 195  7 14 0300  -38.9  980.4    1.1  217.7   66.4    1.4
2018 195  7 14 0600  -34.5  977.0    2.9  222.4   68.7    1.1
2018 195  7 14 0900  -37.0  978.3    1.1  342.2   65.7    2.2
2018 195  7 14 1200  -35.9  980.5    1.1   71.1   68.0    8.8
2018 195  7 14 1500  -38.0  982.2    0.9   14.8   65.6    4.0
2018 195  7 14 1800  -39.3  985.7    1.7   77.9   66.7    3.6
2018 195  7 14 2100  -39.8  987.6    1.3   33.9   64.0    1.2
2018 196  7 15 0000  -34.5  986.0    1.3   13.5   66.8    1.6
2018 196  7 15 0300  -20.5  987.1    2.3   31.3   84.3    0.7
2018 196  7 15 0600  -19.0  987.3    4.5   88.7   86.6    1.5
2018 196  7 15 0900  -18.4  986.8    3.2   86.3   88.5    0.8
2018 196  7 15 1200  -18.5  986.3    8.1  176.1   81.1    0.6
2018 196  7 15 1500  -19.9  988.3    9.4  130.6   84.9    0.1
2018 196  7 15 1800  -19.4  988.6    4.6   77.6   77.0    0.3
2018 196  7 15 2100  -25.2  988.6    3.8   35.8   81.2    0.3
2018 197  7 16 0000  -25.8  987.5    3.6  240.1   78.1    0.8
2018 197  7 16 0300  -24.8  987.9    1.2   41.0   85.1    3.6
2018 197  7 16 0600  -34.0  986.3    2.9   76.4   71.7    2.8
2018 197  7 16 0900  -29.9  985.7    1.3    9.7   80.2    5.7
2018 197  7 16 1200  -31.1  986.6    1.2   85.8   75.5    6.3
2018 197  7 16 1500  -34.9  987.7    1.4   34.0   69.0    2.8
2018 197  7 16 1800  -39.8  986.2    0.6   80.4   64.6    0.8
2018 197  7 16 2100  -38.6  986.2    0.7   29.5   67.6    2.3
2018 198  7 17 0000  -41.6  986.6    0.7   64.0   63.3    0.5
2018 198  7 17 0300  -32.6  986.6    0.8   40.1   72.2    6.9
2018 198  7 17 0600  -42.0  986.3    0.2  270.6   63.5    1.6
2018 198  7 17 0900  -39.4  986.6    0.2   20.9   63.1    3.2
2018 198  7 17 1200  -39.3  984.7    0.5   28.5   65.8    1.9
2018 198  7 17 1500  -36.1  987.3    0.9   23.1   69.8    0.9
2018 198  7 17 1800  -39.6  987.3    0.6   60.6   63.4    2.3
2018 198  7 17 2100  -40.1  988.1    0.4   77.2   65.3    1.2
2018 199  7 18 0000  -26.4  987.4    2.6  221.6   75.9    1.1
2018 199  7 18 0300  -33.2  987.0    3.5  357.7   75.1    2.6
2018 199  7 18 0600  -27.6  985.9    3.0   44.4   75.8    7.8
2018 199  7 18 0900  -29.0  987.8    2.8   22.6   75.4    1.5
