Year: 2018  Month: 04  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2018 101  4 11 1200  -20.9  993.1    2.5  143.0   91.8  444.0
2018 101  4 11 1500  -22.5  993.1    3.5  138.0   89.2  444.0
2018 101  4 11 1800  -23.6  993.3    0.2   35.0   87.9  444.0
2018 101  4 11 2100  -23.8  991.9    2.7   94.0   87.4  444.0
2018 102  4 12 0000  -26.4  990.1    5.8  103.0   85.7  444.0
2018 102  4 12 0300  -24.5  988.2    9.6  119.0   87.0  444.0
2018 102  4 12 0600  -25.8  987.4    9.6  118.0   85.2  444.0
2018 102  4 12 0900  -26.6  987.8    6.2  153.0   83.5  444.0
2018 102  4 12 1200  -27.4  987.3    6.6  188.0   83.9  444.0
2018 102  4 12 1500  -27.9  986.9    4.9  176.0   83.5  444.0
2018 102  4 12 1800  -28.4  986.2    5.5  209.0   83.0  444.0
2018 102  4 12 2100  -29.4  985.9    4.3  194.0   81.7  444.0
2018 103  4 13 0000  -33.9  986.1    2.9  225.0   77.3  444.0
2018 103  4 13 0300  -33.8  984.9    2.7  257.0   76.4  444.0
2018 103  4 13 0600  -31.0  983.6    3.9  253.0   80.4  444.0
2018 103  4 13 0900  -26.6  982.8    5.8  238.0   85.2  444.0
2018 103  4 13 1200  -29.5  982.2    4.1  250.0   79.1  444.0
2018 103  4 13 1500  -31.9  981.2    5.1  232.0   75.6  444.0
2018 103  4 13 1800  -34.1  980.6    5.3  256.0   71.2  444.0
2018 103  4 13 2100  -33.9  981.3    5.5  215.0   74.2  444.0
2018 104  4 14 0000  -36.9  981.3    3.1  166.0   71.2  444.0
2018 104  4 14 0300  -34.8  981.7    2.9  226.0   72.5  444.0
2018 104  4 14 0600  -35.2  982.1    4.1  146.0   74.7  444.0
2018 104  4 14 0900  -34.5  981.5    3.3  138.0   73.8  444.0
2018 104  4 14 1200  -35.1  984.4    1.8  254.0   74.7  444.0
2018 104  4 14 1500  -33.9  984.5    2.1  269.0   75.1  444.0
2018 104  4 14 1800  -29.2  983.7    5.1  304.0   81.7  444.0
2018 104  4 14 2100  -27.0  982.9    6.2  315.0   85.2  444.0
2018 105  4 15 0000  -27.6  982.3    4.3  306.0   84.4  444.0
2018 105  4 15 0300  -27.6  981.7    3.1  332.0   82.2  444.0
2018 105  4 15 0600  -26.2  980.2    3.1  343.0   87.0  444.0
2018 105  4 15 0900  -26.8  980.5    3.3  329.0   80.4  444.0
2018 105  4 15 1200  -32.6  982.6    1.8  118.0   77.3  444.0
2018 105  4 15 1500  -39.4  983.3    1.9  157.0   70.3  444.0
2018 105  4 15 1800  -29.4  984.4    2.1  342.0   82.2  444.0
2018 105  4 15 2100  -26.9  985.7    1.8  278.0   83.9  444.0
2018 106  4 16 0000  -26.9  988.1    1.2  243.0   84.8  444.0
2018 106  4 16 0300  -24.9  989.7    1.2  214.0   87.0  444.0
2018 106  4 16 0600  -28.8  992.0    1.8  157.0   82.2  444.0
2018 106  4 16 0900  -28.2  995.5    2.5  180.0   83.0  444.0
2018 106  4 16 1200  -27.2  997.0    3.3  240.0   85.7  444.0
2018 106  4 16 1500  -25.1  998.3    3.5  332.0   84.8  444.0
2018 106  4 16 1800  -25.9  999.6    0.8  306.0   87.9  444.0
2018 106  4 16 2100  -22.4 1000.0    3.3   34.0   90.1  444.0
2018 107  4 17 0000  -27.4  999.1    1.9   42.0   84.4  444.0
2018 107  4 17 0300  -35.1  998.4    1.6  107.0   75.6  444.0
2018 107  4 17 0600  -32.9  998.0    1.0  131.0   77.8  444.0
2018 107  4 17 0900  -25.9  996.6    0.8   13.0   86.1  444.0
2018 107  4 17 1200  -20.9  996.1    2.1  309.0   91.0  444.0
2018 107  4 17 1500  -29.5  995.6    2.7  226.0   81.7  444.0
2018 107  4 17 1800  -32.6  995.8    2.7  110.0   78.2  444.0
2018 107  4 17 2100  -31.6  995.8    1.4  117.0   79.1  444.0
2018 108  4 18 0000  -31.9  993.9    1.4  121.0   79.5  444.0
2018 108  4 18 0300  -31.4  991.1    1.4  124.0   80.0  444.0
2018 108  4 18 0600  -18.6  989.3    1.0   17.0   93.6  444.0
2018 108  4 18 0900  -22.5  988.0    0.4   45.0   90.5  444.0
2018 108  4 18 1200  -27.9  989.0    1.6  238.0   83.9  444.0
2018 108  4 18 1500  -25.5  991.7    6.2  219.0   86.6  444.0
2018 108  4 18 1800  -28.4  993.9    7.0  205.0   83.9  444.0
2018 108  4 18 2100  -29.5  996.3    7.0  179.0   81.7  444.0
2018 109  4 19 0000  -29.1  998.2   11.9  204.0   82.2  444.0
2018 109  4 19 0300  -30.5  999.4   11.7  184.0   80.8  444.0
2018 109  4 19 0600  -31.1 1001.0   10.9  205.0   80.0  444.0
2018 109  4 19 0900  -30.4 1001.6    9.8  211.0   80.4  444.0
2018 109  4 19 1200  -31.4 1001.3    8.0  202.0   79.5  444.0
2018 109  4 19 1500  -31.6 1000.3    7.6  195.0   79.5  444.0
2018 109  4 19 1800  -29.9  999.3    7.8  193.0   81.3  444.0
2018 109  4 19 2100  -30.2  998.1    8.8  181.0   80.8  444.0
2018 110  4 20 0000  -30.4  997.0    8.8  177.0   80.8  444.0
2018 110  4 20 0300  -32.2  996.4    7.8  176.0   78.2  444.0
2018 110  4 20 0600  -33.9  996.3    6.2  186.0   76.4  444.0
2018 110  4 20 0900  -35.1  995.7    5.1  195.0   74.7  444.0
2018 110  4 20 1200  -35.0  994.9    5.5  233.0   74.7  444.0
2018 110  4 20 1500  -36.5  994.1    2.7  245.0   73.4  444.0
2018 110  4 20 1800  -31.8  993.8    3.7  187.0   77.3  444.0
2018 110  4 20 2100  -36.5  993.4    3.7  191.0   72.9  444.0
2018 111  4 21 0000  -34.1  992.8    4.3  229.0   75.6  444.0
2018 111  4 21 0300  -38.6  992.8    0.8  233.0   70.7  444.0
2018 111  4 21 0600  -35.8  992.4    3.7  233.0   73.8  444.0
2018 111  4 21 0900  -37.4  992.5    3.3  212.0   72.0  444.0
2018 111  4 21 1200  -39.5  992.1    2.7  177.0   69.8  444.0
2018 111  4 21 1500  -38.1  991.5    2.3  180.0   70.7  444.0
2018 111  4 21 1800  -40.9  991.1    0.8  124.0   67.2  444.0
2018 111  4 21 2100  -41.1  990.6    1.9  156.0   67.2  444.0
2018 112  4 22 0000  -40.6  990.0    2.3  191.0   68.1  444.0
2018 112  4 22 0300  -37.4  989.9    3.9  170.0   71.6  444.0
2018 112  4 22 0600  -35.6  990.4    5.3  207.0   73.8  444.0
2018 112  4 22 0900  -32.6  991.4    8.2  183.0   77.3  444.0
2018 112  4 22 1200  -33.2  992.6    7.4  202.0   77.3  444.0
