Year: 2018  Month: 05  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.87S  Lon: 166.95E  Elev:   12m
2018 121  5  1 0000  -25.3  986.5    2.0   74.7   77.5    0.0
2018 121  5  1 0300  -25.0  985.8    1.5   10.5   79.5    0.5
2018 121  5  1 0600  -23.5  985.0    0.8  353.9   77.8    0.6
2018 121  5  1 0900  -24.0  984.2    1.1  170.2   80.8    0.4
2018 121  5  1 1200  -21.2  983.7    3.1  247.4   76.2    0.3
2018 121  5  1 1500  -21.8  981.5    2.1  205.9   74.3    0.2
2018 121  5  1 1800  -19.6  980.4    0.5    6.9   62.5    1.1
2018 121  5  1 2100  -24.1  979.7    3.1   11.2   83.7    1.7
2018 122  5  2 0000  -26.5  980.1    8.5   58.8   77.0    0.3
2018 122  5  2 0300  -28.1  979.5    7.8   55.6   74.6    0.2
2018 122  5  2 0600  -27.1  979.9    6.4   58.4   76.0    0.0
2018 122  5  2 0900  -28.3  979.4    3.4   30.9   72.5    0.3
2018 122  5  2 1200  -30.3  978.6    4.4   33.7   73.2    3.0
2018 122  5  2 1500  -32.4  979.0    2.6   38.2   70.9    2.2
2018 122  5  2 1800  -29.9  978.1    3.2  125.4   67.5    0.6
2018 122  5  2 2100  -26.9  978.4    2.7  148.6   79.0    5.1
2018 123  5  3 0000  -28.6  978.6    2.6  342.4   74.0    1.6
2018 123  5  3 0300  -30.1  979.8    2.0   49.2   76.3    1.5
2018 123  5  3 0600  -22.4  979.4    2.2  345.5   83.7    2.6
2018 123  5  3 0900  -27.5  979.8    2.1  234.3   78.5    1.0
2018 123  5  3 1200  -22.7  980.4    0.3  216.0   82.2    0.4
2018 123  5  3 1500  -19.1  982.1    1.4  109.5   86.5    0.1
2018 123  5  3 1800  -19.2  983.0    4.5   80.3   78.8    0.5
2018 123  5  3 2100  -17.9  983.8    6.1  110.6   79.7    0.2
2018 124  5  4 0000  -20.3  983.5    4.0   41.5   67.3    1.1
2018 124  5  4 0300  -22.6  986.0   10.9  164.2   78.4    0.2
2018 124  5  4 0600  -20.9  986.5    8.5  139.1   75.3    0.2
2018 124  5  4 0900  -21.5  988.5    4.3   98.5   73.6    1.0
2018 124  5  4 1200  -26.9  989.6    7.0   73.9   75.6    0.2
