Year: 2018  Month: 06  ID: CHA  ARGOS: 99602  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2018 152  6  1 0000  -26.3 1008.2    0.8  186.9   69.2  444.0
2018 152  6  1 0300  -27.2 1009.4    0.9  238.8   67.5  444.0
2018 152  6  1 0600  -27.5 1009.6    1.2  241.8   65.0  444.0
2018 152  6  1 0900  -28.7 1009.4    1.9  241.0   68.7  444.0
2018 152  6  1 1200  -30.4 1008.9    0.1  291.6   69.8  444.0
2018 152  6  1 1500  -30.6 1007.9    1.5  238.8   68.6  444.0
2018 152  6  1 1800  -30.9 1007.0    0.0  267.9   67.5  444.0
2018 152  6  1 2100  -30.6 1005.8    0.0    0.0   66.5  444.0
2018 153  6  2 0000  -26.8 1004.3    0.2  115.1   67.7  444.0
2018 153  6  2 0300  -32.5 1002.2    2.1  235.1   69.1  444.0
2018 153  6  2 0600  -26.4  999.6    0.3   68.5   51.2  444.0
2018 153  6  2 0900  -14.6  998.2   11.0  212.1   48.7  444.0
2018 153  6  2 1200  -13.3  996.5    9.4  218.8   44.9  444.0
2018 153  6  2 1500  -19.2  994.6   10.0  256.3   47.1  444.0
2018 153  6  2 1800  -16.6  992.9    1.3    0.9   39.3  444.0
2018 153  6  2 2100  -16.5  992.1    3.4  200.4   34.8  444.0
2018 154  6  3 0000  -19.7  990.4    0.9  227.1   41.3  444.0
2018 154  6  3 0300  -23.9  986.7    2.0  267.8   56.7  444.0
2018 154  6  3 0600  -22.6  980.5    2.1  238.2   52.7  444.0
2018 154  6  3 0900  -22.0  973.1    0.2  225.9   46.8  444.0
2018 154  6  3 1200  -26.4  966.0    2.0  265.1   67.5  444.0
2018 154  6  3 1500  -28.5  961.7    0.0    0.0   69.3  444.0
2018 154  6  3 1800  -29.1  962.1    1.9  247.7   65.3  444.0
2018 154  6  3 2100  -20.0  967.4    1.9  190.7   58.1  444.0
2018 155  6  4 0000  -22.3  972.0    0.5   71.6   73.2  444.0
2018 155  6  4 0300  -19.9  976.1    0.4  217.5   65.0  444.0
2018 155  6  4 0600  -21.5  979.0    0.2  179.0   70.0  444.0
2018 155  6  4 0900  -19.4  982.7    3.7  149.7   64.9  444.0
2018 155  6  4 1200  -19.4  986.7    4.8  153.2   62.1  444.0
2018 155  6  4 1500  -20.9  990.5    7.2  164.1   64.8  444.0
2018 155  6  4 1800  -19.8  992.9    8.0  224.9   69.6  444.0
2018 155  6  4 2100  -21.2  995.2    9.1  145.7   63.2  444.0
2018 156  6  5 0000  -21.7  996.4    6.4  136.7   58.2  444.0
2018 156  6  5 0300  -24.7  997.6    0.0    0.0   66.4  444.0
2018 156  6  5 0600  -22.8  996.2    5.8  143.4   57.5  444.0
2018 156  6  5 0900  -26.7  995.2    0.1  201.6   74.3  444.0
2018 156  6  5 1200  -26.2  993.4    1.0  198.0   72.3  444.0
2018 156  6  5 1500  -28.8  991.0    1.9  229.2   74.7  444.0
2018 156  6  5 1800  -25.4  988.6    1.8  246.6   66.0  444.0
2018 156  6  5 2100  -27.1  987.2    0.0    0.0   73.2  444.0
2018 157  6  6 0000  -27.4  986.4    1.1  233.2   75.2  444.0
2018 157  6  6 0300  -24.9  985.8    0.4  288.1   74.2  444.0
2018 157  6  6 0600  -24.8  985.5    0.0    0.0   75.5  444.0
2018 157  6  6 0900  -24.7  984.5    0.0  258.8   71.4  444.0
2018 157  6  6 1200  -22.7  982.9    2.1   19.0   57.7  444.0
2018 157  6  6 1500  -24.7  981.2    5.2   53.3   65.5  444.0
2018 157  6  6 1800  -22.5  981.1    4.6  122.8   52.0  444.0
2018 157  6  6 2100  -21.5  981.4    2.5   99.2   54.3  444.0
2018 158  6  7 0000  -22.0  982.2    1.7  190.7   54.8  444.0
2018 158  6  7 0300  -22.3  982.8    2.5  353.1   51.3  444.0
2018 158  6  7 0600  -25.0  982.8    1.7  163.6   57.5  444.0
2018 158  6  7 0900  -27.2  984.5    0.3  205.8   72.2  444.0
2018 158  6  7 1200  -26.6  984.8    3.2  191.2   69.1  444.0
2018 158  6  7 1500  -27.2  984.2    1.8  241.2   63.1  444.0
2018 158  6  7 1800  -25.5  983.7    2.3  226.8   56.1  444.0
2018 158  6  7 2100  -28.7  983.0    0.1  316.5   70.2  444.0
2018 159  6  8 0000  -30.7  981.5    0.1  232.6   62.7  444.0
2018 159  6  8 0300  -30.6  979.8    1.6  222.3   58.4  444.0
2018 159  6  8 0600  -30.5  978.7    0.3  211.9   52.7  444.0
2018 159  6  8 0900  -27.8  977.8    2.6  230.5   40.0  444.0
2018 159  6  8 1200  -26.9  976.9    0.2  116.6   40.6  444.0
2018 159  6  8 1500  -23.0  975.3    2.3  253.5   35.0  444.0
2018 159  6  8 1800  -18.6  974.6   10.1  201.5   41.0  444.0
2018 159  6  8 2100  -18.6  974.6   12.3  207.9   51.5  444.0
2018 160  6  9 0000  -18.0  975.2    9.7  209.1   41.8  444.0
2018 160  6  9 0300  -17.2  974.5    8.8  198.7   40.9  444.0
2018 160  6  9 0600  -16.2  972.6   11.3  206.1   33.5  444.0
2018 160  6  9 0900  -14.7  971.0    9.1  214.1   25.3  444.0
2018 160  6  9 1200  -19.5  970.7    6.4  248.1   49.0  444.0
2018 160  6  9 1500  -20.2  970.8    3.5  231.6   42.1  444.0
2018 160  6  9 1800  -19.0  971.3    1.7  237.1   33.6  444.0
2018 160  6  9 2100  -18.9  971.5    3.6  236.7   31.7  444.0
2018 161  6 10 0000  -22.0  971.9    1.5  238.1   48.9  444.0
2018 161  6 10 0300  -19.9  974.0    0.3  210.9   32.7  444.0
2018 161  6 10 0600  -22.0  976.2    0.1  219.1   41.4  444.0
2018 161  6 10 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 1200  -23.3  980.4    0.8  196.1   70.4  444.0
2018 162  6 11 1500  -24.2  981.1    1.0  213.7   76.4  444.0
2018 162  6 11 1800  -24.6  982.4    0.0    0.0   77.4  444.0
2018 162  6 11 2100  -21.9  983.2    0.0    0.0   78.2  444.0
2018 163  6 12 0000  -23.8  983.0    2.8  241.9   77.0  444.0
2018 163  6 12 0300  -26.8  982.9    0.2  162.0   74.5  444.0
2018 163  6 12 0600  -27.0  983.5    0.5  249.0   73.4  444.0
2018 163  6 12 0900  -26.7  984.4    0.0    0.0   70.3  444.0
2018 163  6 12 1200  -29.0  985.7    0.8  242.9   72.2  444.0
2018 163  6 12 1500  -30.0  987.4    0.4  244.6   71.0  444.0
2018 163  6 12 1800  -28.0  988.5    0.2  297.5   71.0  444.0
2018 163  6 12 2100  -24.1  990.2    0.3  284.6   78.3  444.0
2018 164  6 13 0000  -27.3  991.3    1.3  240.6   77.0  444.0
2018 164  6 13 0300  -30.9  992.0    0.9  254.0   72.4  444.0
2018 164  6 13 0600  -28.0  993.3    0.1  215.3   76.2  444.0
2018 164  6 13 0900  -31.5  995.4    0.0    0.0   71.6  444.0
2018 164  6 13 1200  -30.8  997.9    0.2  267.0   70.9  444.0
2018 164  6 13 1500  -24.8 1000.3    0.8  226.7   64.7  444.0
2018 164  6 13 1800  -26.8 1002.2    0.1  287.7   65.9  444.0
2018 164  6 13 2100  -25.6 1004.0    0.5   26.0   63.9  444.0
2018 165  6 14 0000  -26.9 1005.6    0.3  238.5   73.6  444.0
2018 165  6 14 0300  -27.1 1005.6    0.3  271.8   53.7  444.0
2018 165  6 14 0600  -30.6 1004.4    0.6   39.5   69.7  444.0
2018 165  6 14 0900  -27.3 1003.1    0.1  202.3   52.0  444.0
