Year: 2018  Month: 04  ID: CHA  ARGOS: 99602  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2018  91  4  1 0000  444.0 1006.3    1.1  246.3   66.8  444.0
2018  91  4  1 0300  -16.7 1006.0    1.6  232.9   72.0  444.0
2018  91  4  1 0600  -17.3 1005.2    1.4  219.2   73.6  444.0
2018  91  4  1 0900  -20.9 1005.1    0.3  253.6   75.5  444.0
2018  91  4  1 1200  -17.9 1004.4    1.9  251.0   68.0  444.0
2018  91  4  1 1500  -20.9 1004.1    0.7  238.0   58.4  444.0
2018  91  4  1 1800  444.0 1003.6    0.0    0.0   73.3  444.0
2018  91  4  1 2100  444.0 1004.0    0.0  147.2   55.7  444.0
2018  92  4  2 0000  444.0 1004.0    0.1  254.1   63.5  444.0
2018  92  4  2 0300  444.0 1004.3    1.0  232.8   68.5  444.0
2018  92  4  2 0600  -17.7 1004.1    0.4  205.8   78.0  444.0
2018  92  4  2 0900  444.0 1004.7    1.0  118.0   76.9  444.0
2018  92  4  2 1200  -15.9 1005.1    0.7   45.1   74.0  444.0
2018  92  4  2 1500  -14.7 1005.8    2.7   65.5   64.5  444.0
2018  92  4  2 1800  -15.4 1006.6    0.3  235.4   67.0  444.0
2018  92  4  2 2100  -14.7 1006.9    0.4   52.0   59.9  444.0
2018  93  4  3 0000  -15.8 1006.5    0.2   21.7   65.2  444.0
2018  93  4  3 0300  -14.3 1004.8    0.6  293.2   58.0  444.0
2018  93  4  3 0600  -15.0 1003.6    0.2  218.2   55.4  444.0
2018  93  4  3 0900  -16.7 1002.6    3.1   61.8   75.2  444.0
2018  93  4  3 1200  -15.3 1000.6    3.8   54.6   58.2  444.0
2018  93  4  3 1500  -15.3  998.9    1.5   96.1   50.3  444.0
2018  93  4  3 1800  -17.2  997.7    1.6   55.0   76.9  444.0
2018  93  4  3 2100  -16.2  996.6    1.3   35.7   58.5  444.0
2018  94  4  4 0000  444.0  995.6    2.3    7.2   58.3  444.0
2018  94  4  4 0300  -13.4  994.5    2.7  127.8   51.0  444.0
2018  94  4  4 0600  -16.1  995.0    0.8  157.9   66.0  444.0
2018  94  4  4 0900  -16.0  994.6    0.9  194.2   61.3  444.0
2018  94  4  4 1200  -15.5  994.7    1.1  148.3   50.5  444.0
2018  94  4  4 1500  -16.2  996.0    2.1  100.5   55.6  444.0
2018  94  4  4 1800  -16.9  996.8    3.8  232.4   55.9  444.0
2018  94  4  4 2100  -16.0  995.9    2.0   66.7   60.0  444.0
2018  95  4  5 0000  -14.7  995.8    3.4  220.3   50.7  444.0
2018  95  4  5 0300  -15.7  996.5    8.7  230.9   57.2  444.0
2018  95  4  5 0600  -16.1  996.8    7.2  222.9   57.3  444.0
2018  95  4  5 0900  -15.7  997.3    5.7  207.9   57.3  444.0
2018  95  4  5 1200  -15.2  996.9    8.9  232.9   49.6  444.0
2018  95  4  5 1500  -15.7  997.0    6.5  232.3   51.9  444.0
2018  95  4  5 1800  -15.9  996.8    8.5  235.3   50.3  444.0
2018  95  4  5 2100  -15.3  997.3    7.9  224.3   46.6  444.0
2018  96  4  6 0000  -15.2  996.4    4.2  256.8   51.0  444.0
2018  96  4  6 0300  -14.9  996.9    5.0  254.9   42.3  444.0
