Year: 2018  Month: 11  ID: WTI  ARGOS:  9505  Name: WHITE ISLAND        
Lat: 78.08S  Lon: 167.46E  Elev:  686m
2018 315 11 11 0900  -13.0  883.2   10.8  175.4   96.0    0.1
2018 315 11 11 1200  -12.7  884.5    4.5  141.9   96.7   -0.0
2018 315 11 11 1500  -12.4  883.8    7.1  164.7   97.0    0.1
2018 315 11 11 1800  -11.5  882.7   13.3  179.1  100.2    0.1
2018 315 11 11 2100  -11.4  882.8    8.3  162.7   99.2   -0.1
2018 316 11 12 0000  -11.7  881.1   14.2  181.5   99.0    0.0
2018 316 11 12 0300  -11.7  881.2   13.4  191.0   99.2    0.1
2018 316 11 12 0600  -11.4  881.0   12.0  194.4  100.1    0.2
2018 316 11 12 0900  -11.9  881.4    7.1  194.2  100.0    0.0
2018 316 11 12 1200  -12.0  881.3    5.5  191.9   98.9    0.1
2018 316 11 12 1500  -11.9  881.4    0.0    0.0  100.0   -0.1
2018 316 11 12 1800  -13.7  881.4    5.8  192.3   89.0    0.2
2018 316 11 12 2100  -15.4  881.0   11.2  168.4   88.3    0.1
2018 317 11 13 0000  -15.5  881.4   11.7  166.4   83.4   -0.2
2018 317 11 13 0300  -14.6  881.8   12.8  157.3   68.3   -0.7
2018 317 11 13 0600  -13.8  882.9   11.4  161.6   60.3    0.1
2018 317 11 13 0900  -14.1  884.0    8.9  169.0   59.5    0.0
2018 317 11 13 1200  -13.7  885.1    4.5  164.1   56.2    0.0
2018 317 11 13 1500  -13.3  885.8    4.5  168.2   51.1    0.0
2018 317 11 13 1800  -12.4  886.6    4.2  157.3   52.8   -0.1
2018 317 11 13 2100  -12.3  887.5    4.2  157.1   55.4   -0.1
2018 318 11 14 0000  -12.1  888.1    2.6  191.4   50.8   -0.3
2018 318 11 14 0300  -12.8  888.6    2.8  157.1   49.5   -0.2
2018 318 11 14 0600  -12.5  888.8    1.2  234.0   53.6   -0.5
2018 318 11 14 0900  -13.0  889.0    2.2  165.7   46.7   -0.1
2018 318 11 14 1200  -12.9  888.8    2.2  173.8   45.9   -0.3
2018 318 11 14 1500  -13.8  888.6    2.0  177.2   52.8   -0.0
2018 318 11 14 1800  -12.2  888.6    1.9  104.0   44.9   -0.4
2018 318 11 14 2100  -12.9  888.8    2.9  137.1   54.1   -0.3
2018 319 11 15 0000  -12.6  889.0    4.0   55.4   37.5   -0.1
2018 319 11 15 0300  -12.9  888.9    3.4   44.7   41.6    0.0
2018 319 11 15 0600  -12.7  888.7    3.2  329.1   55.9    0.2
2018 319 11 15 0900  -13.6  888.0    7.4  280.2   91.7   -0.2
2018 319 11 15 1200  -13.7  888.3    5.6  259.6   91.3   -0.2
2018 319 11 15 1500  -14.3  888.6    2.9  137.5   92.4   -0.1
2018 319 11 15 1800  -13.9  889.0    1.9   58.3   67.8    0.0
2018 319 11 15 2100  -13.9  889.1    3.9  300.0   65.9   -0.2
2018 320 11 16 0000  -12.0  889.6    2.9  258.5   86.6   -1.0
2018 320 11 16 0300  -12.9  889.7    4.2  236.0   60.9   -0.5
2018 320 11 16 0600  -13.0  890.0    1.4  208.7   47.3   -0.2
2018 320 11 16 0900  -13.8  890.1    2.8  247.0   67.6   -0.3
2018 320 11 16 1200  -14.0  890.6    3.7  246.8   82.9   -0.2
2018 320 11 16 1500  -13.8  890.6    3.3  235.0   76.7   -0.1
2018 320 11 16 1800  -11.8  891.3    0.4  279.5   51.7   -0.2
2018 320 11 16 2100  -13.1  891.8    2.7  248.5   81.9   -0.9
2018 321 11 17 0000  -10.9  892.8    0.6  305.5   63.1   -0.2
2018 321 11 17 0300  -12.8  893.3    3.5  280.1   90.0   -0.1
2018 321 11 17 0600  -13.6  893.7    7.0  276.6   91.3   -0.2
2018 321 11 17 0900  -14.0  894.3    8.7  275.9   90.4   -0.3
2018 321 11 17 1200  -14.4  895.2    7.5  275.5   93.9   -0.1
2018 321 11 17 1500  -13.6  896.0    8.1  279.1   90.7   -0.3
2018 321 11 17 1800  -13.1  896.8    6.6  275.0   91.2   -0.5
2018 321 11 17 2100  -13.2  897.9    4.4  296.7   91.8   -0.1
2018 322 11 18 0000  -11.1  898.9    0.6  329.0   94.6    0.4
2018 322 11 18 0300  -13.3  899.2    3.1  345.3   92.4   -0.1
2018 322 11 18 0600  -13.6  899.5    3.5  303.4   91.7   -0.4
2018 322 11 18 0900  -14.4  898.7    7.5  296.2   93.5   -0.2
2018 322 11 18 1200  -13.9  898.9    3.8  303.7   89.9   -0.6
2018 322 11 18 1500  -14.2  897.9    2.3   39.1   85.3   -0.1
2018 322 11 18 1800  -14.8  897.2    5.5  139.0   86.0   -0.4
2018 322 11 18 2100  -14.3  896.2    3.9  141.9   68.9   -0.4
2018 323 11 19 0000  -14.4  894.4    6.1  105.7   62.6   -0.3
2018 323 11 19 0300  -13.6  892.7    3.6  105.6   43.5   -0.1
2018 323 11 19 0600  -13.2  890.8    1.8   57.9   31.2    0.2
2018 323 11 19 0900  -13.0  888.6    3.4  294.4   34.3   -0.0
2018 323 11 19 1200  -14.7  886.2    7.4  271.5   88.7   -0.2
2018 323 11 19 1500  -14.2  884.7    3.5  254.9   54.1   -0.3
2018 323 11 19 1800  -12.9  883.6    2.7   77.3   42.1   -0.2
2018 323 11 19 2100  -15.2  882.3    9.1  182.5   43.6   -0.0
2018 324 11 20 0000  -16.4  879.7   19.3  200.2   51.8    0.1
2018 324 11 20 0300  -16.1  880.7   12.6  180.8   54.4    0.0
2018 324 11 20 0600  -17.1  879.4   19.1  186.8   59.4    0.1
