Year: 2018  Month: 01  ID: LR2  ARGOS: 21360  Name: Laurie II           
Lat: 77.50S  Lon: 170.79E  Elev:   34m
2018   1  1  1 0000   -2.6  984.6    1.6  134.0   32.0  444.0
2018   1  1  1 0300  444.0  984.5    0.2  336.0   19.7  444.0
2018   1  1  1 0600  444.0  984.0    0.6  107.0   30.7  444.0
2018   1  1  1 0900   -5.4  983.6    1.0   22.0   74.2  444.0
2018   1  1  1 1200   -6.1  983.7    2.3  257.0   94.5  444.0
2018   1  1  1 1500   -9.1  983.4    4.1  226.0   81.7  444.0
2018   1  1  1 1800   -4.4  983.5    3.9  228.0   64.6  444.0
2018   1  1  1 2100   -3.4  984.1    3.9  225.0   64.1  444.0
2018   2  1  2 0000   -2.9  984.7    3.3  221.0   43.9  444.0
2018   2  1  2 0300   -0.8  985.0    4.1  222.0   51.8  444.0
2018   2  1  2 0600   -2.0  985.5    4.7  208.0   57.1  444.0
2018   2  1  2 0900   -5.4  986.5    2.7  231.0   68.5  444.0
2018   2  1  2 1200   -7.9  987.4    3.5  243.0   77.3  444.0
2018   2  1  2 1500   -6.4  987.6    2.1  205.0   58.8  444.0
2018   2  1  2 1800   -6.6  988.6    3.1  259.0   70.3  444.0
2018   2  1  2 2100   -2.9  989.9    3.1  240.0   65.0  444.0
2018   3  1  3 0000   -1.9  991.0    2.1  229.0   56.6  444.0
2018   3  1  3 0300   -2.9  991.9    4.1  226.0   62.8  444.0
2018   3  1  3 0600   -3.1  992.6    3.5  257.0   72.5  444.0
2018   3  1  3 0900   -3.5  993.3    3.7  188.0   62.8  444.0
2018   3  1  3 1200   -4.1  993.8    1.6  198.0   80.0  444.0
2018   3  1  3 1500   -4.9  992.9    2.5  342.0   83.9  444.0
2018   3  1  3 1800   -5.2  992.3    2.5  245.0   64.6  444.0
2018   3  1  3 2100   -1.2  992.2    1.2  169.0   42.6  444.0
2018   4  1  4 0000   -2.2  991.2    1.6   52.0   58.8  444.0
2018   4  1  4 0300    1.9  989.4    3.3  330.0   66.3  444.0
2018   4  1  4 0600    0.4  987.9    3.1  309.0   71.6  444.0
2018   4  1  4 0900   -2.6  986.6    2.9  319.0   81.3  444.0
2018   4  1  4 1200   -4.1  985.6    2.9  360.0   84.8  444.0
2018   4  1  4 1500   -2.6  984.3    4.5  319.0   85.7  444.0
2018   4  1  4 1800   -1.0  983.9    5.3  306.0   76.9  444.0
2018   4  1  4 2100    0.1  984.3    5.7  314.0   80.0  444.0
2018   5  1  5 0000   -0.8  984.7    5.8  312.0   79.5  444.0
2018   5  1  5 0300    0.4  984.9    5.3  294.0   60.2  444.0
2018   5  1  5 0600   -0.5  985.8    0.6  124.0   57.1  444.0
2018   5  1  5 0900   -3.5  986.6    2.1  211.0   71.6  444.0
2018   5  1  5 1200   -6.8  987.2    3.7  219.0   82.6  444.0
2018   5  1  5 1500   -7.0  987.2    5.8  194.0   82.2  444.0
2018   5  1  5 1800   -7.0  987.1    6.8  183.0   80.8  444.0
2018   5  1  5 2100   -7.0  987.1    9.8  177.0   80.8  444.0
2018   6  1  6 0000   -6.9  986.8    9.6  172.0   78.2  444.0
2018   6  1  6 0300   -6.1  986.1    5.8  202.0   71.2  444.0
2018   6  1  6 0600   -6.5  985.5    6.2  194.0   70.3  444.0
2018   6  1  6 0900   -7.8  985.0    4.7  183.0   82.2  444.0
2018   6  1  6 1200  -10.2  984.8    3.1  200.0   87.9  444.0
2018   6  1  6 1500   -7.1  984.9    3.7  257.0   74.2  444.0
2018   6  1  6 1800   -7.8  985.2    4.9  215.0   69.8  444.0
2018   6  1  6 2100   -5.6  985.8    5.1  177.0   60.6  444.0
2018   7  1  7 0000   -4.8  987.0    3.9  214.0   49.2  444.0
2018   7  1  7 0300   -2.4  987.6    1.0  155.0   37.3  444.0
2018   7  1  7 0600   -6.0  987.8    3.7   70.0   82.2  444.0
2018   7  1  7 0900   -5.5  988.3    3.3   29.0   88.8  444.0
2018   7  1  7 1200   -5.2  988.6    2.1   35.0   93.6  444.0
2018   7  1  7 1500   -2.9  988.2    5.7    1.0   87.0  444.0
2018   7  1  7 1800   -1.8  989.1    5.7  350.0   84.8  444.0
2018   7  1  7 2100    0.5  990.6    3.3    1.0   67.2  444.0
2018   8  1  8 0000    1.0  991.8    4.1   14.0   72.5  444.0
2018   8  1  8 0300    1.5  992.8    2.1   31.0   69.0  444.0
2018   8  1  8 0600    0.1  993.9    5.7   17.0   93.2  444.0
2018   8  1  8 0900   -1.1  995.4    5.7   13.0  444.0  444.0
2018   8  1  8 1200   -1.9  997.2    3.7   25.0  444.0  444.0
2018   8  1  8 1500   -2.4  997.9    3.1  103.0   96.2  444.0
2018   8  1  8 1800   -2.0  998.4    3.9  141.0   84.8  444.0
2018   8  1  8 2100   -1.9  998.9    5.1  100.0   87.0  444.0
2018   9  1  9 0000   -1.8  999.1    5.5  126.0   81.7  444.0
2018   9  1  9 0300   -1.2  999.3    5.3  132.0   83.0  444.0
2018   9  1  9 0600   -2.2  999.4    5.5  159.0   91.4  444.0
2018   9  1  9 0900   -3.6  999.2    5.8  148.0   98.4  444.0
2018   9  1  9 1200   -4.5  998.7    2.9  146.0  444.0  444.0
2018   9  1  9 1500   -4.1  997.8    1.4  131.0   92.7  444.0
2018   9  1  9 1800   -4.1  996.5    1.4  218.0   76.0  444.0
2018   9  1  9 2100    0.0  995.3    1.9  270.0   43.0  444.0
2018  10  1 10 0000   -1.4  993.7    4.3  260.0   70.3  444.0
2018  10  1 10 0300   -0.5  991.4    5.5  194.0   71.2  444.0
2018  10  1 10 0600   -6.5  990.2    3.1  207.0   80.0  444.0
2018  10  1 10 0900   -9.4  988.7    3.3  222.0   85.2  444.0
2018  10  1 10 1200   -9.8  987.4    3.1  225.0   92.3  444.0
2018  10  1 10 1500   -9.0  986.1    4.1  164.0   92.3  444.0
2018  10  1 10 1800   -8.0  984.6    3.7  160.0   87.9  444.0
2018  10  1 10 2100   -6.2  983.5    3.5  186.0   68.1  444.0
2018  11  1 11 0000   -6.6  982.8    6.6  172.0   75.6  444.0
2018  11  1 11 0300   -6.6  981.9    7.2  187.0   71.2  444.0
2018  11  1 11 0600   -7.2  981.4    5.3  180.0   81.3  444.0
2018  11  1 11 0900   -8.2  981.3    4.7  208.0   90.1  444.0
2018  11  1 11 1200   -9.4  981.2    3.3  180.0   95.4  444.0
2018  11  1 11 1500   -8.5  980.8    1.4  216.0   87.4  444.0
2018  11  1 11 1800  444.0  980.9    0.4  215.0   47.0  444.0
2018  11  1 11 2100   -2.9  981.6    0.4  232.0   42.6  444.0
2018  12  1 12 0000   -5.6  982.4    6.8  200.0   52.2  444.0
2018  12  1 12 0300   -6.8  983.2    6.2  188.0   68.5  444.0
2018  12  1 12 0600   -7.6  984.0    5.1  187.0   77.8  444.0
2018  12  1 12 0900   -6.9  984.9    2.5  222.0   75.6  444.0
2018  12  1 12 1200   -7.6  985.8    2.7  274.0   93.6  444.0
2018  12  1 12 1500   -6.6  986.5    0.6  298.0   90.1  444.0
2018  12  1 12 1800   -4.6  987.3    1.2  263.0   69.4  444.0
2018  12  1 12 2100   -3.2  987.3    2.9  335.0   87.9  444.0
2018  13  1 13 0000   -1.9  988.0    4.3  298.0   70.3  444.0
2018  13  1 13 0300    1.0  989.3    1.8  273.0   45.6  444.0
2018  13  1 13 0600   -0.6  990.1    1.9   70.0   48.7  444.0
2018  13  1 13 0900   -2.9  990.7    1.4  318.0   85.2  444.0
2018  13  1 13 1200   -5.6  991.9    2.7  297.0   99.3  444.0
2018  13  1 13 1500   -2.6  991.7    1.9  335.0   87.4  444.0
2018  13  1 13 1800   -2.4  990.7    1.2   53.0   75.6  444.0
2018  13  1 13 2100   -3.6  990.3    1.8   72.0   70.3  444.0
2018  14  1 14 0000   -3.2  989.3    2.3  107.0   61.0  444.0
2018  14  1 14 0300   -3.1  988.2    2.5  105.0   55.3  444.0
2018  14  1 14 0600   -3.5  987.7    2.1  136.0   58.8  444.0
2018  14  1 14 0900   -9.1  986.6    4.3  129.0   98.0  444.0
2018  14  1 14 1200   -8.8  986.0    2.3  112.0   96.2  444.0
2018  14  1 14 1500   -8.8  984.9    3.1  159.0   98.4  444.0
2018  14  1 14 1800   -7.4  984.1    1.4  101.0   75.6  444.0
2018  14  1 14 2100   -6.5  983.2    2.3   56.0   75.1  444.0
2018  15  1 15 0000   -3.8  982.3    1.9   52.0   52.7  444.0
2018  15  1 15 0300   -5.6  980.7    4.7   58.0   81.7  444.0
2018  15  1 15 0600   -4.9  979.0    3.9   44.0   88.8  444.0
2018  15  1 15 0900   -4.4  977.9    3.9   20.0   93.6  444.0
2018  15  1 15 1200   -4.6  976.7    2.7   39.0   99.3  444.0
2018  15  1 15 1500   -3.8  975.2    3.7   27.0   97.6  444.0
2018  15  1 15 1800   -3.5  974.0    5.3   21.0   93.6  444.0
2018  15  1 15 2100   -2.4  973.4    5.3   15.0   88.8  444.0
2018  16  1 16 0000   -1.9  972.6    5.3  354.0   86.6  444.0
2018  16  1 16 0300    1.1  971.6    3.3  330.0   73.4  444.0
2018  16  1 16 0600   -1.2  971.1    3.3  342.0   77.8  444.0
2018  16  1 16 0900   -3.1  971.1    3.3  304.0   69.8  444.0
2018  16  1 16 1200   -6.8  971.3    1.0  180.0   90.1  444.0
2018  16  1 16 1500   -7.9  971.5    1.8  198.0   91.4  444.0
2018  16  1 16 1800   -7.2  972.0    3.9  186.0   86.1  444.0
2018  16  1 16 2100   -7.8  973.3    6.0  167.0   82.2  444.0
2018  17  1 17 0000   -9.4  974.7    7.6  164.0   77.3  444.0
2018  17  1 17 0300   -8.8  975.2    7.0  170.0   76.4  444.0
2018  17  1 17 0600   -9.0  975.1    8.2  174.0   82.6  444.0
2018  17  1 17 0900   -9.0  975.2    9.9  219.0   91.4  444.0
2018  17  1 17 1200   -9.5  975.9    7.2  226.0   96.2  444.0
2018  17  1 17 1500   -9.6  976.0    5.1  221.0   95.4  444.0
2018  17  1 17 1800   -7.6  975.7    3.5  229.0   76.9  444.0
2018  17  1 17 2100   -5.6  975.3    2.9  214.0   53.1  444.0
2018  18  1 18 0000   -2.9  974.2    2.7  344.0   61.5  444.0
2018  18  1 18 0300   -3.8  973.3    2.3  267.0   68.5  444.0
2018  18  1 18 0600   -4.6  972.4    2.9  212.0   68.1  444.0
2018  18  1 18 0900   -3.8  971.4    6.2  250.0   81.7  444.0
2018  18  1 18 1200   -6.9  971.0    1.9  173.0   91.4  444.0
2018  18  1 18 1500   -7.8  971.1   11.3  193.0   98.0  444.0
2018  18  1 18 1800   -7.8  971.9    7.2  172.0   93.2  444.0
2018  18  1 18 2100   -7.4  972.4    9.8  181.0   81.7  444.0
2018  19  1 19 0000   -6.9  973.3   10.1  208.0   75.1  444.0
2018  19  1 19 0300   -4.4  973.0    5.8  207.0   58.0  444.0
2018  19  1 19 0600   -4.8  972.1    9.4  231.0   72.0  444.0
2018  19  1 19 0900   -7.6  971.6   14.4  224.0   91.4  444.0
2018  19  1 19 1200   -8.8  971.9   10.5  181.0   96.2  444.0
2018  19  1 19 1500   -9.0  971.4   10.3  190.0   95.4  444.0
2018  19  1 19 1800   -8.2  971.4   12.9  190.0   77.3  444.0
2018  19  1 19 2100   -6.0  971.7    9.4  216.0   65.0  444.0
2018  20  1 20 0000   -6.1  971.2    9.6  219.0   57.5  444.0
2018  20  1 20 0300   -4.5  969.8   11.7  233.0   64.6  444.0
2018  20  1 20 0600   -4.0  968.4    5.7  200.0   56.2  444.0
