Year: 2018  Month: 06  ID: BRP  ARGOS:  8922  Name: Bear Peninsula      
Lat: 74.55S  Lon: 111.89W  Elev:  312m
2018 162  6 11 1200  -24.3  908.3  444.0  444.0   81.0  444.0
2018 162  6 11 1500  -23.6  911.6  444.0  444.0   82.0  444.0
2018 162  6 11 1800  -23.5  915.3  444.0  444.0   81.7  444.0
2018 162  6 11 2100  -23.3  918.5  444.0  444.0   82.0  444.0
2018 163  6 12 0000  -25.3  921.8  444.0  444.0   79.5  444.0
2018 163  6 12 0300  -25.7  925.5  444.0  444.0   79.0  444.0
2018 163  6 12 0600  -27.5  929.3  444.0  444.0   77.0  444.0
2018 163  6 12 0900  -24.8  932.0  444.0  444.0   79.8  444.0
2018 163  6 12 1200  -24.0  934.8  444.0  444.0   81.0  444.0
2018 163  6 12 1500  -23.1  936.8  444.0  444.0   82.0  444.0
2018 163  6 12 1800  -21.4  938.2  444.0  444.0   84.0  444.0
2018 163  6 12 2100  -21.6  938.8  444.0  444.0   83.3  444.0
2018 164  6 13 0000  -20.2  939.2  444.0  444.0   84.8  444.0
2018 164  6 13 0300  -19.2  941.1  444.0  444.0   85.9  444.0
2018 164  6 13 0600  -19.3  942.2  444.0  444.0   86.0  444.0
2018 164  6 13 0900  -19.8  942.1  444.0  444.0   85.0  444.0
2018 164  6 13 1200  -21.5  940.8  444.0  444.0   84.0  444.0
2018 164  6 13 1500  -21.5  938.2  444.0  444.0   84.0  444.0
2018 164  6 13 1800  -23.2  937.8  444.0  444.0   82.0  444.0
2018 164  6 13 2100  -23.1  937.8  444.0  444.0   82.0  444.0
2018 165  6 14 0000  -22.8  936.9  444.0  444.0   82.0  444.0
2018 165  6 14 0300  -21.6  935.6  444.0  444.0   84.0  444.0
2018 165  6 14 0600  -20.3  935.3  444.0  444.0   84.0  444.0
2018 165  6 14 0900  -19.8  933.8  444.0  444.0   85.0  444.0
2018 165  6 14 1200  -20.2  932.2  444.0  444.0   85.0  444.0
2018 165  6 14 1500  -20.4  929.3  444.0  444.0   84.2  444.0
2018 165  6 14 1800  -19.9  928.7  444.0  444.0   85.0  444.0
2018 165  6 14 2100  -20.4  927.3  444.0  444.0   84.8  444.0
2018 166  6 15 0000  -18.3  925.9  444.0  444.0   86.0  444.0
2018 166  6 15 0300  -17.7  924.4  444.0  444.0   87.0  444.0
2018 166  6 15 0600  -19.9  922.8  444.0  444.0   85.0  444.0
2018 166  6 15 0900  -19.0  919.6  444.0  444.0   85.0  444.0
2018 166  6 15 1200  -19.9  920.9  444.0  444.0   85.0  444.0
2018 166  6 15 1500  -20.0  917.7  444.0  444.0   86.0  444.0
2018 166  6 15 1800  -18.7  918.5  444.0  444.0   85.6  444.0
2018 166  6 15 2100  -17.9  919.4  444.0  444.0   88.0  444.0
2018 167  6 16 0000  -20.9  916.3  444.0  444.0   84.4  444.0
2018 167  6 16 0300  -20.8  917.3  444.0  444.0   85.0  444.0
2018 167  6 16 0600  -20.6  919.5  444.0  444.0   85.0  444.0
2018 167  6 16 0900  -20.5  919.7  444.0  444.0   85.0  444.0
2018 167  6 16 1200  -19.3  923.9  444.0  444.0   85.8  444.0
2018 167  6 16 1500  -18.6  923.5  444.0  444.0   86.0  444.0
2018 167  6 16 1800  -18.9  922.7  444.0  444.0   86.0  444.0
2018 167  6 16 2100  -17.2  921.4  444.0  444.0   88.0  444.0
2018 168  6 17 0000  -16.4  920.0  444.0  444.0   88.0  444.0
2018 168  6 17 0300  -16.8  917.7  444.0  444.0   88.0  444.0
2018 168  6 17 0600  -18.2  922.3  444.0  444.0   87.0  444.0
2018 168  6 17 0900  -17.3  924.3  444.0  444.0   88.0  444.0
2018 168  6 17 1200  -15.4  925.8  444.0  444.0   89.0  444.0
2018 168  6 17 1500  -14.2  929.5  444.0  444.0   90.2  444.0
2018 168  6 17 1800  -13.3  931.2  444.0  444.0   90.0  444.0
2018 168  6 17 2100  -12.6  933.9  444.0  444.0   91.5  444.0
2018 169  6 18 0000  -12.5  935.9  444.0  444.0   92.0  444.0
2018 169  6 18 0300  -12.5  935.7  444.0  444.0   91.5  444.0
2018 169  6 18 0600  -12.8  936.8  444.0  444.0   91.0  444.0
2018 169  6 18 0900  -13.6  934.1  444.0  444.0   91.1  444.0
2018 169  6 18 1200  -13.8  932.7  444.0  444.0   91.0  444.0
2018 169  6 18 1500  -13.7  932.8  444.0  444.0   91.0  444.0
2018 169  6 18 1800  -14.7  933.3  444.0  444.0   90.0  444.0
2018 169  6 18 2100  -14.7  934.9  444.0  444.0   90.0  444.0
2018 170  6 19 0000  -13.9  937.7  444.0  444.0   91.0  444.0
2018 170  6 19 0300  -10.6  939.8  444.0  444.0   99.0  444.0
2018 170  6 19 0600  -14.6  939.8  444.0  444.0   91.0  444.0
2018 170  6 19 0900  -14.1  942.7  444.0  444.0   91.0  444.0
2018 170  6 19 1200  -16.3  943.5  444.0  444.0   88.5  444.0
2018 170  6 19 1500  -15.1  944.7  444.0  444.0   89.0  444.0
2018 170  6 19 1800  -14.6  945.5  444.0  444.0   89.0  444.0
2018 170  6 19 2100  -17.7  946.1  444.0  444.0   86.0  444.0
2018 171  6 20 0000  -14.2  945.6  444.0  444.0   86.0  444.0
2018 171  6 20 0300  -18.6  944.3  444.0  444.0   84.0  444.0
2018 171  6 20 0600  -19.1  942.7  444.0  444.0   83.0  444.0
2018 171  6 20 0900  -17.6  943.0  444.0  444.0   81.0  444.0
2018 171  6 20 1200  -20.0  943.8  444.0  444.0   75.4  444.0
2018 171  6 20 1500  -20.4  945.5  444.0  444.0   64.0  444.0
2018 171  6 20 1800  -18.7  948.1  444.0  444.0   60.0  444.0
2018 171  6 20 2100  -18.1  948.1  444.0  444.0   53.0  444.0
2018 172  6 21 0000  -19.3  947.6  444.0  444.0   52.0  444.0
