Year: 2018  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2018 192  7 11 1200  -30.9  966.2    0.0  231.0  444.0  444.0
2018 192  7 11 1500  -33.1  963.5    0.2  353.0  444.0  444.0
2018 192  7 11 1800  -30.4  961.1    0.2  173.0  444.0  444.0
2018 192  7 11 2100  -32.5  958.0    0.0  280.0  444.0  444.0
2018 193  7 12 0000  -32.8  955.9    0.0  252.0  444.0  444.0
2018 193  7 12 0300  -32.0  953.7    1.2  228.0  444.0  444.0
2018 193  7 12 0600  -33.9  952.5    0.7  263.0  444.0  444.0
2018 193  7 12 0900  -35.2  952.1    1.2  314.0  444.0  444.0
2018 193  7 12 1200  -33.5  952.6    0.0  132.0  444.0  444.0
2018 193  7 12 1500  -34.5  953.6    0.2  183.0  444.0  444.0
2018 193  7 12 1800  -34.5  955.3    2.2  146.0  444.0  444.0
2018 193  7 12 2100  -35.6  956.6    2.7  122.0  444.0  444.0
2018 194  7 13 0000  -34.1  957.7    0.5  143.0  444.0  444.0
2018 194  7 13 0300  -33.2  959.5    1.5  174.0  444.0  444.0
2018 194  7 13 0600  -34.1  961.4    0.0  246.0  444.0  444.0
2018 194  7 13 0900  -34.0  963.3    0.0  354.0  444.0  444.0
2018 194  7 13 1200  -34.4  964.4    0.0  285.0  444.0  444.0
2018 194  7 13 1500  -34.1  966.0    0.0  188.0  444.0  444.0
2018 194  7 13 1800  -34.5  967.7    0.0  302.0  444.0  444.0
2018 194  7 13 2100  -34.4  968.5    0.2  127.0  444.0  444.0
2018 195  7 14 0000  -32.2  967.7    1.0  309.0  444.0  444.0
2018 195  7 14 0300  -34.0  967.0    0.0  330.0  444.0  444.0
2018 195  7 14 0600  -33.2  965.5    0.0   49.0  444.0  444.0
2018 195  7 14 0900  -31.9  965.6    0.0  292.0  444.0  444.0
2018 195  7 14 1200  -32.5  966.1    1.5  142.0  444.0  444.0
2018 195  7 14 1500  -33.8  968.0    3.4  145.0  444.0  444.0
2018 195  7 14 1800  -30.1  970.3    3.7  146.0  444.0  444.0
2018 195  7 14 2100  -26.0  973.2    3.4  145.0  444.0  444.0
2018 196  7 15 0000  -23.9  974.3    2.5  149.0  444.0  444.0
2018 196  7 15 0300  -22.1  975.0    3.7  290.0  444.0  444.0
2018 196  7 15 0600  -22.4  975.4    3.4  118.0  444.0  444.0
2018 196  7 15 0900  -18.6  974.5    0.0  149.0  444.0  444.0
2018 196  7 15 1200  -20.8  974.4    1.7  153.0  444.0  444.0
2018 196  7 15 1500  -20.0  975.9    1.2  129.0  444.0  444.0
2018 196  7 15 1800  -20.6  976.5    2.9  195.0  444.0  444.0
2018 196  7 15 2100  -20.5  976.2    0.7  291.0  444.0  444.0
2018 197  7 16 0000  -20.4  975.6    2.7  259.0  444.0  444.0
2018 197  7 16 0300  -25.0  974.5    0.7  136.0  444.0  444.0
2018 197  7 16 0600  -24.1  974.0    0.0  158.0  444.0  444.0
2018 197  7 16 0900  -23.4  973.1    0.5  195.0  444.0  444.0
2018 197  7 16 1200  -27.2  973.4    0.0  142.0  444.0  444.0
2018 197  7 16 1500  -24.8  974.3    3.4  135.0  444.0  444.0
2018 197  7 16 1800  -26.2  973.7    0.0  250.0  444.0  444.0
2018 197  7 16 2100  -22.8  972.9    2.5  315.0  444.0  444.0
2018 198  7 17 0000  -26.6  973.3    6.1  141.0  444.0  444.0
2018 198  7 17 0300  -25.8  974.3    1.2  336.0  444.0  444.0
2018 198  7 17 0600  -24.8  973.1    4.4  295.0  444.0  444.0
2018 198  7 17 0900  -15.4  972.5    0.7  176.0  444.0  444.0
2018 198  7 17 1200  -17.8  971.6    3.9  167.0  444.0  444.0
2018 198  7 17 1500  -21.2  971.4   11.5  359.0  444.0  444.0
2018 198  7 17 1800  -23.2  973.1    8.8  350.0  444.0  444.0
2018 198  7 17 2100  -27.1  974.5    0.0  319.0  444.0  444.0
2018 199  7 18 0000  -23.0  974.2    8.8  350.0  444.0  444.0
2018 199  7 18 0300  -14.9  971.2   18.6  174.0  444.0  444.0
2018 199  7 18 0600  -24.5  973.2    0.2  288.0  444.0  444.0
2018 199  7 18 0900  -22.8  974.7    5.1  149.0  444.0  444.0
2018 199  7 18 1200  -23.1  973.5    5.4  162.0  444.0  444.0
2018 199  7 18 1500  -24.2  971.0    6.9  148.0  444.0  444.0
2018 199  7 18 1800  -25.0  968.0    8.3  159.0  444.0  444.0
2018 199  7 18 2100  -26.6  965.6    1.5  158.0  444.0  444.0
2018 200  7 19 0000  -26.2  962.3    0.0  202.0  444.0  444.0
2018 200  7 19 0300  -24.8  958.9    1.7  321.0  444.0  444.0
2018 200  7 19 0600  -27.8  955.7    0.0   38.0  444.0  444.0
2018 200  7 19 0900  -24.1  952.4    6.4   69.0  444.0  444.0
2018 200  7 19 1200  -27.9  953.6   10.5  145.0  444.0  444.0
2018 200  7 19 1500  -25.1  955.3    9.1  148.0  444.0  444.0
2018 200  7 19 1800  -21.2  956.9   10.8  180.0  444.0  444.0
2018 200  7 19 2100  -25.0  960.0    0.0  110.0  444.0  444.0
2018 201  7 20 0000  -23.2  962.2    0.0  163.0  444.0  444.0
2018 201  7 20 0300  -16.8  963.9    2.0   66.0  444.0  444.0
2018 201  7 20 0600  -16.0  962.9   14.9  181.0  444.0  444.0
2018 201  7 20 0900  -19.1  965.2    2.0  173.0  444.0  444.0
2018 201  7 20 1200  -20.1  966.2    1.0   86.0  444.0  444.0
2018 201  7 20 1500  -20.6  966.9    2.5  218.0  444.0  444.0
2018 201  7 20 1800  -18.9  967.8    4.4  172.0  444.0  444.0
2018 201  7 20 2100  -18.5  968.4    0.5  201.0  444.0  444.0
2018 202  7 21 0000  -19.1  968.2    3.9  235.0  444.0  444.0
2018 202  7 21 0300  -18.5  967.2    4.4  276.0  444.0  444.0
2018 202  7 21 0600  -16.9  964.7    5.9  232.0  444.0  444.0
2018 202  7 21 0900  -16.0  965.3    9.8  194.0  444.0  444.0
2018 202  7 21 1200  -13.2  965.1    8.6  179.0  444.0  444.0
2018 202  7 21 1500  -17.6  965.7    2.9  300.0  444.0  444.0
2018 202  7 21 1800  -17.1  965.2    0.0  180.0  444.0  444.0
2018 202  7 21 2100  -17.1  964.6    2.0  181.0  444.0  444.0
2018 203  7 22 0000  -16.5  964.5    2.5  211.0  444.0  444.0
2018 203  7 22 0300  -13.2  962.5    4.2  183.0  444.0  444.0
2018 203  7 22 0600  -13.2  962.7    4.2  173.0  444.0  444.0
2018 203  7 22 0900  -13.8  962.0    2.7  207.0  444.0  444.0
2018 203  7 22 1200  -13.1  960.8    2.5  207.0  444.0  444.0
2018 203  7 22 1500  -13.8  959.2    0.0  172.0  444.0  444.0
2018 203  7 22 1800  -13.1  958.9    4.2  198.0  444.0  444.0
2018 203  7 22 2100  -15.4  963.1    9.6  163.0  444.0  444.0
2018 204  7 23 0000  -16.6  966.6    4.9  127.0  444.0  444.0
2018 204  7 23 0300  -18.5  971.1    2.7  169.0  444.0  444.0
2018 204  7 23 0600  -16.0  971.7   20.6  170.0  444.0  444.0
2018 204  7 23 0900  -17.9  977.2    3.7  170.0  444.0  444.0
2018 204  7 23 1200  -18.1  979.1    3.9  190.0  444.0  444.0
2018 204  7 23 1500  -17.4  979.5    3.7  183.0  444.0  444.0
2018 204  7 23 1800  -18.0  979.1    1.0  333.0  444.0  444.0
2018 204  7 23 2100  -19.5  979.5    3.2  136.0  444.0  444.0
2018 205  7 24 0000  -19.2  978.7    0.0  152.0  444.0  444.0
2018 205  7 24 0300  -19.0  977.4    0.7  297.0  444.0  444.0
2018 205  7 24 0600  -20.1  974.2    4.9  302.0  444.0  444.0
2018 205  7 24 0900  -20.2  971.5    2.0    4.0  444.0  444.0
2018 205  7 24 1200  -22.4  969.6    1.2  152.0  444.0  444.0
2018 205  7 24 1500  -22.5  971.4    4.2  131.0  444.0  444.0
2018 205  7 24 1800  -23.1  976.2    4.4  153.0  444.0  444.0
2018 205  7 24 2100  -22.4  979.8   13.2  120.0  444.0  444.0
2018 206  7 25 0000  -24.2  983.8    3.4  176.0  444.0  444.0
2018 206  7 25 0300  -21.2  981.9    3.7  326.0  444.0  444.0
2018 206  7 25 0600  -15.6  978.5    0.0   11.0  444.0  444.0
2018 206  7 25 0900  -16.0  977.7    6.6  170.0  444.0  444.0
2018 206  7 25 1200  -17.4  974.8    4.4  345.0  444.0  444.0
2018 206  7 25 1500  -20.9  972.7    1.2  125.0  444.0  444.0
2018 206  7 25 1800  -18.4  973.2    1.0  163.0  444.0  444.0
2018 206  7 25 2100  -19.0  973.0    1.5  307.0  444.0  444.0
2018 207  7 26 0000  -16.8  972.7    0.5  228.0  444.0  444.0
2018 207  7 26 0300  -16.2  974.6    3.4  173.0  444.0  444.0
2018 207  7 26 0600  -20.4  977.3    5.6  141.0  444.0  444.0
2018 207  7 26 0900  -17.8  980.2    1.2  316.0  444.0  444.0
2018 207  7 26 1200  -11.1  978.0   12.5  197.0  444.0  444.0
