Year: 2018  Month: 12  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2018 345 12 11 1200   -3.3  986.3    0.8  272.0   76.7  444.0
2018 345 12 11 1500   -4.3  985.4    0.8  105.3   80.5  444.0
2018 345 12 11 1800   -4.0  984.8    2.6   82.9   77.5  444.0
2018 345 12 11 2100   -3.0  984.3    1.5  317.9   72.5  444.0
2018 346 12 12 0000   -2.2  983.7    2.1  311.0   69.2  444.0
2018 346 12 12 0300   -2.0  982.9    5.8   16.8   72.6  444.0
2018 346 12 12 0600   -1.6  981.9    8.2   18.5   70.6  444.0
2018 346 12 12 0900   -2.5  981.9    6.1   32.6   67.5  444.0
2018 346 12 12 1200   -2.3  982.2    2.8  121.9   48.2  444.0
2018 346 12 12 1500   -3.0  982.3    1.1  202.5   71.8  444.0
2018 346 12 12 1800   -3.0  982.7    0.7  134.3   71.6  444.0
2018 346 12 12 2100   -2.3  983.5    1.4    6.5   72.5  444.0
2018 347 12 13 0000   -1.5  983.9    1.6  332.1   65.8  444.0
2018 347 12 13 0300   -1.1  983.9    1.2  309.1   71.4  444.0
2018 347 12 13 0600   -3.5  983.8    3.2   17.4   72.2  444.0
2018 347 12 13 0900   -3.6  983.1    0.7  291.9   75.3  444.0
2018 347 12 13 1200   -3.8  981.6    0.3   49.6   78.0  444.0
2018 347 12 13 1500   -3.7  979.3    2.2  253.8   80.5  444.0
2018 347 12 13 1800   -3.3  977.3    1.6  253.8   82.4  444.0
2018 347 12 13 2100   -3.3  975.4    3.5  218.5   75.3  444.0
2018 348 12 14 0000   -1.8  973.8    7.7  233.9   70.0  444.0
2018 348 12 14 0300   -0.2  972.4   10.5  214.1   41.5  444.0
2018 348 12 14 0600   -4.1  973.7    8.9   34.8   72.3  444.0
2018 348 12 14 0900   -4.0  976.6    0.9  330.9   67.2  444.0
2018 348 12 14 1200   -4.1  977.3    1.3  228.7   71.4  444.0
2018 348 12 14 1500   -5.3  975.7    0.3  260.7   79.2  444.0
2018 348 12 14 1800   -1.1  973.3    6.3  222.9   46.2  444.0
2018 348 12 14 2100   -2.5  970.2   14.3  230.3   71.2  444.0
2018 349 12 15 0000    0.2  968.4   20.6  219.3   50.8  444.0
2018 349 12 15 0300   -2.0  968.5   20.1  219.5   52.9  444.0
2018 349 12 15 0600   -0.7  970.3   11.6  219.1   51.5  444.0
2018 349 12 15 0900   -4.4  972.9    8.3   34.2   74.8  444.0
2018 349 12 15 1200   -4.9  974.3    6.4   40.0   81.2  444.0
2018 349 12 15 1500   -5.2  976.5    4.8   31.2   81.2  444.0
2018 349 12 15 1800   -5.3  978.3    2.6   38.9   80.5  444.0
2018 349 12 15 2100   -4.2  978.6    7.1   31.3   77.6  444.0
2018 350 12 16 0000   -2.4  979.3    5.2   45.7   57.5  444.0
2018 350 12 16 0300   -2.6  979.6    3.3   11.4   68.6  444.0
2018 350 12 16 0600    0.2  977.3   15.5  211.3   37.9  444.0
2018 350 12 16 0900    1.3  975.8   13.7  196.0   20.0  444.0
2018 350 12 16 1200    0.0  975.4   16.1  202.8   24.6  444.0
2018 350 12 16 1500   -1.0  977.2    2.7  269.0   54.2  444.0
2018 350 12 16 1800   -3.3  978.3    5.9   43.0   72.0  444.0
2018 350 12 16 2100   -3.7  979.3    4.3   28.5   78.0  444.0
2018 351 12 17 0000   -2.7  978.2    5.5   39.5   79.5  444.0
2018 351 12 17 0300    0.6  974.7   10.6  225.2   48.3  444.0
