Year: 2018  Month: 05  ID: RLS  ARGOS:  8918  Name: Relay Station       
Lat: 74.02S  Lon:  43.07E  Elev: 3353m
2018 121  5  1 0000  -48.4  625.8    8.6    2.0   49.0  444.0
2018 121  5  1 0300  -48.3  627.0    6.9    1.0   49.0  444.0
2018 121  5  1 0600  -47.6  628.3    6.2  348.0   49.0  444.0
2018 121  5  1 0900  -46.0  630.1    4.8  343.0   52.0  444.0
2018 121  5  1 1200  -44.9  631.0    4.4  347.0   54.0  444.0
2018 121  5  1 1500  -43.1  632.0    4.6  329.0   55.0  444.0
2018 121  5  1 1800  -42.6  632.8    4.4  332.0   56.0  444.0
2018 121  5  1 2100  -45.3  633.3    4.5  351.0   53.0  444.0
2018 122  5  2 0000  -44.6  633.7    4.7  343.0   54.0  444.0
2018 122  5  2 0300  -45.8  634.0    3.2  355.0   53.0  444.0
2018 122  5  2 0600  -48.9  634.1    3.3   20.0   50.0  444.0
2018 122  5  2 0900  -49.8  634.3    3.6   28.0   48.0  444.0
2018 122  5  2 1200  -51.2  634.4    3.6   50.0   47.0  444.0
2018 122  5  2 1500  -52.4  634.2    4.2   44.0   46.0  444.0
2018 122  5  2 1800  -55.9  634.0    4.6   38.0   42.0  444.0
2018 122  5  2 2100  -57.9  633.9    5.5   31.0   40.0  444.0
2018 123  5  3 0000  -58.5  633.4    1.1   42.0   39.0  444.0
2018 123  5  3 0300  -58.8  632.9    5.1   38.0   39.0  444.0
2018 123  5  3 0600  -59.6  632.5    5.0   38.0   38.0  444.0
2018 123  5  3 0900  -60.2  632.4    5.3   42.0   37.0  444.0
2018 123  5  3 1200  -61.4  632.0    5.3   44.0   36.0  444.0
2018 123  5  3 1500  -61.3  631.5    6.1   43.0   36.0  444.0
2018 123  5  3 1800  -61.4  631.3    5.4   38.0   36.0  444.0
2018 123  5  3 2100  -60.0  631.1    6.1   33.0   37.0  444.0
2018 124  5  4 0000  -59.1  631.0    6.7   31.0   40.0  444.0
2018 124  5  4 0300  -58.2  631.3    7.1   32.0   39.0  444.0
2018 124  5  4 0600  -57.1  631.8    7.5   30.0   40.0  444.0
2018 124  5  4 0900  -57.2  632.7    7.1   33.0   40.0  444.0
2018 124  5  4 1200  -57.1  633.2    7.5   39.0   40.0  444.0
2018 124  5  4 1500  -57.5  633.8    7.7   37.0   40.0  444.0
2018 124  5  4 1800  -57.6  634.2    7.7   43.0   39.0  444.0
2018 124  5  4 2100  -57.5  634.7    7.9   42.0   40.0  444.0
2018 125  5  5 0000  -57.9  634.9    7.1   40.0   39.0  444.0
2018 125  5  5 0300  -57.9  634.8    7.8   51.0   40.0  444.0
2018 125  5  5 0600  -58.4  634.7    7.4   57.0   39.0  444.0
2018 125  5  5 0900  -60.4  635.3    7.5   42.0   36.0  444.0
2018 125  5  5 1200  -58.1  635.8    9.0   49.0   39.0  444.0
2018 125  5  5 1500  -56.6  636.2    9.6   62.0   40.0  444.0
2018 125  5  5 1800  -55.1  636.9    9.4   58.0   42.0  444.0
2018 125  5  5 2100  -54.6  637.4    9.7   51.0   42.0  444.0
2018 126  5  6 0000  -54.4  638.3   10.0   61.0   48.0  444.0
2018 126  5  6 0300  -53.8  639.0   10.3   60.0   44.0  444.0
2018 126  5  6 0600  -53.3  639.6   10.7   59.0   44.0  444.0
2018 126  5  6 0900  -52.4  640.4   10.3   59.0   45.0  444.0
2018 126  5  6 1200  -51.7  641.1    8.7   57.0   46.0  444.0
2018 126  5  6 1500  -50.6  641.9    8.3   59.0   47.0  444.0
2018 126  5  6 1800  -49.6  642.2    8.5   54.0   48.0  444.0
2018 126  5  6 2100  -49.7  643.7    8.2   54.0   48.0  444.0
2018 127  5  7 0000  -49.8  644.0    8.8   56.0   48.0  444.0
2018 127  5  7 0300  -51.2  644.5    6.8   60.0   46.0  444.0
2018 127  5  7 0600  -51.3  645.4    5.9   68.0   47.0  444.0
2018 127  5  7 0900  -51.7  645.0    4.8   74.0   46.0  444.0
2018 127  5  7 1200  -50.0  645.1    6.1   61.0   48.0  444.0
2018 127  5  7 1500  -50.0  645.0    6.0   63.0   48.0  444.0
2018 127  5  7 1800  -49.7  645.1    6.8   61.0   49.0  444.0
2018 127  5  7 2100  -49.0  644.9    6.9   64.0   49.0  444.0
2018 128  5  8 0000  -49.8  644.9    6.3   59.0   48.0  444.0
2018 128  5  8 0300  -48.1  644.7    7.5   67.0   50.0  444.0
2018 128  5  8 0600  -47.8  645.2    8.5   60.0   50.0  444.0
2018 128  5  8 0900  -47.2  645.8    8.6   58.0   51.0  444.0
2018 128  5  8 1200  -47.1  646.6    7.9   52.0   50.0  444.0
2018 128  5  8 1500  -47.3  647.1    7.4   59.0   51.0  444.0
2018 128  5  8 1800  -47.5  648.3    8.0   65.0   51.0  444.0
2018 128  5  8 2100  -47.4  648.8    7.6   55.0   51.0  444.0
2018 129  5  9 0000  -47.3  649.3    7.1   65.0   51.0  444.0
2018 129  5  9 0300  -47.4  649.6    7.6   67.0   51.0  444.0
2018 129  5  9 0600  -46.8  649.8    6.5   62.0   52.0  444.0
2018 129  5  9 0900  -48.0  650.2    5.5   71.0   50.0  444.0
2018 129  5  9 1200  -48.2  649.4    5.4   41.0   50.0  444.0
2018 129  5  9 1500  -45.9  648.8    4.0   30.0   52.0  444.0
2018 129  5  9 1800  -42.1  649.0    1.9   64.0   57.0  444.0
2018 129  5  9 2100  -42.9  649.3    5.1   75.0   56.0  444.0
2018 130  5 10 0000  -48.5  649.8    6.0   70.0   50.0  444.0
2018 130  5 10 0300  -48.7  650.3    6.2   63.0   50.0  444.0
2018 130  5 10 0600  -47.7  650.8    6.2   45.0   51.0  444.0
2018 130  5 10 0900  -45.7  650.9    5.6   41.0   53.0  444.0
2018 130  5 10 1200  -45.6  651.1    5.8   34.0   53.0  444.0
2018 130  5 10 1500  -47.1  651.6    5.7   41.0   52.0  444.0
2018 130  5 10 1800  -50.6  652.0    5.5   44.0   48.0  444.0
2018 130  5 10 2100  -51.3  652.1    5.1   52.0   47.0  444.0
2018 131  5 11 0000  -51.9  652.1    4.9   68.0   47.0  444.0
2018 131  5 11 0300  -52.5  651.8    5.4   72.0   46.0  444.0
2018 131  5 11 0600  -51.1  651.2    4.9   65.0   47.0  444.0
2018 131  5 11 0900  -49.9  650.8    7.4   63.0   49.0  444.0
2018 131  5 11 1200  -50.5  650.8    7.3   65.0   48.0  444.0
2018 131  5 11 1500  -48.0  650.7    7.9   51.0   50.0  444.0
2018 131  5 11 1800  -47.1  650.9    9.0   46.0   52.0  444.0
2018 131  5 11 2100  -48.1  651.4    9.1   49.0   51.0  444.0
2018 132  5 12 0000  -48.4  651.4    7.3   60.0   51.0  444.0
2018 132  5 12 0300  -49.6  650.9    7.4   58.0   49.0  444.0
2018 132  5 12 0600  -48.7  650.3    8.9   63.0   50.0  444.0
2018 132  5 12 0900  -47.1  649.7    7.9   59.0   52.0  444.0
2018 132  5 12 1200  -47.4  649.6    8.9   63.0   51.0  444.0
2018 132  5 12 1500  -48.6  649.6    9.4   60.0   50.0  444.0
2018 132  5 12 1800  -48.8  649.8    8.8   59.0   50.0  444.0
2018 132  5 12 2100  -48.1  649.8    8.9   56.0   51.0  444.0
2018 133  5 13 0000  -47.5  649.8    9.4   60.0   54.0  444.0
2018 133  5 13 0300  -45.8  649.6    9.7   62.0   52.0  444.0
2018 133  5 13 0600  -46.1  650.2   10.8   42.0   52.0  444.0
2018 133  5 13 0900  -46.4  651.3   10.2   47.0   52.0  444.0
2018 133  5 13 1200  -44.7  652.0    9.7   40.0   54.0  444.0
2018 133  5 13 1500  -45.7  652.6    9.7   48.0   53.0  444.0
2018 133  5 13 1800  -45.6  652.7    9.0   50.0   53.0  444.0
2018 133  5 13 2100  -45.0  652.5    9.6   48.0   54.0  444.0
2018 134  5 14 0000  -45.2  652.2    9.6   44.0   53.0  444.0
2018 134  5 14 0300  -45.7  651.9    9.8   43.0   53.0  444.0
2018 134  5 14 0600  -45.6  651.0   10.3   49.0   54.0  444.0
2018 134  5 14 0900  -45.7  650.1    9.4   50.0   53.0  444.0
2018 134  5 14 1200  -44.6  649.1   11.1   47.0   54.0  444.0
2018 134  5 14 1500  -44.5  648.5   11.2   44.0   54.0  444.0
2018 134  5 14 1800  -44.7  648.5   11.2   43.0   55.0  444.0
2018 134  5 14 2100  -44.7  648.1   10.3   49.0   55.0  444.0
2018 135  5 15 0000  -44.2  647.3   11.8   48.0   55.0  444.0
2018 135  5 15 0300  -45.1  646.7   11.3   46.0   54.0  444.0
2018 135  5 15 0600  -45.9  646.4   10.0   47.0   53.0  444.0
2018 135  5 15 0900  -44.9  645.7   10.2   43.0   54.0  444.0
2018 135  5 15 1200  -45.1  645.6    9.4   49.0   54.0  444.0
2018 135  5 15 1500  -46.1  644.9    9.5   51.0   53.0  444.0
2018 135  5 15 1800  -46.0  644.3    9.3   46.0   53.0  444.0
2018 135  5 15 2100  -45.4  643.5    8.9   44.0   54.0  444.0
2018 136  5 16 0000  -45.6  642.5    8.4   51.0   53.0  444.0
2018 136  5 16 0300  -45.7  640.5    8.2   57.0   54.0  444.0
2018 136  5 16 0600  -46.4  638.3    7.0   68.0   52.0  444.0
2018 136  5 16 0900  -43.2  636.1    8.9   57.0   56.0  444.0
