Year: 2018  Month: 12  ID: POS  ARGOS:  8984  Name: POSSESSION ISLAND   
Lat: 71.90S  Lon: 171.22E  Elev:   30m
2018 345 12 11 1500   -2.0  979.5  444.0  444.0  444.0  444.0
2018 345 12 11 1800   -1.4  980.3  444.0  444.0  444.0  444.0
2018 345 12 11 2100    0.9  981.0  444.0  444.0  444.0  444.0
2018 346 12 12 0000    1.4  981.1  444.0  444.0  444.0  444.0
2018 346 12 12 0300  444.0  980.2  444.0  444.0  444.0  444.0
2018 346 12 12 0600    0.6  978.8  444.0  444.0  444.0  444.0
2018 346 12 12 0900   -0.6  976.9  444.0  444.0  444.0  444.0
2018 346 12 12 1200   -1.1  975.3  444.0  444.0  444.0  444.0
2018 346 12 12 1500   -1.3  973.4  444.0  444.0  444.0  444.0
2018 346 12 12 1800   -1.8  971.1  444.0  444.0  444.0  444.0
2018 346 12 12 2100   -1.8  969.7  444.0  444.0  444.0  444.0
2018 347 12 13 0000   -1.8  968.5  444.0  444.0  444.0  444.0
2018 347 12 13 0300   -1.8  968.1  444.0  444.0  444.0  444.0
2018 347 12 13 0600   -1.6  968.0  444.0  444.0  444.0  444.0
2018 347 12 13 0900   -2.3  968.0  444.0  444.0  444.0  444.0
2018 347 12 13 1200   -2.0  968.8  444.0  444.0  444.0  444.0
2018 347 12 13 1500   -1.9  969.0  444.0  444.0  444.0  444.0
2018 347 12 13 1800   -1.9  970.1  444.0  444.0  444.0  444.0
2018 347 12 13 2100   -0.9  969.8  444.0  444.0  444.0  444.0
2018 348 12 14 0000    1.5  969.3  444.0  444.0  444.0  444.0
2018 348 12 14 0300    2.1  968.6  444.0  444.0  444.0  444.0
2018 348 12 14 0600    2.9  968.0  444.0  444.0  444.0  444.0
2018 348 12 14 0900    0.8  968.0  444.0  444.0  444.0  444.0
2018 348 12 14 1200    1.1  968.1  444.0  444.0  444.0  444.0
2018 348 12 14 1500   -1.5  967.8  444.0  444.0  444.0  444.0
2018 348 12 14 1800   -0.5  968.3  444.0  444.0  444.0  444.0
2018 348 12 14 2100   -0.3  969.3  444.0  444.0  444.0  444.0
2018 349 12 15 0000    1.3  969.3  444.0  444.0  444.0  444.0
2018 349 12 15 0300    0.6  968.9  444.0  444.0  444.0  444.0
2018 349 12 15 0600    1.3  968.3  444.0  444.0  444.0  444.0
2018 349 12 15 0900   -0.9  967.5  444.0  444.0  444.0  444.0
2018 349 12 15 1200   -2.5  966.6  444.0  444.0  444.0  444.0
2018 349 12 15 1500   -2.0  966.1  444.0  444.0  444.0  444.0
2018 349 12 15 1800   -2.4  967.9  444.0  444.0  444.0  444.0
2018 349 12 15 2100   -2.3  969.9  444.0  444.0  444.0  444.0
2018 350 12 16 0000   -0.9  970.3  444.0  444.0  444.0  444.0
2018 350 12 16 0300   -2.0  970.6  444.0  444.0  444.0  444.0
2018 350 12 16 0600   -1.9  970.7  444.0  444.0  444.0  444.0
2018 350 12 16 0900   -2.5  971.4  444.0  444.0  444.0  444.0
2018 350 12 16 1200   -2.9  971.7  444.0  444.0  444.0  444.0
2018 350 12 16 1500   -3.0  972.1  444.0  444.0  444.0  444.0
2018 350 12 16 1800   -2.3  972.1  444.0  444.0  444.0  444.0
