Year: 2018  Month: 10  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.87S  Lon: 166.95E  Elev:   12m
2018 274 10  1 0000  -23.3  974.7   17.9  151.3   81.6   -0.0
2018 274 10  1 0300  -24.3  976.6   16.6  144.1   81.0   -0.0
2018 274 10  1 0600  -24.1  976.8   16.4  157.8   81.2   -0.0
2018 274 10  1 0900  -22.9  976.2   14.6  134.5   82.3   -0.0
2018 274 10  1 1200  -22.6  977.0   15.6  156.7   82.4    0.0
2018 274 10  1 1500  -21.1  977.5   11.8  148.0   84.2    0.0
2018 274 10  1 1800  -21.5  976.4   12.6  155.8   83.6    0.0
2018 274 10  1 2100  -20.0  972.6   12.5  155.1   84.6    0.0
2018 275 10  2 0000  -20.0  971.7   12.6  147.1   84.1   -0.0
2018 275 10  2 0300  -19.5  971.2    8.7  151.6   85.0    0.0
2018 275 10  2 0600  -19.4  969.1   11.1  147.4   85.0    0.1
2018 275 10  2 0900  -19.6  968.6    3.2   18.3   82.7    0.4
2018 275 10  2 1200  -19.0  967.2    8.9  152.8   84.2    0.3
2018 275 10  2 1500  -21.2  968.3    8.3  137.9   80.3    0.4
2018 275 10  2 1800  -22.6  968.3    6.2  156.8   77.9    0.5
2018 275 10  2 2100  -22.0  968.5    6.4  164.8   76.8    0.3
2018 276 10  3 0000  -23.2  968.5    4.1   13.1   71.2    0.8
2018 276 10  3 0300  -21.7  967.5    2.4   29.5   69.7    2.0
2018 276 10  3 0600  -24.3  966.5    0.0   63.0   76.9    1.8
2018 276 10  3 0900  -24.7  966.0    2.0   40.9   79.1    1.2
2018 276 10  3 1200  -23.6  965.3    4.2  116.4   79.0    0.8
2018 276 10  3 1500  -19.3  964.9    5.5   63.9   74.5    0.3
2018 276 10  3 1800  -18.7  962.4    2.9   47.3   89.5    1.6
2018 276 10  3 2100  -15.9  960.7    0.9   65.4   77.7    0.6
2018 277 10  4 0000  -13.2  959.7    3.4   46.9   78.5    0.3
2018 277 10  4 0300  -10.4  956.9    3.3   71.1   80.4    0.2
2018 277 10  4 0600  -10.3  954.3   18.6  173.1   92.6    0.1
2018 277 10  4 0900  -10.7  955.4   15.6  166.8   92.3    0.1
2018 277 10  4 1200  -15.2  959.2   15.7  156.4   89.2    0.0
2018 277 10  4 1500  -14.4  960.0   13.0  160.2   89.9    0.1
2018 277 10  4 1800  -11.7  958.8   10.8  162.3   92.2    0.2
2018 277 10  4 2100   -9.5  957.2    2.9   25.9   67.2    0.7
2018 278 10  5 0000  -10.3  956.2   16.7  203.5   92.4    0.0
2018 278 10  5 0300  -12.2  960.0    4.4  129.9   89.1    0.1
2018 278 10  5 0600  -11.7  958.9   11.3  174.7   92.2    0.1
2018 278 10  5 0900  -12.5  959.9    7.7  176.7   92.5    0.1
