Year: 2018  Month: 05  ID: FUJ  ARGOS:  8904  Name: Dome Fuji           
Lat: 77.31S  Lon:  39.71E  Elev: 3810m
2018 121  5  1 0000  -70.0  586.0    0.6   76.0  -68.8   -1.2
2018 121  5  1 0300  -62.8  586.0    3.2   65.0  -69.0    6.2
2018 121  5  1 0600  -59.0  585.9    5.0   44.0  -68.2    9.2
2018 121  5  1 0900  -60.0  586.4    5.0   26.0  -67.0    7.0
2018 121  5  1 1200  -59.3  586.9    4.6    5.0  -66.2    6.5
2018 121  5  1 1500  -59.7  587.6    5.4  358.0  -65.5    5.8
2018 121  5  1 1800  -60.9  588.3    5.0  355.0  -65.0    4.1
2018 121  5  1 2100  -63.5  588.9    3.7  342.0  -64.6    1.1
2018 122  5  2 0000  -62.5  589.5    3.8  330.0  -64.4    2.0
2018 122  5  2 0300  -63.2  590.1    3.1  327.0  -64.2    1.0
2018 122  5  2 0600  -64.0  590.8    3.0  302.0  -64.1    0.0
2018 122  5  2 0900  -64.6  591.5    2.5  285.0  -64.0   -1.0
2018 122  5  2 1200  -65.8  591.7    2.7  290.0  -64.1   -1.7
2018 122  5  2 1500  -66.3  592.0    2.3  287.0  -64.2   -2.4
2018 122  5  2 1800  -65.6  592.2    2.6  270.0  -64.4   -1.1
2018 122  5  2 2100  -66.9  592.2    2.5  268.0  -64.6   -2.2
2018 123  5  3 0000  -64.8  591.8    2.9  244.0  -64.7   -0.1
2018 123  5  3 0300  -66.1  591.8    2.3  250.0  -64.9   -1.2
2018 123  5  3 0600  -67.6  591.5    2.2  228.0  -64.9   -2.7
2018 123  5  3 0900  -68.0  591.7    2.7  210.0  -65.1   -2.9
2018 123  5  3 1200  -71.3  591.7    2.0  196.0  -65.4   -5.7
2018 123  5  3 1500  -71.6  591.5    2.3  184.0  -65.8   -5.8
2018 123  5  3 1800  -71.2  591.5    2.2  184.0  -66.4   -4.8
2018 123  5  3 2100  -71.6  591.7    2.5  182.0  -66.8   -4.9
2018 124  5  4 0000  -71.9  591.9    2.3  188.0  -67.1   -4.8
2018 124  5  4 0300  -72.1  592.0    2.4  199.0  -67.4   -4.7
2018 124  5  4 0600  -72.0  592.4    2.1  201.0  -67.7   -4.3
2018 124  5  4 0900  -71.5  593.0    2.3  211.0  -67.8   -3.8
2018 124  5  4 1200  -70.0  593.5    2.5  226.0  -67.8   -2.2
2018 124  5  4 1500  -71.2  593.9    2.4  230.0  -67.7   -3.2
2018 124  5  4 1800  -68.6  593.9    2.6  247.0  -67.7   -1.2
2018 124  5  4 2100  -67.1  593.9    2.6  258.0  -67.5    0.1
2018 125  5  5 0000  -68.2  594.3    2.7  230.0  -67.2   -1.3
