Year: 2018  Month: 01  ID: POS  ARGOS:  8984  Name: Possession Island   
Lat: 71.89S  Lon: 171.22E  Elev:   30m
2018   1  1  1 0000    4.8  976.0  444.0  444.0  444.0  444.0
2018   1  1  1 0300    5.9  976.0  444.0  444.0  444.0  444.0
2018   1  1  1 0600    6.6  976.0  444.0  444.0  444.0  444.0
2018   1  1  1 0900    3.1  976.6  444.0  444.0  444.0  444.0
2018   1  1  1 1200    0.4  976.7  444.0  444.0  444.0  444.0
2018   1  1  1 1500    0.5  976.6  444.0  444.0  444.0  444.0
2018   1  1  1 1800    0.4  977.0  444.0  444.0  444.0  444.0
2018   1  1  1 2100    3.4  977.5  444.0  444.0  444.0  444.0
2018   2  1  2 0000    5.4  978.4  444.0  444.0  444.0  444.0
2018   2  1  2 0300    5.4  978.9  444.0  444.0  444.0  444.0
2018   2  1  2 0600    6.5  979.5  444.0  444.0  444.0  444.0
2018   2  1  2 0900    0.9  980.4  444.0  444.0  444.0  444.0
2018   2  1  2 1200   -0.2  981.5  444.0  444.0  444.0  444.0
2018   2  1  2 1500   -0.2  981.8  444.0  444.0  444.0  444.0
2018   2  1  2 1800    1.1  982.7  444.0  444.0  444.0  444.0
2018   2  1  2 2100    1.2  984.2  444.0  444.0  444.0  444.0
2018   3  1  3 0000    4.9  985.1  444.0  444.0  444.0  444.0
2018   3  1  3 0300    4.5  985.5  444.0  444.0  444.0  444.0
2018   3  1  3 0600    4.2  985.7  444.0  444.0  444.0  444.0
2018   3  1  3 0900    1.1  985.9  444.0  444.0  444.0  444.0
2018   3  1  3 1200   -0.2  986.2  444.0  444.0  444.0  444.0
2018   3  1  3 1500   -0.6  985.5  444.0  444.0  444.0  444.0
2018   3  1  3 1800   -0.9  983.9  444.0  444.0  444.0  444.0
2018   3  1  3 2100   -1.0  982.2  444.0  444.0  444.0  444.0
2018   4  1  4 0000   -0.9  980.3  444.0  444.0  444.0  444.0
2018   4  1  4 0300   -0.9  977.8  444.0  444.0  444.0  444.0
2018   4  1  4 0600   -0.9  976.3  444.0  444.0  444.0  444.0
2018   4  1  4 0900   -0.9  975.3  444.0  444.0  444.0  444.0
2018   4  1  4 1200   -0.9  974.9  444.0  444.0  444.0  444.0
2018   4  1  4 1500   -0.9  974.7  444.0  444.0  444.0  444.0
2018   4  1  4 1800   -0.8  974.5  444.0  444.0  444.0  444.0
2018   4  1  4 2100    0.1  973.9  444.0  444.0  444.0  444.0
2018   5  1  5 0000    0.8  973.8  444.0  444.0  444.0  444.0
2018   5  1  5 0300    0.1  973.3  444.0  444.0  444.0  444.0
2018   5  1  5 0600   -0.1  973.6  444.0  444.0  444.0  444.0
2018   5  1  5 0900   -0.1  974.1  444.0  444.0  444.0  444.0
2018   5  1  5 1200   -0.1  974.7  444.0  444.0  444.0  444.0
2018   5  1  5 1500   -0.5  974.6  444.0  444.0  444.0  444.0
2018   5  1  5 1800   -0.2  974.9  444.0  444.0  444.0  444.0
2018   5  1  5 2100    1.2  975.1  444.0  444.0  444.0  444.0
2018   6  1  6 0000    2.1  975.1  444.0  444.0  444.0  444.0
2018   6  1  6 0300    1.4  975.6  444.0  444.0  444.0  444.0
2018   6  1  6 0600    1.5  977.1  444.0  444.0  444.0  444.0
2018   6  1  6 0900    1.8  978.7  444.0  444.0  444.0  444.0
2018   6  1  6 1200    1.2  980.4  444.0  444.0  444.0  444.0
2018   6  1  6 1500    1.2  980.8  444.0  444.0  444.0  444.0
2018   6  1  6 1800    0.5  981.2  444.0  444.0  444.0  444.0
2018   6  1  6 2100    4.2  981.9  444.0  444.0  444.0  444.0
2018   7  1  7 0000    4.8  982.4  444.0  444.0  444.0  444.0
