Year: 2018  Month: 09  ID: POS  ARGOS:  8984  Name: Possession Island   
Lat: 71.90S  Lon: 171.22E  Elev:   30m
2018 244  9  1 0000  -22.6  972.2  444.0  444.0  444.0  444.0
2018 244  9  1 0300  -21.1  971.9  444.0  444.0  444.0  444.0
2018 244  9  1 0600  -20.2  970.5  444.0  444.0  444.0  444.0
2018 244  9  1 0900  -19.0  968.2  444.0  444.0  444.0  444.0
2018 244  9  1 1200  -21.9  964.4  444.0  444.0  444.0  444.0
2018 244  9  1 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 244  9  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 244  9  1 2100  -21.4  953.5  444.0  444.0  444.0  444.0
2018 245  9  2 0000  -22.6  954.4  444.0  444.0  444.0  444.0
2018 245  9  2 0300  -23.4  951.9  444.0  444.0  444.0  444.0
2018 245  9  2 0600  -22.9  950.2  444.0  444.0  444.0  444.0
2018 245  9  2 0900  -22.5  950.4  444.0  444.0  444.0  444.0
2018 245  9  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 245  9  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 245  9  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 245  9  2 2100  -21.2  955.0  444.0  444.0  444.0  444.0
2018 246  9  3 0000  -19.5  956.1  444.0  444.0  444.0  444.0
2018 246  9  3 0300  -18.0  953.4  444.0  444.0  444.0  444.0
2018 246  9  3 0600  -21.1  951.1  444.0  444.0  444.0  444.0
2018 246  9  3 0900  -22.5  948.9  444.0  444.0  444.0  444.0
2018 246  9  3 1200  -21.5  945.8  444.0  444.0  444.0  444.0
2018 246  9  3 1500  -20.8  941.6  444.0  444.0  444.0  444.0
2018 246  9  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 246  9  3 2100  -23.2  937.9  444.0  444.0  444.0  444.0
2018 247  9  4 0000  -22.8  938.0  444.0  444.0  444.0  444.0
2018 247  9  4 0300  -21.0  938.8  444.0  444.0  444.0  444.0
2018 247  9  4 0600  -22.6  941.6  444.0  444.0  444.0  444.0
2018 247  9  4 0900  -20.0  943.9  444.0  444.0  444.0  444.0
2018 247  9  4 1200  -18.6  947.0  444.0  444.0  444.0  444.0
2018 247  9  4 1500  -14.9  949.0  444.0  444.0  444.0  444.0
2018 247  9  4 1800  -14.4  948.8  444.0  444.0  444.0  444.0
2018 247  9  4 2100  -16.6  948.9  444.0  444.0  444.0  444.0
2018 248  9  5 0000  -18.4  949.3  444.0  444.0  444.0  444.0
2018 248  9  5 0300  -18.5  950.4  444.0  444.0  444.0  444.0
2018 248  9  5 0600  -18.6  951.9  444.0  444.0  444.0  444.0
2018 248  9  5 0900  -18.9  954.4  444.0  444.0  444.0  444.0
2018 248  9  5 1200  -19.6  956.9  444.0  444.0  444.0  444.0
2018 248  9  5 1500  -20.6  960.1  444.0  444.0  444.0  444.0
2018 248  9  5 1800  -19.2  961.7  444.0  444.0  444.0  444.0
2018 248  9  5 2100  -18.6  962.4  444.0  444.0  444.0  444.0
2018 249  9  6 0000  -19.9  963.0  444.0  444.0  444.0  444.0
2018 249  9  6 0300  -20.1  964.4  444.0  444.0  444.0  444.0
2018 249  9  6 0600  -22.0  967.2  444.0  444.0  444.0  444.0
2018 249  9  6 0900  -23.5  968.7  444.0  444.0  444.0  444.0
2018 249  9  6 1200  -23.9  969.1  444.0  444.0  444.0  444.0
2018 249  9  6 1500  -20.0  967.8  444.0  444.0  444.0  444.0
2018 249  9  6 1800  -24.6  967.4  444.0  444.0  444.0  444.0
2018 249  9  6 2100  -21.5  968.4  444.0  444.0  444.0  444.0
2018 250  9  7 0000  -18.0  968.0  444.0  444.0  444.0  444.0
2018 250  9  7 0300  -18.5  966.2  444.0  444.0  444.0  444.0
2018 250  9  7 0600  -24.0  966.0  444.0  444.0  444.0  444.0
2018 250  9  7 0900  -21.5  966.4  444.0  444.0  444.0  444.0
2018 250  9  7 1200  -20.4  967.1  444.0  444.0  444.0  444.0
2018 250  9  7 1500  -20.8  967.8  444.0  444.0  444.0  444.0
2018 250  9  7 1800  -19.9  966.3  444.0  444.0  444.0  444.0
2018 250  9  7 2100  -19.0  966.2  444.0  444.0  444.0  444.0
2018 251  9  8 0000  -17.1  967.9  444.0  444.0  444.0  444.0
2018 251  9  8 0300  -17.9  969.3  444.0  444.0  444.0  444.0
2018 251  9  8 0600  -19.2  972.6  444.0  444.0  444.0  444.0
2018 251  9  8 0900  -19.5  974.6  444.0  444.0  444.0  444.0
2018 251  9  8 1200  -19.9  975.5  444.0  444.0  444.0  444.0
2018 251  9  8 1500  -19.9  973.9  444.0  444.0  444.0  444.0
2018 251  9  8 1800  -18.2  970.4  444.0  444.0  444.0  444.0
2018 251  9  8 2100  -20.1  970.7  444.0  444.0  444.0  444.0
2018 252  9  9 0000  -18.4  973.4  444.0  444.0  444.0  444.0
2018 252  9  9 0300  -17.6  977.3  444.0  444.0  444.0  444.0
2018 252  9  9 0600  -19.0  980.4  444.0  444.0  444.0  444.0
2018 252  9  9 0900  -17.1  983.7  444.0  444.0  444.0  444.0
2018 252  9  9 1200  -16.4  984.6  444.0  444.0  444.0  444.0
2018 252  9  9 1500  -15.4  985.2  444.0  444.0  444.0  444.0
2018 252  9  9 1800  -19.8  986.5  444.0  444.0  444.0  444.0
2018 252  9  9 2100  -17.1  987.4  444.0  444.0  444.0  444.0
2018 253  9 10 0000  -14.4  987.4  444.0  444.0  444.0  444.0
2018 253  9 10 0300  -15.2  986.8  444.0  444.0  444.0  444.0
2018 253  9 10 0600  -16.9  986.5  444.0  444.0  444.0  444.0
2018 253  9 10 0900  -18.0  986.8  444.0  444.0  444.0  444.0
2018 253  9 10 1200  -18.6  987.6  444.0  444.0  444.0  444.0
2018 253  9 10 1500  -21.0  987.7  444.0  444.0  444.0  444.0
2018 253  9 10 1800  -13.9  988.2  444.0  444.0  444.0  444.0
2018 253  9 10 2100  -15.5  989.5  444.0  444.0  444.0  444.0
2018 254  9 11 0000  -15.0  990.0  444.0  444.0  444.0  444.0
2018 254  9 11 0300  -15.9  990.3  444.0  444.0  444.0  444.0
2018 254  9 11 0600  -18.4  991.0  444.0  444.0  444.0  444.0
2018 254  9 11 0900  -17.5  991.1  444.0  444.0  444.0  444.0
2018 254  9 11 1200  -15.9  990.6  444.0  444.0  444.0  444.0
2018 254  9 11 1500  -15.1  989.6  444.0  444.0  444.0  444.0
2018 254  9 11 1800  -16.6  988.2  444.0  444.0  444.0  444.0
2018 254  9 11 2100  -17.2  987.6  444.0  444.0  444.0  444.0
2018 255  9 12 0000  -16.5  986.5  444.0  444.0  444.0  444.0
2018 255  9 12 0300  -17.4  985.6  444.0  444.0  444.0  444.0
2018 255  9 12 0600  -17.9  985.1  444.0  444.0  444.0  444.0
2018 255  9 12 0900  -18.9  984.7  444.0  444.0  444.0  444.0
2018 255  9 12 1200  -18.0  983.8  444.0  444.0  444.0  444.0
2018 255  9 12 1500  -17.6  982.8  444.0  444.0  444.0  444.0
2018 255  9 12 1800  -18.0  981.7  444.0  444.0  444.0  444.0
2018 255  9 12 2100  -17.4  980.8  444.0  444.0  444.0  444.0
2018 256  9 13 0000  -16.6  979.9  444.0  444.0  444.0  444.0
2018 256  9 13 0300  -17.2  978.0  444.0  444.0  444.0  444.0
2018 256  9 13 0600  -16.5  977.0  444.0  444.0  444.0  444.0
2018 256  9 13 0900  -16.2  975.9  444.0  444.0  444.0  444.0
2018 256  9 13 1200  -17.2  974.8  444.0  444.0  444.0  444.0
2018 256  9 13 1500  -17.2  974.8  444.0  444.0  444.0  444.0
2018 256  9 13 1800  -17.4  975.8  444.0  444.0  444.0  444.0
2018 256  9 13 2100  -18.9  976.7  444.0  444.0  444.0  444.0
2018 257  9 14 0000  -19.8  976.3  444.0  444.0  444.0  444.0
2018 257  9 14 0300  -22.2  975.5  444.0  444.0  444.0  444.0
2018 257  9 14 0600  -21.2  975.8  444.0  444.0  444.0  444.0
2018 257  9 14 0900  -21.2  975.3  444.0  444.0  444.0  444.0
2018 257  9 14 1200  -21.0  974.2  444.0  444.0  444.0  444.0
2018 257  9 14 1500  -21.4  972.2  444.0  444.0  444.0  444.0
2018 257  9 14 1800  -21.9  970.3  444.0  444.0  444.0  444.0
2018 257  9 14 2100  -21.5  968.9  444.0  444.0  444.0  444.0
2018 258  9 15 0000  -21.2  967.8  444.0  444.0  444.0  444.0
2018 258  9 15 0300  -21.5  965.4  444.0  444.0  444.0  444.0
2018 258  9 15 0600  -21.0  964.4  444.0  444.0  444.0  444.0
2018 258  9 15 0900  -21.2  964.5  444.0  444.0  444.0  444.0
2018 258  9 15 1200  -21.6  964.9  444.0  444.0  444.0  444.0
2018 258  9 15 1500  -21.6  966.2  444.0  444.0  444.0  444.0
2018 258  9 15 1800  -21.9  968.4  444.0  444.0  444.0  444.0
2018 258  9 15 2100  -21.6  969.8  444.0  444.0  444.0  444.0
2018 259  9 16 0000  -20.8  971.3  444.0  444.0  444.0  444.0
2018 259  9 16 0300  -21.0  972.8  444.0  444.0  444.0  444.0
2018 259  9 16 0600  -23.2  973.1  444.0  444.0  444.0  444.0
2018 259  9 16 0900  -25.1  973.2  444.0  444.0  444.0  444.0
2018 259  9 16 1200  -26.8  972.1  444.0  444.0  444.0  444.0
2018 259  9 16 1500  -25.5  970.4  444.0  444.0  444.0  444.0
2018 259  9 16 1800  -24.5  968.6  444.0  444.0  444.0  444.0
2018 259  9 16 2100  -23.1  968.3  444.0  444.0  444.0  444.0
2018 260  9 17 0000  -17.4  967.1  444.0  444.0  444.0  444.0
2018 260  9 17 0300  -15.9  967.8  444.0  444.0  444.0  444.0
2018 260  9 17 0600  -20.0  968.0  444.0  444.0  444.0  444.0
2018 260  9 17 0900  -20.4  967.8  444.0  444.0  444.0  444.0
2018 260  9 17 1200  -19.5  968.7  444.0  444.0  444.0  444.0
2018 260  9 17 1500  -18.5  968.1  444.0  444.0  444.0  444.0
2018 260  9 17 1800  -17.5  968.2  444.0  444.0  444.0  444.0
2018 260  9 17 2100  -15.9  966.8  444.0  444.0  444.0  444.0
2018 261  9 18 0000  -14.8  965.1  444.0  444.0  444.0  444.0
2018 261  9 18 0300  -12.4  962.5  444.0  444.0  444.0  444.0
