Year: 2018  Month: 11  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.82W  Elev:   10m
2018 305 11  1 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 0600  444.0  974.8   16.2   69.0   79.4  444.0
2018 305 11  1 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 305 11  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 1200  444.0  978.9   16.0   57.0   90.0  444.0
2018 306 11  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 306 11  2 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 0900  444.0  444.0  444.0  444.0   85.0  444.0
2018 307 11  3 1200  444.0  977.4    9.0  207.0   76.0  444.0
2018 307 11  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 307 11  3 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 308 11  4 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 309 11  5 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 0000  444.0  967.8   10.4   45.0   85.4  444.0
2018 310 11  6 0300  444.0  969.5    6.0   16.0   84.0  444.0
2018 310 11  6 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 310 11  6 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 311 11  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 311 11  7 0300  444.0  970.1    6.2  339.0   93.8  444.0
2018 311 11  7 0600  444.0  971.7    5.6   14.0   91.0  444.0
2018 311 11  7 0900  444.0  974.1    4.4   16.0   89.0  444.0
2018 311 11  7 1200  444.0  975.7    4.9   24.0   85.0  444.0
2018 311 11  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 311 11  7 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 311 11  7 2100  444.0  976.5    3.8   59.0   88.0  444.0
2018 312 11  8 0000  444.0  977.3    4.6   70.0   97.0  444.0
2018 312 11  8 0300  444.0  977.8    3.6   29.0   94.4  444.0
2018 312 11  8 0600  444.0  977.8    5.4   54.0   92.2  444.0
2018 312 11  8 0900  444.0  978.6    5.9   52.0   93.0  444.0
2018 312 11  8 1200  444.0  979.6    4.1   59.0   94.0  444.0
2018 312 11  8 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 312 11  8 1800  444.0  444.0  444.0  444.0  444.0  444.0
