Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018  11  1 11 0900   -7.5  981.1    2.3  115.2   94.2   -2.0
2018  11  1 11 1200  -11.3  980.5    1.5  133.5   99.9    0.3
2018  11  1 11 1500   -6.7  979.9    1.3   65.6   76.8    0.2
2018  11  1 11 1800   -4.5  980.9    2.6  244.6   64.4    0.3
2018  11  1 11 2100   -1.9  982.1    1.6  273.6   50.2    0.3
2018  12  1 12 0000   -6.7  983.5    0.9  354.8   90.4    0.0
2018  12  1 12 0300   -7.0  983.8    3.5  133.9   89.6   -0.5
2018  12  1 12 0600   -6.6  984.5    1.7   67.2   90.3   -1.0
2018  12  1 12 0900   -3.6  985.0    3.2  331.1   77.0    0.3
2018  12  1 12 1200   -3.3  985.8    0.7  336.6   61.5    1.1
2018  12  1 12 1500   -3.3  986.6    1.7  192.1   73.6    0.8
2018  12  1 12 1800   -3.0  986.9    3.0  350.5   73.9    0.8
2018  12  1 12 2100   -2.3  986.9    2.7  269.5   73.0    0.2
2018  13  1 13 0000   -1.5  987.8    1.9  274.2   59.6    0.5
2018  13  1 13 0300   -3.9  989.4    4.1   73.9   82.0   -1.9
2018  13  1 13 0600   -3.1  989.5    1.2   31.6   83.5   -0.6
2018  13  1 13 0900   -5.4  990.6    1.9  266.0  100.0    2.1
2018  13  1 13 1200   -8.3  990.9    0.6  320.3   94.9    4.5
2018  13  1 13 1500   -9.8  990.9    1.0  335.3   99.9    1.6
2018  13  1 13 1800   -7.2  990.5    1.5   14.3  100.0    4.5
2018  13  1 13 2100   -3.7  990.3    0.6   25.7  100.0    1.2
2018  14  1 14 0000   -4.0  989.5    1.4  134.0   98.0   -0.7
2018  14  1 14 0300   -4.1  988.7    2.4  120.8   99.9   -1.4
2018  14  1 14 0600   -4.4  987.9    3.2  114.6   99.9   -1.0
2018  14  1 14 0900   -5.7  986.9    2.6  114.8   99.9   -0.8
2018  14  1 14 1200   -8.4  985.8    3.1  112.5  100.0   -0.4
2018  14  1 14 1500  -10.1  984.3    2.6  113.6   99.9   -0.3
2018  14  1 14 1800  -10.0  983.5    1.7   83.5   99.9   -0.8
