Year: 2018  Month: 06  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2018 152  6  1 0000  444.0  978.8   10.3  359.0   80.0  444.0
2018 152  6  1 0300  444.0  983.4   11.7    9.0   82.0  444.0
2018 152  6  1 0600  444.0  986.8   10.5  360.0   81.4  444.0
2018 152  6  1 0900  444.0  990.8    7.3  351.0   82.0  444.0
2018 152  6  1 1200  444.0  993.2    7.2   20.0   80.4  444.0
2018 152  6  1 1500  444.0  994.4    2.7   23.0   77.0  444.0
2018 152  6  1 1800  444.0  994.5    3.5  186.0   78.7  444.0
2018 152  6  1 2100  444.0  993.5    7.6  171.0   69.8  444.0
2018 153  6  2 0000  444.0  994.3    4.7  191.0   66.0  444.0
2018 153  6  2 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 153  6  2 0600  444.0  995.6    5.7  171.0   68.0  444.0
2018 153  6  2 0900  444.0  994.1    7.4  165.0  444.0  444.0
2018 153  6  2 1200  444.0  990.9    8.1  174.0   63.0  444.0
2018 153  6  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 153  6  2 1800  444.0  982.2   15.2  131.0   93.8  444.0
2018 153  6  2 2100  444.0  979.0  444.0  444.0   90.8  444.0
2018 154  6  3 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 154  6  3 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 155  6  4 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 156  6  5 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 157  6  6 2100  444.0  981.8  444.0  444.0   95.0  444.0
2018 158  6  7 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 158  6  7 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 158  6  7 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 158  6  7 0900  444.0  989.6    9.9   14.0  444.0  444.0
2018 158  6  7 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 158  6  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 158  6  7 1800  444.0  444.0    3.4   17.0   77.2  444.0
2018 158  6  7 2100  444.0  997.0    1.6  195.0   77.0  444.0
2018 159  6  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 0900  444.0  444.0    9.9  192.0  444.0  444.0
2018 159  6  8 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 159  6  8 2100  444.0  992.2  444.0  444.0  444.0  444.0
2018 160  6  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 160  6  9 2100  444.0  993.1  444.0  444.0  444.0  444.0
2018 161  6 10 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 161  6 10 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 0900  444.0  444.0    9.2   27.0  444.0  444.0
2018 162  6 11 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 162  6 11 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 163  6 12 1500  444.0  444.0   18.8  359.0   75.6  444.0
2018 163  6 12 1800  444.0  998.7   18.5   11.0   72.0  444.0
2018 163  6 12 2100  444.0 1003.5   17.9   13.0   70.0  444.0
2018 164  6 13 0000  444.0 1008.2   10.2    9.0   73.0  444.0
2018 164  6 13 0300  444.0 1008.6   10.9   13.0   76.2  444.0
2018 164  6 13 0600  444.0 1007.9    5.3   25.0   72.0  444.0
2018 164  6 13 0900  444.0 1006.8    2.5   60.0   69.0  444.0
2018 164  6 13 1200  444.0 1004.1    6.4  121.0   67.9  444.0
2018 164  6 13 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 164  6 13 1800  444.0 1000.7   10.2  193.0   86.0  444.0
2018 164  6 13 2100  444.0  999.4   10.4  189.0   86.8  444.0
2018 165  6 14 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 1200  444.0  994.2    5.1  148.0  444.0  444.0
2018 165  6 14 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 165  6 14 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 166  6 15 2100  444.0  963.3   18.0  160.0  444.0  444.0
2018 167  6 16 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 167  6 16 0300  444.0  444.0  444.0  444.0  444.0  444.0
