Year: 2018  Month: 04  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.45E  Elev:   38m
2018  91  4  1 0000  -17.3  998.9    2.0  175.7   62.3  444.0
2018  91  4  1 0300  -16.2  998.4    0.7  195.3   54.8  444.0
2018  91  4  1 0600  -16.7  997.7    1.9   44.2   58.0  444.0
2018  91  4  1 0900  -17.0  997.5    1.5   77.2   44.2  444.0
2018  91  4  1 1200  -17.4  997.2    2.5   49.8   59.9  444.0
2018  91  4  1 1500  -18.0  997.8    0.7  134.1   68.4  444.0
2018  91  4  1 1800  -18.7  998.1    6.4   47.1   78.0  444.0
2018  91  4  1 2100  -18.5  999.2    1.6   82.5   77.6  444.0
2018  92  4  2 0000  -18.6 1000.1    1.9  197.9   83.8  444.0
2018  92  4  2 0300  -18.5 1000.3    6.2  264.3   81.3  444.0
2018  92  4  2 0600  -18.5 1000.9    3.9  257.4   78.0  444.0
2018  92  4  2 0900  -18.6 1001.9    1.9  134.4   80.6  444.0
2018  92  4  2 1200  -19.4 1002.5    1.7   81.7   83.4  444.0
2018  92  4  2 1500  -19.8 1002.6    2.0   98.9   85.5  444.0
2018  92  4  2 1800  -19.7 1002.7    2.2  100.1   85.8  444.0
2018  92  4  2 2100  -19.3 1002.5    2.2   34.9   82.7  444.0
2018  93  4  3 0000  -19.8 1002.1    2.4  100.8   83.4  444.0
2018  93  4  3 0300  -19.1 1001.0    3.6   89.8   81.4  444.0
2018  93  4  3 0600  -19.2 1000.2    2.8  119.2   79.1  444.0
2018  93  4  3 0900  -19.2  999.4    1.4  119.9   79.7  444.0
2018  93  4  3 1200  -19.3  997.5    2.6  132.8   78.0  444.0
2018  93  4  3 1500  -19.7  995.7    3.9   35.8   82.2  444.0
2018  93  4  3 1800  -19.3  994.7    1.4   74.9   80.4  444.0
2018  93  4  3 2100  -19.8  994.3    1.0  314.6   81.2  444.0
2018  94  4  4 0000  -19.7  994.0    1.5  325.8   78.2  444.0
2018  94  4  4 0300  -20.2  993.9    0.5  318.3   77.7  444.0
2018  94  4  4 0600  -19.9  994.2    1.4  286.2   79.7  444.0
2018  94  4  4 0900  -20.1  994.2    4.9  206.3   77.8  444.0
2018  94  4  4 1200  -20.5  993.8    3.5  168.6   77.3  444.0
2018  94  4  4 1500  -21.3  993.5    3.7  138.0   78.2  444.0
2018  94  4  4 1800  -21.1  993.1    3.4  114.4   72.5  444.0
2018  94  4  4 2100  -21.2  993.2    3.4  112.2   70.0  444.0
2018  95  4  5 0000  -20.8  993.3    2.8  185.7   76.3  444.0
2018  95  4  5 0300  -20.1  993.0    0.3  236.7   78.9  444.0
2018  95  4  5 0600  -20.8  992.9    3.3  167.0   80.1  444.0
2018  95  4  5 0900  -19.9  992.1    1.2   93.9   70.5  444.0
2018  95  4  5 1200  -20.1  991.8    4.6   39.2   62.8  444.0
2018  95  4  5 1500  -20.7  991.4    3.7   59.4   66.1  444.0
2018  95  4  5 1800  -20.5  991.8    4.8   36.4   73.7  444.0
2018  95  4  5 2100  -20.9  991.3    4.4   51.7   72.9  444.0
2018  96  4  6 0000  -19.7  990.5    2.7  170.5   78.0  444.0
2018  96  4  6 0300  -18.1  989.5    1.0   42.8   76.9  444.0
2018  96  4  6 0600  -19.9  989.1    2.0   78.4   80.5  444.0
2018  96  4  6 0900  -19.2  988.4    2.4  169.1   76.6  444.0
2018  96  4  6 1200  -19.1  987.1    3.2  191.0   76.2  444.0
2018  96  4  6 1500  -18.0  987.0    4.6  166.8   46.6  444.0
2018  96  4  6 1800  -17.3  987.0    2.6  175.7   45.8  444.0
2018  96  4  6 2100  -19.2  986.9    1.1  112.2   71.6  444.0
2018  97  4  7 0000  -18.2  987.0    1.3   99.7   64.9  444.0
2018  97  4  7 0300  -17.3  986.9    2.2   38.3   70.7  444.0
2018  97  4  7 0600  -18.5  986.9    2.2   95.9   62.9  444.0
2018  97  4  7 0900  -18.3  987.5    0.6  136.9   61.1  444.0
2018  97  4  7 1200  -18.1  988.0    0.6  123.0   66.6  444.0
2018  97  4  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  97  4  7 1800  -17.8  989.7    2.5   67.3   58.7  444.0
2018  97  4  7 2100  -18.4  990.8    2.9  177.2   68.1  444.0
2018  98  4  8 0000  -17.4  991.6    2.1  166.5   72.5  444.0
2018  98  4  8 0300  -17.9  992.3    3.2  138.4   78.2  444.0
2018  98  4  8 0600  -17.8  992.9    2.1  148.1   74.2  444.0
2018  98  4  8 0900  -17.9  993.4    1.4   87.5   69.5  444.0
2018  98  4  8 1200  -17.5  993.8    2.0   69.0   77.6  444.0
2018  98  4  8 1500  -16.9  993.9    3.0   43.9   80.8  444.0
2018  98  4  8 1800  -16.7  994.6    1.4  122.0   79.0  444.0
2018  98  4  8 2100  -16.0  994.7    2.2   73.8   40.1  444.0
2018  99  4  9 0000  -16.5  995.2    2.6   60.5   71.3  444.0
2018  99  4  9 0300  -16.3  995.3    1.3   92.5   75.4  444.0
2018  99  4  9 0600  -16.4  995.4    1.0  134.3   78.5  444.0
2018  99  4  9 0900  -16.8  995.9    1.2   88.2   75.0  444.0
2018  99  4  9 1200  -16.6  996.0    3.3   48.0   58.2  444.0
2018  99  4  9 1500  -16.9  995.5    3.8   38.8   68.8  444.0
2018  99  4  9 1800  -17.8  995.8    1.5   59.1   79.7  444.0
2018  99  4  9 2100  -18.0  996.8    3.2  105.2   79.7  444.0
2018 100  4 10 0000  -18.6  998.4    3.0  166.8   84.4  444.0
2018 100  4 10 0300  -19.2  998.4    3.0   39.8   75.4  444.0
2018 100  4 10 0600  -20.1  997.1    8.6   32.9   71.9  444.0
2018 100  4 10 0900  -17.8  993.5    8.1   52.4   47.1  444.0
2018 100  4 10 1200  -17.7  990.7    2.7  160.7   50.1  444.0
2018 100  4 10 1500  -19.7  991.0    1.3  339.2   64.7  444.0
2018 100  4 10 1800  -21.1  992.6    3.2  203.2   70.6  444.0
